"kD" "s" "z1vector" "z2vector" "z3vector" "z4vector" "z5vector" "z6vector" "z7vector" "z8vector" "z9vector"
0.2 0.04 0.5 0.5 0.5 0.500000246344655 0.500000395600467 0.500001087029434 0.50006745060138 0.500109680394571 0.500301196363168
0.21 0.04 0.5 0.5 0.5 0.500000243391739 0.500000414735451 0.50000123409188 0.500071241952095 0.500122724078747 0.500361266758188
0.22 0.04 0.5 0.5 0.5 0.500000239604145 0.500000435189494 0.500001402473648 0.500075081637532 0.500137537176383 0.500432895801878
0.23 0.04 0.5 0.5 0.5 0.500000235059895 0.50000045721622 0.500001595622471 0.50007897138066 0.500154415546159 0.500517926413958
0.24 0.04 0.5 0.5 0.5 0.500000229835178 0.50000048109722 0.50000181760993 0.50008291305867 0.500173703850303 0.500618270140525
0.25 0.04 0.5 0.5 0.5 0.500000224004201 0.50000050714807 0.500002073258641 0.500086908720135 0.500195802137957 0.500735786244772
0.26 0.04 0.5 0.5 0.5 0.500000217639053 0.500000535725489 0.500002368297184 0.500090960604185 0.500221172289101 0.500872103074563
0.27 0.04 0.5 0.5 0.5 0.500000210809562 0.500000567235908 0.500002709549409 0.500095071161923 0.50025034364736 0.501028379799336
0.28 0.04 0.5 0.5 0.5 0.500000203583169 0.500000602145783 0.500003105166417 0.500099243080396 0.500283916805827 0.501205021315667
0.29 0.04 0.5 0.5 0.5 0.5000001960248 0.500000640994064 0.500003564911588 0.500103479309404 0.500322564035356 0.501401380878099
0.3 0.04 0.5 0.5 0.5 0.500000188196742 0.500000684407355 0.500004100511659 0.500107783091528 0.50036702427064 0.501615509662387
0.31 0.04 0.5 0.5 0.5 0.500000180158534 0.500000733118429 0.500004726090124 0.500112157995772 0.500418089950915 0.501844030322001
0.32 0.04 0.5 0.5 0.5 0.500000171966859 0.500000787988944 0.500005458703357 0.500116607955273 0.500476582479583 0.502082209169709
0.33 0.04 0.5 0.5 0.5 0.500000163675451 0.500000850037457 0.500006319004953 0.500121137309608 0.500543312861811 0.502324268312596
0.34 0.04 0.5 0.5 0.5 0.500000155335006 0.500000920474121 0.500007332070082 0.500125750852274 0.500619024576808 0.502563916899603
0.35 0.04 0.5 0.5 0.5 0.500000146993107 0.500001000743865 0.500008528419382 0.500130453884011 0.500704317428798 0.502795009757525
0.36 0.04 0.5 0.5 0.5 0.500000138694158 0.500001092580379 0.500009945291182 0.500135252272724 0.500799554473279 0.503012193814504
0.37 0.04 0.5 0.5 0.5 0.500000130479336 0.500001198073933 0.500011628221805 0.500140152520832 0.500904759325047 0.503211402917811
0.38 0.04 0.5 0.5 0.5 0.500000122386545 0.500001319756958 0.500013633006171 0.500145161841036 0.501019517714805 0.503390111171049
0.39 0.04 0.5 0.5 0.5 0.500000114450395 0.500001460712575 0.500016028124439 0.500150288241553 0.501142903456657 0.503547329649927
0.4 0.04 0.5 0.5 0.5 0.500000106702187 0.500001624712863 0.500018897733732 0.500155540622053 0.501273452242607 0.503683397838183
0.41 0.04 0.5 0.5 0.5 0.500000099169919 0.500001816395864 0.500022345334685 0.500160928881663 0.501409203693129 0.503799656400751
0.42 0.04 0.5 0.5 0.5 0.5000000918783 0.500002041493265 0.500026498226227 0.50016646404055 0.501547820922367 0.503898088617315
0.43 0.04 0.5 0.5 0.5 0.500000084848784 0.500002307124642 0.500031512851111 0.500172158376804 0.501686778816075 0.503980995457703
0.44 0.04 0.5 0.5 0.5 0.500000078099625 0.500002622179532 0.500037581096989 0.500178025580481 0.501823592619882 0.504050739514674
0.45 0.04 0.5 0.5 0.5 0.500000071645932 0.500002997815797 0.500044937534474 0.500184080926886 0.501956045017204 0.504109567331143
0.46 0.04 0.5 0.5 0.5 0.50000006549976 0.500003448112562 0.500053867416878 0.500190341471345 0.50208236883137 0.504159502970364
0.47 0.04 0.5 0.5 0.5 0.500000059670199 0.500003990929226 0.500064714998849 0.500196826267862 0.502201354736395 0.504202297821633
0.48 0.04 0.5 0.5 0.5 0.500000054163492 0.500004649039874 0.500077891307668 0.500203556614221 0.502312373808234 0.50423942009353
