"G" "X" "Y" "A" "D"
1 0.499752497524975 0.500247502475025 0.58113883008419 0.0004950049500495
2 0.499811360981533 0.500188639018466 0.581138562109859 0.000377278036933279
3 0.499821379412616 0.500178620587383 0.58114413632185 0.000357278504587363
4 0.499820534031992 0.500179465968007 0.581147964817452 0.000358975600596341
5 0.499817029665248 0.500182970334752 0.58114904587454 0.000365986926286492
6 0.499812636190798 0.500187363809201 0.581149586541296 0.000374775960233928
7 0.499807733779021 0.500192266220979 0.581149954285679 0.00038458295991613
8 0.49980240079887 0.50019759920113 0.581150243274967 0.000395251326856162
9 0.499796649321673 0.500203350678327 0.58115047863998 0.000406756963619909
10 0.499790476247638 0.500209523752362 0.581150670070583 0.000419106096111624
11 0.499783874434994 0.500216125565006 0.581150823446239 0.000432313031804727
12 0.499776835127558 0.500223164872442 0.58115094349348 0.0004463953084037
13 0.499769348482993 0.500230651517006 0.581151034404161 0.00046137263829086
14 0.499761403684201 0.500238596315799 0.581151099995169 0.000477266686113243
15 0.49975298895775 0.50024701104225 0.58115114376343 0.000494101032162236
16 0.499744091570337 0.500255908429663 0.581151168915955 0.000511901179695322
17 0.499734697818883 0.500265302181116 0.581151178392944 0.000530694574994607
18 0.499724793017734 0.500275206982266 0.581151174888108 0.000550510633238167
19 0.49971436148376 0.500285638516241 0.581151160867204 0.000571380768604818
20 0.49970338651955 0.50029661348045 0.581151138585096 0.000593338428215194
21 0.499691850394774 0.500308149605226 0.581151110101472 0.000616419129776747
22 0.499679734325734 0.500320265674266 0.5811510772953 0.00064066050286194
23 0.499667018453156 0.500332981546844 0.581151041878117 0.000666102333765095
24 0.49965368181823 0.50034631818177 0.581151005406201 0.000692786613888805
25 0.499639702336929 0.500360297663071 0.581150969291702 0.000720757591613323
26 0.499625056772632 0.500374943227368 0.581150934812782 0.00075006182760358
27 0.499609720707076 0.500390279292923 0.581150903122821 0.000780748253508707
28 0.49959366850966 0.500406331490339 0.581150875258732 0.000812868234008382
29 0.499576873305126 0.500423126694875 0.581150852148427 0.000846475632158775
30 0.499559306939642 0.500440693060358 0.581150834617472 0.000881626877988445
31 0.499540939945329 0.500459060054671 0.581150823394973 0.000918381040291102
32 0.499521741503242 0.500478258496758 0.5811508191187 0.000956799901557713
33 0.499501679404857 0.500498320595143 0.581150822339502 0.000996948035984872
34 0.499480720012092 0.500519279987908 0.581150833525012 0.00103889289048971
35 0.499458828215911 0.500541171784089 0.581150853062664 0.0010827048686537
36 0.499435967393549 0.500564032606451 0.581150881262052 0.00112845741750871
37 0.49941209936442 0.50058790063558 0.581150918356605 0.00117622711706784
38 0.499387184344761 0.500612815655239 0.581150964504626 0.0012260937724922
39 0.499361180901071 0.500638819098929 0.581151019789662 0.00127814050877093
40 0.49933404590244 0.500665954097561 0.581151084220225 0.00133245386777711
41 0.499305734471815 0.500694265528185 0.581151157728851 0.00138912390754538
42 0.499276199936334 0.500723800063665 0.58115124017049 0.00144824430359916
43 0.499245393776797 0.500754606223203 0.581151331320209 0.00150991245213453
44 0.499213265576401 0.500786734423598 0.581151430870206 0.00157422957484653
45 0.49917976296887 0.500820237031131 0.581151538426104 0.00164130082515893
46 0.499144831586099 0.500855168413901 0.581151653502502 0.0017112353955926
47 0.499108415005497 0.500891584994503 0.581151775517769 0.00178414662597943
48 0.499070454697159 0.500929545302841 0.581151903788034 0.00186015211219769
49 0.499030889971084 0.500969110028916 0.581152037520349 0.0019393738150722
50 0.498989657924632 0.501010342075368 0.58115217580499 0.00202193816904715
51 0.498946693390439 0.50105330660956 0.581152317606842 0.00210797619020132
52 0.498901928885041 0.501098071114959 0.581152461755837 0.0021976235831356
53 0.498855294558463 0.501144705441537 0.58115260693639 0.0022910208462192
54 0.498806718145082 0.501193281854918 0.581152751675779 0.00238831337463569
55 0.498756124916046 0.501243875083954 0.581152894331416 0.00248965156062187
56 0.49870343763362 0.50129656236638 0.581153033076953 0.0025951908902415
57 0.498648576507803 0.501351423492197 0.58115316588715 0.00270509203598286
58 0.498591459155616 0.501408540844384 0.581153290521451 0.0028195209444131
59 0.498532000563491 0.50146799943651 0.581153404506185 0.00293864891806433
60 0.498470113053206 0.501529886946794 0.581153505115332 0.00306265269066603
61 0.498405706251854 0.501594293748145 0.581153589349774 0.00319171449477569
62 0.498338687066369 0.501661312933631 0.581153653914939 0.00332602212079559
63 0.498268959663139 0.501731040336861 0.581153695196788 0.0034657689662977
64 0.498196425453326 0.501803574546675 0.581153709236032 0.00361115407451183
65 0.498120983084466 0.501879016915534 0.581153691700511 0.00376238216076421
66 0.498042528439038 0.501957471560962 0.581153637855654 0.00391966362558612
67 0.497960954640659 0.502039045359342 0.581153542532923 0.00408321455314393
68 0.497876152068633 0.502123847931367 0.58115340009617 0.0042532566935758
69 0.497788008381609 0.502211991618391 0.581153204405819 0.00443001742775461
70 0.497696408551103 0.502303591448897 0.581152948780796 0.00461372971293461
71 0.497601234905718 0.502398765094282 0.581152625958129 0.00480463200767991
72 0.497502367186876 0.502497632813124 0.581152228050154 0.00500296817441847
73 0.497399682616921 0.502600317383079 0.58115174649926 0.00520898735791618
74 0.497293055980466 0.502706944019534 0.581151172030114 0.00542294383792353
75 0.497182359719876 0.502817640280124 0.581150494599327 0.0056450968542137
76 0.497067464045777 0.502932535954223 0.581149703342526 0.00587571040220646
77 0.496948237063497 0.503051762936503 0.58114878651881 0.00611505299735978
78 0.496824544916331 0.503175455083668 0.581147731452589 0.00636339740651093
79 0.496696251946514 0.503303748053486 0.581146524472814 0.00662102034436374
80 0.496563220874769 0.503436779125231 0.581145150849651 0.0068882021333502
81 0.496425312999268 0.503574687000732 0.581143594728635 0.00716522632514414
82 0.496282388414786 0.503717611585214 0.581141839062414 0.00745237928217521
83 0.496134306252806 0.503865693747194 0.58113986554018 0.00774994971758348
84 0.495980924943243 0.504019075056757 0.581137654514951 0.00805822819217209
85 0.495822102498379 0.504177897501621 0.581135184928877 0.00837750656705774
86 0.495657696819534 0.504342303180466 0.581132434236803 0.00870807741088985
87 0.495487566026847 0.504512433973153 0.581129378328346 0.00905023336070909
88 0.495311568812463 0.504688431187537 0.581125991448805 0.00940426643574748
89 0.495129564817242 0.504870435182758 0.581122246119258 0.00977046730373541
90 0.494941415030981 0.505058584969019 0.581118113056255 0.0101491244995777
91 0.494746982215941 0.505253017784059 0.581113561091579 0.010540523596591
92 0.494546131353302 0.505453868646698 0.581108557092576 0.0109449463308597
93 0.494338730111944 0.505661269888056 0.581103065883655 0.0113626696796634
94 0.49412464933873 0.505875350661269 0.581097050169563 0.0117939648953637
95 0.493903763569251 0.506096236430749 0.581090470461154 0.0122390964965936
