"k" "s" "DF"
0.0025 0.005 3.26013050550943e-07
0.005 0.005 3.23379947654098e-07
0.0075 0.005 3.20753870663245e-07
0.01 0.005 3.18134887159542e-07
0.0125 0.005 3.15523064787795e-07
0.015 0.005 3.1291847125143e-07
0.0175 0.005 3.10321174307148e-07
0.02 0.005 3.07731241759679e-07
0.0225 0.005 3.05148741456299e-07
0.025 0.005 3.02573741281428e-07
0.0275 0.005 3.0000630915089e-07
0.03 0.005 2.97446513006362e-07
0.0325 0.005 2.94894420809488e-07
0.035 0.005 2.92350100536062e-07
0.0375 0.005 2.89813620170014e-07
0.04 0.005 2.87285047697383e-07
0.0425 0.005 2.84764451100107e-07
0.045 0.005 2.82251898349827e-07
0.0475 0.005 2.79747457401425e-07
0.05 0.005 2.77251196186698e-07
0.0525 0.005 2.74763182607664e-07
0.055 0.005 2.72283484529998e-07
0.0575 0.005 2.69812169776213e-07
0.06 0.005 2.67349306118885e-07
0.0625 0.005 2.64894961273562e-07
0.065 0.005 2.62449202891812e-07
0.0675 0.005 2.60012098554021e-07
0.07 0.005 2.57583715762069e-07
0.0725 0.005 2.55164121931966e-07
0.075 0.005 2.52753384386456e-07
0.0775 0.005 2.50351570347327e-07
0.08 0.005 2.47958746927713e-07
0.0825 0.005 2.45574981124369e-07
0.085 0.005 2.43200339809659e-07
0.0875 0.005 2.40834889723613e-07
0.09 0.005 2.3847869746572e-07
0.0925 0.005 2.36131829486768e-07
0.095 0.005 2.33794352080429e-07
0.0975 0.005 2.3146633137481e-07
0.1 0.005 2.29147833323899e-07
0.1025 0.005 2.26838923698863e-07
0.105 0.005 2.24539668079213e-07
0.1075 0.005 2.22250131843981e-07
0.11 0.005 2.19970380162604e-07
0.1125 0.005 2.1770047798586e-07
0.115 0.005 2.15440490036536e-07
0.1175 0.005 2.13190480800152e-07
0.12 0.005 2.10950514515438e-07
0.1225 0.005 2.0872065516469e-07
0.125 0.005 2.06500966464133e-07
0.1275 0.005 2.04291511854096e-07
0.13 0.005 2.02092354489044e-07
0.1325 0.005 1.99903557227495e-07
0.135 0.005 1.97725182621902e-07
0.1375 0.005 1.95557292908363e-07
0.14 0.005 1.9339994999619e-07
0.1425 0.005 1.91253215457401e-07
0.145 0.005 1.89117150516105e-07
0.1475 0.005 1.86991816037742e-07
0.15 0.005 1.84877272518216e-07
