"G" "DA2D2" "DA2Y" "DD2Y"
1 -0.166622563841009 6.65955758339387e-05 -5.55111512312578e-17
2 -0.1619434924095 4.84678263214522e-05 1.11022302462516e-16
3 -0.162188091967497 5.12464750207497e-05 2.49095427617974e-09
4 -0.162162178571084 5.38507559678658e-05 3.13996101342084e-09
5 -0.162148425460321 5.65896616581685e-05 3.54820411940793e-09
6 -0.162133303515177 5.94662688247483e-05 3.93841659285243e-09
7 -0.162117842792456 6.24896738839475e-05 4.35658215058865e-09
8 -0.162102015507162 6.5667612974496e-05 4.81570927579611e-09
9 -0.1620857939156 6.9007981974567e-05 5.32224520011226e-09
10 -0.162069137894437 7.25190175338564e-05 5.88161030989909e-09
11 -0.162052004650797 7.6209361132118e-05 6.49942477615184e-09
12 -0.162034349960742 8.00880888793265e-05 7.18181569769882e-09
13 -0.162016128368386 8.41647352053387e-05 7.93553145417292e-09
14 -0.161997293132301 8.84493160150934e-05 8.76802097593554e-09
15 -0.161977796120067 9.29523525954323e-05 9.68750835106391e-09
16 -0.161957587689815 9.76848965933974e-05 1.07030739826541e-08
17 -0.161936616566625 0.000102658556174196 1.18247446279085e-08
18 -0.161914829715145 0.000107885523423612 1.30635903206056e-08
19 -0.161892172208514 0.000113378603052994 1.44318338390903e-08
20 -0.161868587093334 0.000119151242464199 1.59429692225821e-08
21 -0.161844015250445 0.000125217563230751 1.76118942207815e-08
22 -0.161818395251189 0.000131592394054747 1.94550553445083e-08
23 -0.161791663208867 0.000138291305264715 2.14906085149735e-08
24 -0.161763752625083 0.000145330644912622 2.37385954227065e-08
25 -0.16173459423067 0.000152727576538059 2.62211389268074e-08
26 -0.161704115820868 0.000160500118665585 2.89626570504353e-08
27 -0.161672242084454 0.000168667186103311 3.19901022338698e-08
28 -0.161638894426481 0.000177248633112248 3.53332199609646e-08
29 -0.161603990784311 0.000186265298515564 3.90248383608238e-08
30 -0.161567445436599 0.000195739052825383 4.31011850654528e-08
31 -0.161529168804902 0.000205692847451922 4.76022371520557e-08
32 -0.161489067247563 0.000216150766076395 5.25721065569584e-08
33 -0.161447042845533 0.000227138078257305 5.80594643473376e-08
34 -0.161402993179787 0.000238681295347598 6.41180086802251e-08
35 -0.161356811099981 0.000250808228794197 7.08069798904809e-08
36 -0.161308384484016 0.000263548050898177 7.81917274261801e-08
37 -0.161257595988156 0.00027693135810436 8.63443344600867e-08
38 -0.161204322787347 0.000290990236896105 9.5344305450773e-08
39 -0.16114843630543 0.000305758332362849 1.0527932226001e-07
40 -0.161089801934872 0.000321270919507677 1.16246077208615e-07
41 -0.161028278745726 0.000337564977362537 1.28351188233289e-07
42 -0.160963719183483 0.000354679265966606 1.41712207024636e-07
43 -0.16089596875552 0.000372654406266437 1.56458725975028e-07
44 -0.160824865705855 0.000391532962988661 1.72733596870422e-07
45 -0.160750240677938 0.000411359530522459 1.90694268376035e-07
46 -0.160671916365244 0.000432180821855088 2.10514257137362e-07
47 -0.160589707149422 0.000454045760576505 2.32384764320415e-07
48 -0.160503418725843 0.000477005575976963 2.56516448637889e-07
49 -0.160412847716368 0.000501113901232475 2.83141374790574e-07
50 -0.160317781269236 0.000526426874670471 3.12515150757697e-07
51 -0.160217996646017 0.000553003244088468 3.44919273698174e-07
52 -0.160113260795596 0.000580904474076882 3.80663701615713e-07
53 -0.160003329915268 0.000610194856283164 4.20089672881208e-07
54 -0.159887948999046 0.000640941622527313 4.63572795983413e-07
55 -0.159766851373395 0.000673215060654764 5.11526435043042e-07
56 -0.159639758220666 0.000707088632986352 5.64405413794322e-07
