"G" "A1D1X" "A2D1X" "A1D1Y" "A2D1Y" "A1D2X" "A2D2X" "A1D2Y" "A2D2Y"
1 0.209285102142108 0.290343644145355 0.209408813215498 0.29046743554699 4.18136395510044e-05 8.19375979613707e-05 0.000125440918653013 0.000245812793884112
2 0.209333295109762 0.290383746362538 0.20942797222032 0.290477708270446 2.50426400145054e-05 6.92768692188145e-05 7.51279200435162e-05 0.000207830607656443
3 0.209344837412258 0.290387222374211 0.209429710087669 0.290480951621274 2.03290445556814e-05 6.89905815911594e-05 6.09871336670442e-05 0.000206971744773478
4 0.209347044723176 0.290383745408668 0.20943135613199 0.29047887813557 1.84085818454188e-05 7.13353183036665e-05 5.52257455362564e-05 0.000214005954910999
5 0.209348190894682 0.290377342038994 0.209434066469856 0.290474413670181 1.71741902304652e-05 7.43225413411579e-05 5.15225706913957e-05 0.000222967624023474
6 0.209348897731393 0.290370044469347 0.209436939233675 0.290469342605351 1.61441234088804e-05 7.75498666496016e-05 4.84323702266411e-05 0.000232649599948805
7 0.209349368793067 0.290362219245975 0.209439852592138 0.290463976408903 1.52060822789744e-05 8.0939657700058e-05 4.56182468369232e-05 0.000242818973100174
8 0.209349647273835 0.290353940693321 0.209442781913922 0.290458378792066 1.43318843190164e-05 8.44809473950239e-05 4.29956529570493e-05 0.000253442842185072
9 0.209349744414023 0.290345215666746 0.209445726466415 0.290452556489196 1.35126198954561e-05 8.81766210095212e-05 4.05378596863683e-05 0.000264529863028564
10 0.209349663913798 0.290336035809812 0.209448690378399 0.29044650380188 1.27439093052629e-05 9.20326147226432e-05 3.82317279157887e-05 0.00027609784416793
11 0.209349407525164 0.290326388651878 0.209451678851931 0.290440211939221 1.2022544166446e-05 9.60557137847358e-05 3.6067632499338e-05 0.000288167141354207
12 0.209348976280735 0.290316260019722 0.209454697361858 0.290433671029281 1.13457159817618e-05 0.000100253111119163 3.40371479452855e-05 0.00030075933335749
13 0.209348370769953 0.290305634553468 0.20945775149384 0.290426870544448 1.07108330115935e-05 0.000104632326561122 3.21324990347804e-05 0.000313896979683365
14 0.209347591203407 0.290294495809265 0.209460846916315 0.290419799384899 1.01154712772492e-05 0.000109201200251061 3.03464138317477e-05 0.000327603600753184
15 0.209346637429697 0.290282826270013 0.209463989380954 0.290412445887175 9.55735647996703e-06 0.000113967901560592 2.86720694399011e-05 0.000341903704681776
16 0.209345508941261 0.290270607334152 0.209467184729342 0.290404797815549 9.03435336053195e-06 0.000118940941563298 2.71030600815958e-05 0.000356822824689895
17 0.209344204877289 0.290257819297845 0.2094704389012 0.290396842348671 8.54445714182258e-06 0.000124129186606829 2.56333714254677e-05 0.000372387559820488
18 0.209342724025501 0.290244441333924 0.209473757943136 0.290388566064202 8.08578581395447e-06 0.000129541872495587 2.42573574418634e-05 0.000388625617486762
19 0.209341064823228 0.29023045146838 0.209477148017735 0.290379954922052 7.65657295841123e-06 0.000135188619192793 2.29697188752337e-05 0.00040556585757838
20 0.209339225357894 0.290215826554602 0.209480615412923 0.290370994246365 7.2551610216452e-06 0.000141079446032153 2.17654830649356e-05 0.00042323833809646
