"k" "s" "SR"
0.3725 0.01 0.500000186117573
0.375 0.01 0.500000184295219
0.3775 0.01 0.500000182465814
0.38 0.01 0.500000180629738
0.3825 0.01 0.500000178787365
0.385 0.01 0.500000176939065
0.3875 0.01 0.500000175085208
0.39 0.01 0.500000173226157
0.3925 0.01 0.500000171362275
0.395 0.01 0.500000169493923
0.3975 0.01 0.500000167621457
0.4 0.01 0.500000165745232
0.4025 0.01 0.500000163865602
0.405 0.01 0.500000161982917
0.4075 0.01 0.500000160097527
0.41 0.01 0.500000158209778
0.4125 0.01 0.500000156320015
0.415 0.01 0.500000154428584
0.4175 0.01 0.500000152535827
0.42 0.01 0.500000150642086
0.4225 0.01 0.500000148747701
0.425 0.01 0.50000014685301
0.4275 0.01 0.500000144958355
0.43 0.01 0.50000014306407
0.4325 0.01 0.500000141170495
0.435 0.01 0.500000139277964
0.4375 0.01 0.500000137386813
0.44 0.01 0.50000013549738
0.4425 0.01 0.500000133609997
0.445 0.01 0.500000131724999
0.4475 0.01 0.500000129842721
0.45 0.01 0.500000127963497
0.4525 0.01 0.500000126087661
0.455 0.01 0.500000124215546
0.4575 0.01 0.500000122347486
0.46 0.01 0.500000120483814
0.4625 0.01 0.500000118624864
0.465 0.01 0.50000011677097
0.4675 0.01 0.500000114922463
0.47 0.01 0.500000113079678
0.4725 0.01 0.500000111242948
0.475 0.01 0.500000109412605
0.4775 0.01 0.500000107588983
0.48 0.01 0.500000105772413
0.4825 0.01 0.500000103963229
0.485 0.01 0.500000102161762
0.4875 0.01 0.500000100368345
0.49 0.01 0.500000098583308
0.4925 0.01 0.500000096806983
0.495 0.01 0.500000095039699
0.4975 0.01 0.500000093281786
0.5 0.01 0.500000091533574
0.0025 0.015 0.500000008155795
0.005 0.015 0.500000016148448
0.0075 0.015 0.500000023980555
0.01 0.015 0.50000003165469
0.0125 0.015 0.500000039173405
0.015 0.015 0.500000046539229
0.0175 0.015 0.500000053754669
0.02 0.015 0.500000060822208
0.0225 0.015 0.500000067744308
0.025 0.015 0.500000074523405
0.0275 0.015 0.500000081161913
0.03 0.015 0.500000087662225
0.0325 0.015 0.500000094026706
0.035 0.015 0.500000100257699
0.0375 0.015 0.500000106357526
0.04 0.015 0.500000112328481
0.0425 0.015 0.500000118172837
0.045 0.015 0.500000123892839
0.0475 0.015 0.500000129490712
0.05 0.015 0.500000134968653
0.0525 0.015 0.500000140328838
0.055 0.015 0.500000145573416
0.0575 0.015 0.50000015070451
0.06 0.015 0.500000155724222
0.0625 0.015 0.500000160634626
0.065 0.015 0.500000165437772
0.0675 0.015 0.500000170135686
0.07 0.015 0.500000174730367
0.0725 0.015 0.500000179223789
0.075 0.015 0.500000183617903
0.0775 0.015 0.500000187914632
0.08 0.015 0.500000192115875
0.0825 0.015 0.500000196223506
0.085 0.015 0.500000200239371
0.0875 0.015 0.500000204165294
0.09 0.015 0.500000208003071
0.0925 0.015 0.500000211754474
0.095 0.015 0.500000215421248
0.0975 0.015 0.500000219005113
0.1 0.015 0.500000222507763
0.1025 0.015 0.500000225930868
0.105 0.015 0.500000229276069
0.1075 0.015 0.500000232544986
0.11 0.015 0.500000235739209
0.1125 0.015 0.500000238860305
0.115 0.015 0.500000241909815
0.1175 0.015 0.500000244889253
0.12 0.015 0.500000247800108
0.1225 0.015 0.500000250643845
0.125 0.015 0.500000253421903
0.1275 0.015 0.500000256135694
0.13 0.015 0.500000258786605
0.1325 0.015 0.500000261375999
