"k" "s" "SR"
0.0025 0.005 0.500000050138188
0.005 0.005 0.500000264744853
0.0075 0.005 0.50000091431959
0.01 0.005 0.500002620055672
0.0125 0.005 0.500006752151234
0.015 0.005 0.500016233192987
0.0175 0.005 0.500037093799964
0.02 0.005 0.500081289679664
0.0225 0.005 0.500171182333852
0.025 0.005 0.500344740243229
0.0275 0.005 0.500656005652919
0.03 0.005 0.501158085932376
0.0325 0.005 0.501860340913425
0.035 0.005 0.502690872209243
0.0375 0.005 0.503524854543372
0.04 0.005 0.504263726170285
0.0425 0.005 0.504875999787443
0.045 0.005 0.505377882052433
0.0475 0.005 0.505800336975722
0.05 0.005 0.506170956141695
0.0525 0.005 0.506509260997734
0.055 0.005 0.506827664426771
0.0575 0.005 0.507133618137177
0.06 0.005 0.507431431248163
0.0625 0.005 0.50772351067351
0.065 0.005 0.508011135362195
0.0675 0.005 0.508294919485298
0.07 0.005 0.508575083604636
0.0725 0.005 0.508851611664306
0.075 0.005 0.509124341409323
0.0775 0.005 0.509393016426451
0.08 0.005 0.509657316241876
0.0825 0.005 0.509916873981118
0.085 0.005 0.510171287071926
0.0875 0.005 0.510420124149973
0.09 0.005 0.510662929992917
0.0925 0.005 0.510899229541194
0.095 0.005 0.511128531621078
0.0975 0.005 0.511350332727354
0.1 0.005 0.511564121069365
0.1025 0.005 0.511769380989371
0.105 0.005 0.511965597800038
0.1075 0.005 0.51215226304365
0.11 0.005 0.512328880141252
0.1125 0.005 0.512494970370998
0.115 0.005 0.51265007908957
0.1175 0.005 0.51279378208796
0.12 0.005 0.51292569195342
0.1225 0.005 0.513045464293623
0.125 0.005 0.513152803667981
0.1275 0.005 0.513247469065521
0.13 0.005 0.513329278769614
0.1325 0.005 0.513398114457711
0.135 0.005 0.513453924399268
0.1375 0.005 0.513496725636989
0.14 0.005 0.513526605064723
0.1425 0.005 0.513543719348566
0.145 0.005 0.513548293674411
0.1475 0.005 0.513540619343479
0.15 0.005 0.513521050275142
0.1525 0.005 0.513489998511717
0.155 0.005 0.513447928850763
0.1575 0.005 0.513395352755438
0.16 0.005 0.513332821711298
0.1625 0.005 0.513260920208042
0.165 0.005 0.513180258526991
0.1675 0.005 0.51309146550987
0.17 0.005 0.512995181472638
0.1725 0.005 0.512892051410829
0.175 0.005 0.512782718621439
0.1775 0.005 0.512667818842424
0.18 0.005 0.512547974985669
0.1825 0.005 0.512423792514252
0.185 0.005 0.512295855491085
0.1875 0.005 0.51216472330443
0.19 0.005 0.512030928056999
0.1925 0.005 0.511894972589735
0.195 0.005 0.511757329099096
0.1975 0.005 0.511618438297621
0.2 0.005 0.511478709061623
0.2025 0.005 0.511338518506623
0.205 0.005 0.511198212430297
0.2075 0.005 0.511058106063826
0.21 0.005 0.510918485075141
0.2125 0.005 0.510779606771329
0.215 0.005 0.510641701452024
0.2175 0.005 0.510504973870555
0.22 0.005 0.510369604764867
0.2225 0.005 0.51023575242537
0.225 0.005 0.510103554271897
0.2275 0.005 0.509973128416659
0.23 0.005 0.509844575194416
0.2325 0.005 0.509717978645001
0.235 0.005 0.50959340793684
0.2375 0.005 0.5094709187231
0.24 0.005 0.509350554424743
0.2425 0.005 0.50923234743697
0.245 0.005 0.509116320257344
0.2475 0.005 0.509002486535425
0.25 0.005 0.50889085204491
0.2525 0.005 0.50878141558025
0.255 0.005 0.50867416978041
0.2575 0.005 0.508569101882959
0.26 0.005 0.508466194412076
0.2625 0.005 0.508365425804232
0.265 0.005 0.508266770975482
0.2675 0.005 0.508170201834304
0.27 0.005 0.508075687743888
0.2725 0.005 0.50798319593771
0.275 0.005 0.50789269189206
0.2775 0.005 0.507804139659074
0.28 0.005 0.507717502163612
0.2825 0.005 0.507632741467139
0.285 0.005 0.507549819001588
0.2875 0.005 0.50746869577595
0.29 0.005 0.507389332558173
0.2925 0.005 0.50731169003473
0.295 0.005 0.507235728950051
0.2975 0.005 0.507161410227831
0.3 0.005 0.507088695076042
0.3025 0.005 0.507017545077339
0.305 0.005 0.506947922266398
0.3075 0.005 0.506879789195559
0.31 0.005 0.50681310899007
0.3125 0.005 0.506747845394045
0.315 0.005 0.5066839628082
0.3175 0.005 0.506621426320285
0.32 0.005 0.506560201729068
0.3225 0.005 0.506500255562621
0.325 0.005 0.506441555091602
0.3275 0.005 0.50638406833813
0.33 0.005 0.506327764080828
0.3325 0.005 0.506272611856498
0.335 0.005 0.50621858195889
0.3375 0.005 0.506165645434948
0.34 0.005 0.506113774078885
0.3425 0.005 0.506062940424404
0.345 0.005 0.506013117735339
0.3475 0.005 0.50596427999496
0.35 0.005 0.50591640189417
0.3525 0.005 0.505869458818779
0.355 0.005 0.505823426836031
0.3575 0.005 0.505778282680534
0.36 0.005 0.505734003739728
0.3625 0.005 0.505690568039001
0.365 0.005 0.505647954226566
0.3675 0.005 0.50560614155818
0.37 0.005 0.505565109881789
0.3725 0.005 0.505524839622158
0.375 0.005 0.50548531176556
0.3775 0.005 0.505446507844551
0.38 0.005 0.505408409922905
0.3825 0.005 0.505371000580712
0.385 0.005 0.505334262899702
0.3875 0.005 0.505298180448791
0.39 0.005 0.505262737269899
0.3925 0.005 0.505227917864037
0.395 0.005 0.505193707177682
0.3975 0.005 0.505160090589461
0.4 0.005 0.505127053897139
0.4025 0.005 0.505094583304924
0.405 0.005 0.505062665411092
0.4075 0.005 0.505031287195934
0.41 0.005 0.505000436010029
0.4125 0.005 0.504970099562832
0.415 0.005 0.504940265911591
0.4175 0.005 0.504910923450571
0.42 0.005 0.504882060900607
0.4225 0.005 0.504853667298949
0.425 0.005 0.504825731989423
0.4275 0.005 0.504798244612892
0.43 0.005 0.504771195098001
0.4325 0.005 0.504744573652217
0.435 0.005 0.504718370753149
0.4375 0.005 0.504692577140136
0.44 0.005 0.504667183806112
0.4425 0.005 0.504642181989722
0.445 0.005 0.504617563167694
0.4475 0.005 0.504593319047464
0.45 0.005 0.504569441560031
0.4525 0.005 0.504545922853049
0.455 0.005 0.504522755284148
0.4575 0.005 0.504499931414464
0.46 0.005 0.504477444002394
0.4625 0.005 0.504455285997549
0.465 0.005 0.504433450534904
0.4675 0.005 0.504411930929148
0.47 0.005 0.504390720669215
0.4725 0.005 0.504369813413001
0.475 0.005 0.504349202982248
0.4775 0.005 0.504328883357605
0.48 0.005 0.504308848673846
0.4825 0.005 0.504289093215252
0.485 0.005 0.504269611411139
0.4875 0.005 0.504250397831537
0.49 0.005 0.504231447183014
0.4925 0.005 0.504212754304629
0.495 0.005 0.504194314164031
0.4975 0.005 0.504176121853672
0.5 0.005 0.504158172587153
0.0025 0.01 0.500000050157361
0.005 0.01 0.500000264928439
0.0075 0.01 0.500000915253509
0.01 0.01 0.500002623520231
0.0125 0.01 0.500006762868048
0.015 0.01 0.500016262618845
0.0175 0.01 0.500037167734567
0.02 0.01 0.500081461639584
0.0225 0.01 0.500171550952377
0.025 0.01 0.500345451819605
0.0275 0.01 0.500657180952513
0.03 0.01 0.50115958372616
0.0325 0.01 0.501861441437348
0.035 0.01 0.502690342712864
0.0375 0.01 0.503521629108985
0.04 0.01 0.504257487035264
0.0425 0.01 0.504867079988425
0.045 0.01 0.50536685093651
0.0475 0.01 0.505787718553155
0.05 0.01 0.506157142212942
0.0525 0.01 0.506494522195667
0.055 0.01 0.506812186412041
0.0575 0.01 0.507117534515623
0.06 0.01 0.507414847193599
0.0625 0.01 0.507706518506585
0.065 0.01 0.507993824590885
0.0675 0.01 0.508277383371457
0.07 0.01 0.508557423652522
0.0725 0.01 0.508833940900724
0.075 0.01 0.509106786973801
0.0775 0.01 0.509375721770252
0.08 0.01 0.509640443100735
0.0825 0.01 0.509900604205394
0.085 0.01 0.510155824347943
0.0875 0.01 0.510405695614939
0.09 0.01 0.510649787725286
0.0925 0.01 0.510887651894395
0.095 0.01 0.511118824358728
0.0975 0.01 0.511342829911259
0.1 0.01 0.51155918564714
0.1025 0.01 0.511767405026336
0.105 0.01 0.511967002300182
0.1075 0.01 0.512157497307118
0.11 0.01 0.512338420611196
0.1125 0.01 0.5125093189309
0.115 0.01 0.512669760783347
0.1175 0.01 0.512819342249228
0.12 0.01 0.51295769274691
0.1225 0.01 0.513084480690487
0.125 0.01 0.513199418896848
0.1275 0.01 0.513302269601862
0.13 0.01 0.513392848946143
0.1325 0.01 0.513471030797124
0.135 0.01 0.51353674978642
0.1375 0.01 0.513590003459566
0.14 0.01 0.513630853458693
0.1425 0.01 0.513659425686508
0.145 0.01 0.513675909430867
0.1475 0.01 0.51368055546184
0.15 0.01 0.513673673145596
0.1525 0.01 0.513655626650223
0.155 0.01 0.513626830345983
0.1575 0.01 0.513587743525179
0.16 0.01 0.513538864583831
0.1625 0.01 0.513480724817909
0.165 0.01 0.513413881990911
0.1675 0.01 0.513338913827215
0.17 0.01 0.513256411577429
0.1725 0.01 0.513166973788887
0.175 0.01 0.513071200397461
0.1775 0.01 0.512969687237195
0.18 0.01 0.51286302104323
0.1825 0.01 0.512751775001975
0.185 0.01 0.512636504881788
0.1875 0.01 0.512517745758118
0.19 0.01 0.512396009329873
0.1925 0.01 0.512271781809155
0.195 0.01 0.512145522354515
0.1975 0.01 0.512017662008715
0.2 0.01 0.511888603095465
0.2025 0.01 0.51175871902548
0.205 0.01 0.511628354460325
0.2075 0.01 0.511497825782379
0.21 0.01 0.511367421820678
0.2125 0.01 0.51123740478494
0.215 0.01 0.511108011363476
0.2175 0.01 0.510979453944638
0.22 0.01 0.510851921925734
0.2225 0.01 0.510725583077722
0.225 0.01 0.510600584938349
0.2275 0.01 0.510477056210535
0.23 0.01 0.51035510814678
0.2325 0.01 0.510234835903896
0.235 0.01 0.510116319855682
0.2375 0.01 0.509999626853985
0.24 0.01 0.509884811431168
0.2425 0.01 0.509771916939116
0.245 0.01 0.509660976621796
0.2475 0.01 0.509552014619899
0.25 0.01 0.509445046907354
0.2525 0.01 0.509340082160516
0.255 0.01 0.509237122561643
0.2575 0.01 0.509136164538869
0.26 0.01 0.509037199445346
0.2625 0.01 0.508940214180537
0.265 0.01 0.508845191756866
0.2675 0.01 0.508752111815024
0.27 0.01 0.508660951091278
0.2725 0.01 0.508571683840127
0.275 0.01 0.508484282215545
0.2775 0.01 0.508398716614007
0.28 0.01 0.508314955982301
0.2825 0.01 0.508232968093044
0.285 0.01 0.50815271979063
0.2875 0.01 0.508074177210181
0.29 0.01 0.507997305971913
0.2925 0.01 0.507922071353159
0.295 0.01 0.507848438440129
0.2975 0.01 0.507776372261331
0.3 0.01 0.507705837904423
0.3025 0.01 0.507636800618134
0.305 0.01 0.507569225900731
0.3075 0.01 0.507503079576413
0.31 0.01 0.507438327860871
0.3125 0.01 0.507374937417141
0.315 0.01 0.5073128754028
0.3175 0.01 0.507252109509416
0.32 0.01 0.507192607995119
0.3225 0.01 0.507134339711058
0.325 0.01 0.507077274122418
0.3275 0.01 0.507021381324646
0.33 0.01 0.506966632055438
0.3325 0.01 0.50691299770299
0.335 0.01 0.506860450310972
0.3375 0.01 0.506808962580642
0.34 0.01 0.506758507870446
0.3425 0.01 0.506709060193456
0.345 0.01 0.506660594212922
0.3475 0.01 0.506613085236207
0.35 0.01 0.506566509207339
0.3525 0.01 0.506520842698385
0.355 0.01 0.506476062899837
0.3575 0.01 0.506432147610176
0.36 0.01 0.506389075224744
0.3625 0.01 0.506346824724079
0.365 0.01 0.506305375661808
0.3675 0.01 0.506264708152201
0.37 0.01 0.506224802857486
0.3725 0.01 0.506185640974989
0.375 0.01 0.506147204224178
0.3775 0.01 0.506109474833658
0.38 0.01 0.506072435528187
0.3825 0.01 0.50603606951574
0.385 0.01 0.506000360474667
0.3875 0.01 0.505965292540984
0.39 0.01 0.50593085029581
0.3925 0.01 0.505897018752996
0.395 0.01 0.50586378334694
0.3975 0.01 0.505831129920629
0.4 0.01 0.505799044713905
0.4025 0.01 0.505767514351972
0.405 0.01 0.505736525834157
0.4075 0.01 0.505706066522923
0.41 0.01 0.505676124133142
0.4125 0.01 0.505646686721636
0.415 0.01 0.505617742676982
0.4175 0.01 0.505589280709578
0.42 0.01 0.505561289841989
0.4225 0.01 0.505533759399537
0.425 0.01 0.505506679001173
0.4275 0.01 0.505480038550593
0.43 0.01 0.505453828227623
0.4325 0.01 0.50542803847984
0.435 0.01 0.505402660014458
0.4375 0.01 0.505377683790444
0.44 0.01 0.505353101010878
0.4425 0.01 0.505328903115543
0.445 0.01 0.505305081773745
0.4475 0.01 0.505281628877355
0.45 0.01 0.505258536534064
0.4525 0.01 0.505235797060852
