"G" "X" "Y" "O" "A" "D"
32 0.499541665667085 0.493623502635403 0.00683683733402733 0.581208849487182 0.000411313370475697
33 0.499510320780035 0.49309684844812 0.00739500444814806 0.581212562455644 0.000431910163007641
34 0.499477030625891 0.492534324618029 0.00799099799514954 0.581216548156823 0.000453521315888269
35 0.499441684920796 0.491933782281692 0.00862707781642765 0.581220817727254 0.000476194905319216
36 0.499404167962945 0.491292963146222 0.00930561863641243 0.581225382764639 0.000499981068011256
37 0.499364358454831 0.49060949582619 0.0100291139046516 0.58123025530439 0.000524932065282201
38 0.499322129330822 0.489880892298141 0.0108001795149028 0.581235447790664 0.000551102346321213
39 0.499277347591956 0.489104544513627 0.0116215573584642 0.58124097304113 0.000578548610209655
40 0.499229874150034 0.488277721216732 0.0124961186636335 0.58124684420463 0.000607329866242299
41 0.499179563683372 0.487397565017606 0.0134268670674512 0.581253074710842 0.000637507492043511
42 0.499126264506801 0.486461089779301 0.0144169413597639 0.581259678210961 0.000669145288921353
43 0.499069818458825 0.485465178381508 0.015469617833153 0.581266668508365 0.000702309533848374
44 0.499010060809087 0.484406580931246 0.0165883121654385 0.581274059478132 0.000737069027401672
45 0.498946820189646 0.48328191349744 0.0177765807543316 0.581281864974226 0.000773495136936979
46 0.49887991855385 0.48208765745339 0.0190381214164242 0.581290098723082 0.000811661834212545
47 0.498809171166925 0.480820159518322 0.0203767733551444 0.581298774202277 0.000851645726619219
48 0.498734386632727 0.479475632596596 0.0217965162946693 0.581307904502881 0.000893526081114106
49 0.498655366961401 0.478050157520355 0.0233014686691829 0.581317502174084 0.000937384839897544
50 0.498571907683042 0.476539685808568 0.0248958847494483 0.581327579048606 0.000983306626818067
51 0.49848379801272 0.474940043562123 0.026584150581592 0.581338146047434 0.0010313787434388
52 0.498390821072499 0.473246936620943 0.0283707786064889 0.581349212962382 0.00108169115365303
53 0.49829275417635 0.471455957114494 0.030260400822416 0.581360788215043 0.0011343364556983
54 0.498189369184007 0.46956259154159 0.0322577603489927 0.581372878590731 0.00118940984038906
55 0.498080432929974 0.467562230518489 0.0343677012471515 0.58138548894613 0.0012470090343703
56 0.497965707733928 0.465450180335793 0.0365951564483291 0.581398621889487 0.0013072342271908
57 0.497844951998756 0.463221676464154 0.0389451336466265 0.581412277432396 0.00137018798100725
58 0.497717920902266 0.460871899145824 0.0414226990107551 0.581426452612444 0.00143597512176263
59 0.497584367188423 0.458395991203355 0.0440329585786363 0.581441141086306 0.00150470261073631
60 0.497444042063455 0.455789078187675 0.0467810372069815 0.581456332693274 0.0015764793954428
61 0.497296696201674 0.453046290974989 0.0496720549615692 0.58147201298961 0.0016514162389632
62 0.497142080865029 0.450162790904952 0.0527111008516916 0.58148816275469 0.00172962552693188
63 0.496979949139471 0.447133797530938 0.0559032038348566 0.581504757470515 0.00181122105157237
64 0.496810057290001 0.443954619026548 0.0592533010457075 0.581521766776859 0.00189631777238383
65 0.496632166234838 0.440620685260441 0.0627662032366339 0.581539153905143 0.00198503155332431
66 0.496446043137481 0.437127583513807 0.0664465574569783 0.581556875094991 0.00207747887662007
67 0.496251463113482 0.433471096771283 0.0702988070432432 0.581574878998425 0.00217377653365248
68 0.496048211046588 0.429647244466679 0.074327149044309 0.581593106077657 0.00227404129373353
69 0.495836083506442 0.425652325509817 0.0785354892632013 0.581611488003604 0.00237838955197699
70 0.495614890757411 0.421482963360386 0.0829273951600282 0.581629947063354 0.0024869369579004
71 0.49538445884521 0.41713615284959 0.0875060469287043 0.581648395586012 0.0025997980268485
72 0.495144631744988 0.412609308381431 0.0922741871320863 0.581666735397551 0.0027170857368056
73 0.494895273551402 0.407900313073796 0.097234069354941 0.581684857316363 0.0028389111136525
74 0.494636270688014 0.40300756832669 0.10238740641023 0.581702640702329 0.00296538280841496
75 0.49436753411021 0.397930043232648 0.107735318709652 0.581719953073106 0.00309660667053094
76 0.494089001472819 0.392667323174723 0.113278283482085 0.58173664980209 0.0032326853216213
77 0.49380063923081 0.38721965689276 0.119016085591042 0.581752573913068 0.00337371773466682
78 0.493502444638983 0.381588001241625 0.124947770761805 0.581767555986767 0.00351979882385792
79 0.493194447614593 0.37577406281826 0.131071602077684 0.581781414194462 0.00367101905067573
80 0.492876712425435 0.369780335600816 0.137385020639909 0.581793954473279 0.00382746405196667
81 0.492549339165164 0.363610133725414 0.143884611304064 0.58180497085694 0.00398921429587286
82 0.492212464977804 0.357267618526941 0.150566074405029 0.581814245974286 0.00415634477146093
83 0.491866264994338 0.350757818992035 0.157424204359625 0.581821551726029 0.00432892471774195
84 0.491510952946325 0.344086644816956 0.164452875989608 0.581826650147779 0.00450701739748378
85 0.491146781424556 0.33726089133164 0.171645039335928 0.581829294464484 0.00469067992078001
86 0.49077404175483 0.33028823564452 0.178992723637806 0.581829230338028 0.00487996312275506
87 0.490393063468173 0.323177223480314 0.186487051027318 0.581826197305953 0.00507491149905729
88 0.490004213348933 0.315937246323688 0.194118260343247 0.581819930405073 0.00527556320193006
89 0.489607894051273 0.308578508643303 0.201875741299295 0.581810161969328 0.00548195009867018
90 0.489204542282386 0.301111985149903 0.209748079054708 0.581796623586722 0.00569409789320453
91 0.488794626559098 0.293549368234607 0.21772310903446 0.581779048195528 0.00591202631036366
92 0.488378644553264 0.285903005934313 0.225787981636604 0.581757172295616 0.00613574934123677
93 0.487957120050112 0.278185830974298 0.233929236252417 0.581730738246576 0.00636527554678778
94 0.487530599552315 0.270411281637389 0.242132883816958 0.581699496620687 0.0066006084157333
95 0.487099648570698 0.262593215398009 0.250384496910588 0.581663208575716 0.00684174677156486
96 0.48666484764985 0.254745816431413 0.258669306252503 0.581621648210273 0.0070886852225762
97 0.486226788183331 0.246883498257532 0.266972302271851 0.581574604862989 0.00734141464786218
98 0.485786068078265 0.239020802899454 0.275278340316156 0.581521885316374 0.00759992271151926
99 0.485343287332836 0.231172298024343 0.283572247965291 0.581463315866755 0.00786419439671994
100 0.484899043592373 0.2233524735861 0.291838932865585 0.581398744223297 0.00813421255097297
101 0.48445392775017 0.215575639502322 0.30006348948481 0.581328041201731 0.00840995843372629
102 0.484008519658062 0.207855825872782 0.308231303215414 0.581251102181995 0.00869141225752305
103 0.483563384008984 0.200206687183399 0.316328150319267 0.581167848303389 0.00897855371417729
104 0.483119066449452 0.192641411841272 0.324340292310031 0.581078227376004 0.00927136247788236
105 0.482676089974276 0.185172638256195 0.332254563504997 0.580982214492875 0.00956981867778301
106 0.482234951649047 0.177812378527193 0.340058450641955 0.58087981233335 0.00987390333330822
