"k" "s" "DF"
0.0025 0.005 1.62711937785519e-06
0.005 0.005 1.60671164551366e-06
0.0075 0.005 1.58637867564451e-06
0.01 0.005 1.56604808250605e-06
0.0125 0.005 1.54558091780792e-06
0.015 0.005 1.52471561354145e-06
0.0175 0.005 1.50297889507224e-06
0.02 0.005 1.47957541879076e-06
0.0225 0.005 1.45333471398172e-06
0.025 0.005 1.42289437096239e-06
0.0275 0.005 1.38723924258262e-06
0.03 0.005 1.34627600829024e-06
0.0325 0.005 1.30083981366647e-06
0.035 0.005 1.2521467022893e-06
0.0375 0.005 1.20129204435068e-06
0.04 0.005 1.14908486096232e-06
0.0425 0.005 1.09609068609821e-06
0.045 0.005 1.04271954451945e-06
0.0475 0.005 9.89293768819165e-07
0.05 0.005 9.36088101896576e-07
0.0525 0.005 8.83350176460262e-07
0.055 0.005 8.3130957863338e-07
0.0575 0.005 7.8018090499044e-07
0.06 0.005 7.30163915988558e-07
0.0625 0.005 6.81442457660199e-07
0.065 0.005 6.34183019713206e-07
0.0675 0.005 5.88533365662391e-07
0.07 0.005 5.44621442217493e-07
0.0725 0.005 5.02554655385137e-07
0.075 0.005 4.62419537901715e-07
0.0775 0.005 4.24281799403763e-07
0.08 0.005 3.88186732961708e-07
0.0825 0.005 3.54159941942592e-07
0.085 0.005 3.22208345916519e-07
0.0875 0.005 2.92321421621238e-07
0.09 0.005 2.64472633931516e-07
0.0925 0.005 2.38621011898067e-07
0.095 0.005 2.14712825996725e-07
0.0975 0.005 1.92683324631493e-07
0.1 0.005 1.72458490566066e-07
0.1025 0.005 1.53956781222236e-07
0.105 0.005 1.37090820576361e-07
0.1075 0.005 1.21769014590754e-07
0.11 0.005 1.07897066609924e-07
0.1125 0.005 9.53793738013953e-08
0.115 0.005 8.41202903944713e-08
0.1175 0.005 7.40252480418185e-08
0.12 0.005 6.50017279795115e-08
0.1225 0.005 5.69600836887679e-08
0.125 0.005 4.98142163803189e-08
0.1275 0.005 4.34821087646186e-08
0.13 0.005 3.78862251935612e-08
0.1325 0.005 3.29537883392339e-08
0.135 0.005 2.86169441110398e-08
0.1375 0.005 2.48128275220882e-08
0.14 0.005 2.14835427338893e-08
0.1425 0.005 1.85760705836086e-08
0.145 0.005 1.60421165891991e-08
0.1475 0.005 1.38379118001755e-08
0.15 0.005 1.19239779838571e-08
0.1525 0.005 1.02648675766654e-08
0.155 0.005 8.82888765204983e-09
0.1575 0.005 7.58781591982031e-09
0.16 0.005 6.51661552745168e-09
0.1625 0.005 5.59315422520143e-09
0.165 0.005 4.79793231744508e-09
0.1675 0.005 4.11382277731597e-09
0.17 0.005 3.52582596695072e-09
0.1725 0.005 3.02084059022922e-09
0.175 0.005 2.58745181125616e-09
0.1775 0.005 2.21573689713302e-09
0.18 0.005 1.89708828101944e-09
0.1825 0.005 1.62405358146796e-09
0.185 0.005 1.39019184520539e-09
0.1875 0.005 1.189945090751e-09
0.19 0.005 1.01852410723888e-09
0.1925 0.005 8.71807394741673e-10
0.195 0.005 7.46252108320426e-10
0.1975 0.005 6.38815878110786e-10
0.2 0.005 5.46888413392077e-10
0.2025 0.005 4.68231852449663e-10
0.205 0.005 4.00928886045387e-10
0.2075 0.005 3.43337755529894e-10
0.21 0.005 2.94053303176495e-10
0.2125 0.005 2.5187332921729e-10
0.215 0.005 2.15769585119374e-10
0.2175 0.005 1.84862804299506e-10
0.22 0.005 1.584012387116e-10
0.2225 0.005 1.35742231937322e-10
0.225 0.005 1.16336416273939e-10
0.2275 0.005 9.97141727898209e-11
0.23 0.005 8.54740395279617e-11
0.2325 0.005 7.32727942219706e-11
0.235 0.005 6.28169743649682e-11
0.2375 0.005 5.38556296038164e-11
0.24 0.005 4.61741296026973e-11
0.2425 0.005 3.95888751177612e-11
0.245 0.005 3.39427814239024e-11
0.2475 0.005 2.91014217932005e-11
0.25 0.005 2.49497347742948e-11
0.2525 0.005 2.13892128687088e-11
0.255 0.005 1.83355021209611e-11
0.2575 0.005 1.57163523831902e-11
0.26 0.005 1.34698668038166e-11
0.2625 0.005 1.15430066197378e-11
0.265 0.005 9.89031377549031e-12
0.2675 0.005 8.47281940169083e-12
0.27 0.005 7.25711089067315e-12
0.2725 0.005 6.21453432383892e-12
0.275 0.005 5.32051243174643e-12
0.2775 0.005 4.5539611897705e-12
0.28 0.005 3.89679064266957e-12
0.2825 0.005 3.33347767376884e-12
0.285 0.005 2.8507002427682e-12
0.2875 0.005 2.43702415675727e-12
0.29 0.005 2.08263475144488e-12
0.2925 0.005 1.77910697772459e-12
0.295 0.005 1.51920834133663e-12
0.2975 0.005 1.29672995514471e-12
0.3 0.005 1.10634165539507e-12
0.3025 0.005 9.43467723079297e-13
0.305 0.005 8.04180254387258e-13
0.3075 0.005 6.85107653125405e-13
0.31 0.005 5.83356083878658e-13
0.3125 0.005 4.96442036964848e-13
0.315 0.005 4.22234422816444e-13
0.3175 0.005 3.58904841091096e-13
0.32 0.005 3.04884864313103e-13
0.3225 0.005 2.58829342073869e-13
0.325 0.005 2.1958487393666e-13
0.3275 0.005 1.86162720742516e-13
0.33 0.005 1.57715528014953e-13
0.3325 0.005 1.33517324181657e-13
0.335 0.005 1.12946332556284e-13
0.3375 0.005 9.54702013191078e-14
0.34 0.005 8.06333116877367e-14
0.3425 0.005 6.80458724345364e-14
0.345 0.005 5.73745500394662e-14
0.3475 0.005 4.83344190524207e-14
0.35 0.005 4.06820475190245e-14
0.3525 0.005 3.42095583163982e-14
0.355 0.005 2.87395295653046e-14
0.3575 0.005 2.41206164564336e-14
0.36 0.005 2.02237933005937e-14
0.3625 0.005 1.69391287689285e-14
0.365 0.005 1.41730194585702e-14
0.3675 0.005 1.18458173827428e-14
0.37 0.005 9.88979598321712e-15
0.3725 0.005 8.24740700369194e-15
0.375 0.005 6.86978722224492e-15
0.3775 0.005 5.7154797712423e-15
0.38 0.005 4.74933970441101e-15
0.3825 0.005 3.94159771491378e-15
0.385 0.005 3.26705956134566e-15
0.3875 0.005 2.70442190301693e-15
0.39 0.005 2.23568795264859e-15
0.3925 0.005 1.84566868458774e-15
0.395 0.005 1.52155734226749e-15
0.3975 0.005 1.25256671494325e-15
0.4 0.005 1.02962013953807e-15
0.4025 0.005 8.45088462073456e-16
0.405 0.005 6.925662933966e-16
0.4075 0.005 5.66681840468602e-16
0.41 0.005 4.62935408660752e-16
0.4125 0.005 3.77562370672228e-16
0.415 0.005 3.07416999633653e-16
0.4175 0.005 2.49874081337147e-16
0.42 0.005 2.02745665059431e-16
0.4225 0.005 1.64210694251468e-16
0.425 0.005 1.32755586171336e-16
0.4275 0.005 1.07124110856235e-16
0.43 0.005 8.62751611450167e-17
0.4325 0.005 6.93472123586073e-17
0.435 0.005 5.56284475378582e-17
0.4375 0.005 4.45316759742139e-17
0.44 0.005 3.55733027244436e-17
