"G" "A1D1X" "A2D1X" "A1D1Y" "A2D1Y" "A1D1O" "A2D1O" "A1D2X" "A2D2X" "A1D2Y" "A2D2Y" "A1D2O" "A2D2O"
1 0.209285102142108 0.290343644145355 0.209346957678803 0.290405539846172 6.18555366949211e-05 6.1895700817454e-05 4.18136395510044e-05 8.19375979613707e-05 8.36272791020088e-05 0.000163875195922741 4.18136395510044e-05 8.19375979613707e-05
2 0.209333327491839 0.290377340566329 0.209294300518723 0.290334074454575 0.000133696523998226 0.000150149910323533 2.50343047903e-05 6.92538110174086e-05 3.33902031214405e-05 9.23692044246864e-05 4.17127112494595e-05 0.000115392228627539
3 0.209343698292618 0.290374582279967 0.209221743403508 0.290239624917294 0.000206812342632516 0.000256621097930971 2.03155102780722e-05 6.8937751542613e-05 2.39721165530866e-05 7.28777393386266e-05 3.697441428113e-05 0.000133935515289212
4 0.209344681645236 0.290364799029707 0.209143545458184 0.290128476404993 0.000285423833903878 0.000374668531294667 1.83916724399012e-05 7.1248256154239e-05 2.20001551262895e-05 6.70444641417666e-05 3.31748621934141e-05 0.00014670030432095
5 0.20934466735149 0.29035146264995 0.209060258390375 0.290005062408299 0.000370251493790089 0.000503110472971016 1.71546255230188e-05 7.41970186626675e-05 2.1031333895812e-05 6.57432592902592e-05 3.04325426732444e-05 0.000156847796697743
6 0.209344186453997 0.29033662238739 0.208970635731579 0.28987133725236 0.00046154861742001 0.000641944027298765 1.612223811758e-05 7.73815177011165e-05 2.0052126723783e-05 6.63864188072161e-05 2.83145876289571e-05 0.000165758134296133
7 0.20934343610967 0.290320626041052 0.208874248759792 0.289727307824586 0.000559615362237 0.000791507112055513 1.51821106630413e-05 8.07238779943671e-05 1.90094008361606e-05 6.80402532270733e-05 2.65369311529634e-05 0.000174131380756028
8 0.209342458408682 0.290303518944446 0.208770682918521 0.289572563810071 0.000664840295173329 0.00095230680061065 1.43060329186812e-05 8.42128151110426e-05 1.79595688102191e-05 7.02876379817751e-05 2.49585299458246e-05 0.000182350807351353
9 0.209341262477895 0.2902852709204 0.208659480562531 0.289406530162841 0.000777677965457065 0.00112496829488153 1.34850791664847e-05 8.78508266419929e-05 1.69408088074087e-05 7.29174830813578e-05 2.35144286920453e-05 0.000190634996844621
10 0.209339848506612 0.290265831301464 0.208540140560326 0.289228535790536 0.00089862984717577 0.00131020882176153 1.27148531318612e-05 9.16433983292586e-05 1.59701194630589e-05 7.58174018325299e-05 2.21744399325247e-05 0.000199112793155246
11 0.209338213893941 0.290245141463507 0.208412125096448 0.289037837243843 0.00102823429496792 0.00150882071726241 1.19921287503342e-05 9.55968064289072e-05 1.50530233461581e-05 7.89270890273007e-05 2.09233629048445e-05 0.000207863330259421
12 0.209336354884108 0.29022313788265 0.208274863511021 0.288833630060051 0.00116706230640749 0.00172166062456752 1.13140796974992e-05 9.97176770331003e-05 1.41898894431276e-05 8.22148930229953e-05 1.975234964937e-05 0.000216938138076306
