"G" "DA2D2" "DA2Y" "DD2Y"
1 1.63460825784729e-05 0 0.000123628722562088
2 2.53193387383276e-05 3.30038436675839e-06 9.23074455312256e-05
3 3.12977226056253e-05 6.07394986160137e-06 8.45606741696322e-05
4 3.63207862319652e-05 7.64529845555945e-06 8.27075091512273e-05
5 4.11243596271942e-05 8.92295811121685e-06 8.23687592303719e-05
6 4.59488765099967e-05 1.01459401714576e-05 8.24594440341113e-05
7 5.08714581861904e-05 1.13777206656937e-05 8.27113573647007e-05
8 5.59191427442494e-05 1.26359850349256e-05 8.30590544388743e-05
9 6.11043979179576e-05 1.39265379590844e-05 8.34875216922764e-05
10 6.64357032050202e-05 1.52521443769274e-05 8.39943523848269e-05
11 7.19206030120014e-05 1.66148275559455e-05 8.45803482265044e-05
12 7.75665720488619e-05 1.80164659702511e-05 8.52471840202846e-05
13 8.33812618920244e-05 1.94589493385938e-05 8.59968287896117e-05
14 8.93725760768683e-05 2.09442207967925e-05 8.68314041423377e-05
15 9.55486985863601e-05 2.24742897842467e-05 8.77531516336216e-05
16 0.000101918110038794 2.40512374700963e-05 8.87644274002612e-05
17 0.000108489600888218 2.56772203383812e-05 8.98677037049349e-05
18 0.000115272284148566 2.73544733792805e-05 9.10655723165175e-05
19 0.000122275608320659 2.90853132596178e-05 9.23607484638455e-05
20 0.000129509370712309 3.08721415706453e-05 9.37560750511022e-05
21 0.000136983731212368 3.27174481809661e-05 9.52545270603897e-05
22 0.000144709226545646 3.46238147041697e-05 9.68592161263887e-05
23 0.000152696785026919 3.65939180861571e-05 9.85733952828976e-05
24 0.000160957741830121 3.86305343165819e-05 0.000100400463884794
25 0.000169503854788447 4.07365422673972e-05 0.000102343972709946
26 0.000178347320741104 4.29149276632429e-05 0.00010440762924588
27 0.000187500792442587 4.51687871861825e-05 0.000106595303166086
28 0.00019697739605049 4.75013327193782e-05 0.000108911032000897
29 0.00020679074920795 4.99158957332282e-05 0.000111359027007881
30 0.000216954979736908 5.24159318172138e-05 0.000113943679246679
31 0.000227484744958406 5.50050253619594e-05 0.000116669565863194
