"k" "t" "SR"
0.205 0.005 0.50000000013042
0.2075 0.005 0.500000000128134
0.21 0.005 0.500000000125847
0.2125 0.005 0.500000000123561
0.215 0.005 0.50000000012128
0.2175 0.005 0.500000000119002
0.22 0.005 0.500000000116731
0.2225 0.005 0.500000000114468
0.225 0.005 0.500000000112214
0.2275 0.005 0.50000000010997
0.23 0.005 0.500000000107737
0.2325 0.005 0.500000000105518
0.235 0.005 0.500000000103312
0.2375 0.005 0.500000000101122
0.24 0.005 0.500000000098948
0.2425 0.005 0.500000000096791
0.245 0.005 0.500000000094652
0.2475 0.005 0.500000000092532
0.25 0.005 0.500000000090432
0.2525 0.005 0.500000000088352
0.255 0.005 0.500000000086294
0.2575 0.005 0.500000000084258
0.26 0.005 0.500000000082245
0.2625 0.005 0.500000000080256
0.265 0.005 0.500000000078291
0.2675 0.005 0.50000000007635
0.27 0.005 0.500000000074435
0.2725 0.005 0.500000000072545
0.275 0.005 0.500000000070681
0.2775 0.005 0.500000000068844
0.28 0.005 0.500000000067034
0.2825 0.005 0.500000000065251
0.285 0.005 0.500000000063496
0.2875 0.005 0.500000000061768
0.29 0.005 0.500000000060069
0.2925 0.005 0.500000000058397
0.295 0.005 0.500000000056755
0.2975 0.005 0.50000000005514
0.3 0.005 0.500000000053555
0.3025 0.005 0.500000000051998
0.305 0.005 0.50000000005047
0.3075 0.005 0.500000000048971
0.31 0.005 0.500000000047502
0.3125 0.005 0.50000000004606
0.315 0.005 0.500000000044648
0.3175 0.005 0.500000000043265
0.32 0.005 0.500000000041911
0.3225 0.005 0.500000000040585
0.325 0.005 0.500000000039288
0.3275 0.005 0.500000000038019
0.33 0.005 0.500000000036778
0.3325 0.005 0.500000000035566
0.335 0.005 0.500000000034381
0.3375 0.005 0.500000000033225
0.34 0.005 0.500000000032096
0.3425 0.005 0.500000000030994
0.345 0.005 0.500000000029919
0.3475 0.005 0.500000000028871
0.35 0.005 0.500000000027849
0.3525 0.005 0.500000000026854
0.355 0.005 0.500000000025885
0.3575 0.005 0.500000000024941
0.36 0.005 0.500000000024023
0.3625 0.005 0.500000000023129
0.365 0.005 0.50000000002226
0.3675 0.005 0.500000000021416
0.37 0.005 0.500000000020595
0.3725 0.005 0.500000000019798
0.375 0.005 0.500000000019024
0.3775 0.005 0.500000000018273
0.38 0.005 0.500000000017545
0.3825 0.005 0.500000000016839
0.385 0.005 0.500000000016154
0.3875 0.005 0.50000000001549
0.39 0.005 0.500000000014848
0.3925 0.005 0.500000000014226
0.395 0.005 0.500000000013625
0.3975 0.005 0.500000000013042
0.4 0.005 0.50000000001248
0.4025 0.005 0.500000000011936
0.405 0.005 0.500000000011411
0.4075 0.005 0.500000000010904
0.41 0.005 0.500000000010414
0.4125 0.005 0.500000000009942
0.415 0.005 0.500000000009487
0.4175 0.005 0.500000000009048
0.42 0.005 0.500000000008626
0.4225 0.005 0.500000000008219
0.425 0.005 0.500000000007827
0.4275 0.005 0.50000000000745
0.43 0.005 0.500000000007088
0.4325 0.005 0.50000000000674
0.435 0.005 0.500000000006406
0.4375 0.005 0.500000000006085
0.44 0.005 0.500000000005777
0.4425 0.005 0.500000000005482
0.445 0.005 0.500000000005199
0.4475 0.005 0.500000000004927
0.45 0.005 0.500000000004668
0.4525 0.005 0.500000000004419
0.455 0.005 0.500000000004181
0.4575 0.005 0.500000000003954
0.46 0.005 0.500000000003737
0.4625 0.005 0.50000000000353
0.465 0.005 0.500000000003332
0.4675 0.005 0.500000000003143
0.47 0.005 0.500000000002964
0.4725 0.005 0.500000000002792
0.475 0.005 0.500000000002629
0.4775 0.005 0.500000000002474
0.48 0.005 0.500000000002326
0.4825 0.005 0.500000000002186
0.485 0.005 0.500000000002053
0.4875 0.005 0.500000000001926
0.49 0.005 0.500000000001806
0.4925 0.005 0.500000000001693
0.495 0.005 0.500000000001585
0.4975 0.005 0.500000000001483
0.5 0.005 0.500000000001387
