"G" "A1D1X" "A2D1X" "A1D1Y" "A2D1Y" "A1D2X" "A2D2X" "A1D2Y" "A2D2Y"
24 0.249977551582887 0.249921909257845 0.250012490902717 0.249953991975792 2.20691249495267e-07 3.32933789405586e-05 6.62073748485802e-07 9.98801368216758e-05
25 0.249977107350884 0.249919976396796 0.250012872804983 0.249952817514348 2.30147498168749e-07 3.4076335749324e-05 6.90442494506246e-07 0.000102229007247972
26 0.249976653031811 0.249917998292829 0.250013263851248 0.249951615456327 2.39683847994236e-07 3.48776580979949e-05 7.19051543982708e-07 0.000104632974293985
27 0.249976188382162 0.249915973884866 0.250013664251545 0.249950385156398 2.49306881283944e-07 3.56977743760461e-05 7.47920643851831e-07 0.000107093323128138
28 0.249975713153222 0.24991390208741 0.250014074220995 0.249949125954241 2.59023176472104e-07 3.6537122856619e-05 7.77069529416312e-07 0.000109611368569857
29 0.24997522709094 0.249911781789996 0.250014493979927 0.249947837174206 2.68839313179533e-07 3.73961519191929e-05 8.065179395386e-07 0.000112188455757579
30 0.249974729935805 0.249909611856617 0.250014923753994 0.249946518124967 2.78761877219591e-07 3.82753202770217e-05 8.36285631658773e-07 0.000114825960831065
31 0.249974221422715 0.249907391125141 0.250015363774285 0.249945168099159 2.88797465549764e-07 3.91750972094276e-05 8.66392396649291e-07 0.000117525291628283
32 0.249973701280849 0.249905118406717 0.250015814277457 0.249943786373017 2.98952691173016e-07 4.0095962799041e-05 8.96858073519048e-07 0.000120287888397123
33 0.249973169233531 0.249902792485168 0.250016275505849 0.249942372206003 3.09234187992946e-07 4.10384081740799e-05 9.27702563978838e-07 0.00012311522452224
34 0.249972624998099 0.24990041211637 0.250016747707621 0.249940924840425 3.1964861562669e-07 4.200293575576e-05 9.58945846880071e-07 0.00012600880726728
35 0.249972068285761 0.249897976027618 0.250017231136874 0.249939443501047 3.30202664179436e-07 4.29900595109309e-05 9.90607992538308e-07 0.000128970178532793
36 0.249971498801461 0.249895482916982 0.250017726053791 0.24993792739469 3.40903058984305e-07 4.40003052100324e-05 1.02270917695292e-06 0.000132000915630097
37 0.249970916243732 0.249892931452641 0.250018232724774 0.249936375709831 3.51756565311299e-07 4.50342106904674e-05 1.0552696959339e-06 0.000135102632071402
38 0.249970320304555 0.249890320272212 0.250018751422581 0.249934787616179 3.62769993048897e-07 4.60923261254865e-05 1.08830997914669e-06 0.00013827697837646
39 0.249969710669209 0.249887647982061 0.250019282426472 0.249933162264259 3.73950201361849e-07 4.71752142986844e-05 1.12185060408555e-06 0.000141525642896053
40 0.249969087016122 0.249884913156597 0.250019826022357 0.249931498784974 3.85304103328587e-07 4.82834508842038e-05 1.15591230998576e-06 0.000144850352652611
41 0.249968449016718 0.249882114337558 0.250020382502947 0.249929796289165 3.96838670561658e-07 4.94176247327482e-05 1.19051601168498e-06 0.000148252874198245
42 0.249967796335263 0.249879250033272 0.250020952167905 0.249928053867154 4.08560937814463e-07 5.05783381635022e-05 1.22568281344339e-06 0.000151735014490507
43 0.249967128628709 0.249876318717914 0.25002153532401 0.24992627058829 4.20478007577542e-07 5.17662072620598e-05 1.26143402273263e-06 0.000155298621786179
44 0.249966445546527 0.249873318830738 0.250022132285311 0.249924445500467 4.32597054667589e-07 5.29818621844627e-05 1.29779116400277e-06 0.000158945586553388
45 0.249965746730554 0.249870248775299 0.250022743373302 0.249922577629652 4.44925330812283e-07 5.42259474674502e-05 1.33477599243685e-06 0.00016267784240235
46 0.249965031814818 0.249867106918657 0.250023368917083 0.249920665979385 4.57470169233999e-07 5.54991223450213e-05 1.372410507702e-06 0.000166497367035064
47 0.249964300425376 0.249863891590562 0.250024009253539 0.249918709530282 4.70238989235366e-07 5.6802061071415e-05 1.4107169677061e-06 0.000170406183214245
48 0.249963552180139 0.249860601082626 0.250024664727514 0.249916707239516 4.83239300789618e-07 5.81354532506072e-05 1.44971790236885e-06 0.000174406359751822
49 0.249962786688701 0.249857233647479 0.250025335691995 0.249914658040299 4.96478709138584e-07 5.95000041724323e-05 1.48943612741575e-06 0.000178500012517297
50 0.249962003552161 0.249853787497901 0.250026022508297 0.249912560841342 5.09964919401154e-07 6.08964351554284e-05 1.52989475820346e-06 0.000182689305466285
51 0.249961202362941 0.249850260805943 0.250026725546254 0.249910414526311 5.2370574119497e-07 6.23254838965125e-05 1.57111722358491e-06 0.000186976451689537
52 0.249960382704609 0.249846651702029 0.25002744518441 0.249908217953268 5.37709093274046e-07 6.37879048275882e-05 1.61312727982214e-06 0.000191363714482764
53 0.249959544151687 0.249842958274036 0.250028181810226 0.249905969954102 5.51983008184988e-07 6.52844694791885e-05 1.65594902455496e-06 0.000195853408437565
54 0.249958686269469 0.249839178566359 0.250028935820273 0.249903669333947 5.66535636944405e-07 6.68159668512575e-05 1.69960691083322e-06 0.000200447900553772
55 0.249957808613825 0.249835310578958 0.250029707620448 0.249901314870589 5.81375253740083e-07 6.83832037911731e-05 1.74412576122025e-06 0.000205149611373519
56 0.249956910731009 0.249831352266383 0.250030497626188 0.249898905313861 5.96510260658411e-07 6.9987005379113e-05 1.78953078197523e-06 0.000209961016137339
57 0.249955992157464 0.249827301536779 0.25003130626268 0.249896439385023 6.1194919244055e-07 7.16282153208652e-05 1.83584757732165e-06 0.000214884645962595
58 0.249955052419618 0.249823156250879 0.250032133965093 0.249893915776132 6.27700721269724e-07 7.33076963481834e-05 1.88310216380917e-06 0.00021992308904455
59 0.249954091033683 0.249818914220963 0.250032981178801 0.249891333149399 6.43773661592023e-07 7.50263306267879e-05 1.93132098477607e-06 0.000225078991880364
