"G" "X" "Y" "A" "D"
1 0.499752497524975 0.500247502475025 0.25 0.0004950049500495
2 0.499815248576584 0.500184751423416 0.249999866652133 0.000369502846832537
3 0.49983078117717 0.50016921882283 0.250003272296759 0.000338471799876674
4 0.499834494933676 0.500165505066324 0.250006408213946 0.000331049197882717
5 0.499835173844795 0.500164826155205 0.25000847894648 0.000329692404647321
6 0.499834992394475 0.500165007605525 0.250010354622129 0.000330055622888537
7 0.499834488003068 0.500165511996932 0.25001226577927 0.000331064610117739
8 0.499833791799941 0.50016620820006 0.250014275321282 0.000332457246237473
9 0.499832933866942 0.500167066133058 0.250016402501466 0.000334173403001947
10 0.499831919026011 0.500168080973989 0.250018655334334 0.00033620344715073
11 0.499830745670072 0.500169254329927 0.250021039050287 0.00033855059752414
12 0.499829410442203 0.500170589557797 0.250023558296716 0.000341221571429062
13 0.499827909395439 0.50017209060456 0.250026217713038 0.000344224266206751
14 0.499826238276525 0.500173761723475 0.250029022084444 0.000347567192066619
15 0.499824392591243 0.500175607408757 0.250031976386937 0.00035125934150554
16 0.499822367615114 0.500177632384886 0.250035085804558 0.000355310167971089
17 0.499820158390232 0.500179841609768 0.25003835573966 0.000359729592215521
18 0.499817759718421 0.500182240281579 0.250041791821609 0.000364528016019201
19 0.499815166153236 0.500184833846764 0.250045399915314 0.000369716338227406
20 0.499812371991429 0.500187628008571 0.250049186129938 0.000375305971852823
21 0.499809371264035 0.500190628735965 0.250053156827887 0.000381308861947019
22 0.499806157727104 0.500193842272896 0.250057318634124 0.000387737504181945
23 0.499802724852079 0.500197275147921 0.250061678445812 0.000394604964142276
24 0.499799065815813 0.500200934184187 0.250066243442296 0.000401924897344584
25 0.499795173490214 0.500204826509786 0.250071021095443 0.000409711570003395
26 0.499791040431512 0.500208959568488 0.25007601918034 0.000417979880565439
27 0.499786658869125 0.500213341130874 0.250081245786369 0.000426745382033937
28 0.499782020694134 0.500217979305866 0.250086709328663 0.000436024305105056
29 0.49977711744733 0.50022288255267 0.250092418559952 0.000445833582138938
30 0.499771940306847 0.500228059693153 0.250098382582816 0.000456190871987856
31 0.499766480075352 0.500233519924648 0.250104610862343 0.000467114585704197
32 0.499760727166789 0.50023927283321 0.250111113239216 0.000478623913151042
33 0.499754671592669 0.500245328407332 0.250117899943226 0.000490738850538109
34 0.499748302947876 0.500251697052124 0.25012498160723 0.000503480228905799
35 0.499741610396014 0.500258389603986 0.250132369281552 0.000516869743579913
36 0.499734582654243 0.500265417345757 0.250140074448852 0.000530929984619414
37 0.49972720797762 0.50027279202238 0.250148109039453 0.000545684468279293
38 0.499719474142932 0.500280525857068 0.250156485447149 0.000561157669510182
39 0.499711368432002 0.500288631567998 0.250165216545496 0.000577375055515818
40 0.499702877614456 0.500297122385544 0.250174315704591 0.000594363120388841
41 0.499693987929962 0.500306012070038 0.250183796808347 0.000612149420844585
42 0.499684685069908 0.500315314930092 0.250193674272276 0.00063076261307163
43 0.499674954158525 0.500325045841475 0.250203963061772 0.000650232490716745
44 0.49966477973344 0.50033522026656 0.250214678710913 0.000670590024020615
45 0.499654145725662 0.500345854274338 0.250225837341771 0.000691867400119269
46 0.499643035438985 0.500356964561015 0.250237455684245 0.000714098064524456
47 0.499631431528805 0.500368568471195 0.250249551096404 0.000737316763794322
48 0.499619315980351 0.500380684019649 0.250262141585356 0.000761559589403622
49 0.499606670086331 0.500393329913669 0.250275245828619 0.000786864022820265
50 0.499593474423976 0.500406525576023 0.250288883196012 0.000813268981792361
51 0.499579708831503 0.500420291168497 0.250303073772045 0.000840814867846883
52 0.499565352383979 0.500434647616021 0.250317838378801 0.000869543614997811
53 0.499550383368611 0.500449616631389 0.250333198599311 0.000899498739657904
54 0.499534779259451 0.500465220740549 0.250349176801391 0.000930725391744226
55 0.49951851669153 0.500481483308469 0.250365796161942 0.00096327040696309
56 0.499501571434437 0.500498428565563 0.250383080691683 0.000997182360255197
57 0.499483918365348 0.500516081634653 0.250401055260296 0.00103251162037641
58 0.499465531441529 0.500534468558472 0.250419745621962 0.00106931040558375
59 0.499446383672332 0.500553616327668 0.250439178441255 0.00110763284038984
60 0.499426447090704 0.500573552909296 0.25045938131936 0.00114753501334213
61 0.499405692724235 0.500594307275765 0.25048038282057 0.00118907503577562
62 0.499384090565789 0.500615909434211 0.25050221249904 0.00123231310147988
63 0.499361609543735 0.500638390456265 0.250524900925715 0.00127731154721201
64 0.499338217491838 0.500661782508162 0.25054847971541 0.00132413491397816
65 0.499313881118845 0.500686118881155 0.250572981553962 0.00137285000899554
66 0.499288565977817 0.500711434022183 0.250598440225392 0.00142352596823614
67 0.499262236435275 0.500737763564726 0.250624890639006 0.00147623431944156
68 0.499234855640211 0.500765144359789 0.250652368856347 0.00153104904548551
69 0.499206385493052 0.500793614506948 0.250680912117915 0.00158804664794735
70 0.499176786614633 0.500823213385367 0.250710558869552 0.00164730621074521
71 0.499146018315294 0.500853981684706 0.250741348788384 0.00170890946366233
72 0.499114038564165 0.500885961435835 0.250773322808211 0.00177294084558344
73 0.499080803958768 0.500919196041231 0.250806523144211 0.0018394875672411
74 0.499046269695041 0.500953730304959 0.250840993316821 0.00190863967325317
75 0.49901038953789 0.50098961046211 0.250876778174655 0.0019804901032136
76 0.498973115792439 0.501026884207561 0.250913923916281 0.00205513475157782
77 0.498934399276079 0.501065600723921 0.250952478110713 0.00213267252606292
78 0.498894189291506 0.501105810708494 0.250992489716396 0.00221320540426001
79 0.498852433600899 0.501147566399102 0.251034009098525 0.00229683848813243
