"k" "s" "DF"
0.0025 0.405 0.000126948625455619
0.0025 0.4075 0.000125844886047831
0.0025 0.41 0.000124645885263306
0.0025 0.4125 0.000123352627551937
0.0025 0.415 0.000121966585689614
0.0025 0.4175 0.00012048970345897
0.0025 0.42 0.000118924392713244
0.0025 0.4225 0.000117273524659661
0.0025 0.425 0.000115540415325654
0.0025 0.4275 0.000113728805304302
0.0025 0.43 0.000111842834009839
0.0025 0.4325 0.000109887008805089
0.0025 0.435 0.000107866169485027
0.0025 0.4375 0.000105785448709994
0.0025 0.44 0.000103650229073923
0.0025 0.4425 0.000101466097564382
0.0025 0.445 9.92387982194075e-05
0.0025 0.4475 9.6974183810292e-05
0.0025 0.45 9.46781673789065e-05
0.0025 0.4525 9.23566744342513e-05
0.0025 0.455 9.0015596567048e-05
0.0025 0.4575 8.76607471765707e-05
0.0025 0.46 8.52978199234501e-05
0.0025 0.4625 8.29323504299228e-05
0.0025 0.465 8.05696816488396e-05
0.0025 0.4675 7.82149332186127e-05
0.0025 0.47 7.58729750170108e-05
0.0025 0.4725 7.35484050256633e-05
0.0025 0.475 7.12455315224065e-05
0.0025 0.4775 6.8968359533754e-05
0.0025 0.48 6.67205814173255e-05
0.0025 0.4825 6.45055715011832e-05
0.0025 0.485 6.23263857402545e-05
0.0025 0.4875 6.01857769005901e-05
0.0025 0.49 5.80863180755747e-05
0.0025 0.4925 5.60313894060524e-05
0.0025 0.495 5.40323952868607e-05
0.0025 0.4975 5.21513927777325e-05
0.0025 0.5 5.07088977477501e-05
0.005 0.0025 3.96668915709268e-05
0.005 0.005 4.7305236010513e-05
0.005 0.0075 5.02433748396061e-05
0.005 0.01 5.14799290015452e-05
0.005 0.0125 5.21758966474579e-05
0.005 0.015 5.27071001839312e-05
0.005 0.0175 5.31907811187862e-05
0.005 0.02 5.36634975268874e-05
0.005 0.0225 5.41369297626722e-05
0.005 0.025 5.46150516864577e-05
0.005 0.0275 5.50994073315093e-05
0.005 0.03 5.55907473934225e-05
0.005 0.0325 5.60895470901054e-05
0.005 0.035 5.6596176150793e-05
0.005 0.0375 5.71109582732111e-05
0.005 0.04 5.76341941515956e-05
0.005 0.0425 5.81661717462072e-05
0.005 0.045 5.87071716422439e-05
0.005 0.0475 5.92574702608093e-05
0.005 0.05 5.9817341986688e-05
0.005 0.0525 6.03870606760193e-05
0.005 0.055 6.09669007739559e-05
0.005 0.0575 6.15571381713566e-05
0.005 0.06 6.21580508797579e-05
0.005 0.0625 6.27699195763448e-05
0.005 0.065 6.33930280541547e-05
0.005 0.0675 6.40276636020931e-05
0.005 0.07 6.46741173323376e-05
0.005 0.0725 6.53326844677605e-05
0.005 0.075 6.60036645987409e-05
0.005 0.0775 6.66873619161239e-05
0.005 0.08 6.73840854255701e-05
0.005 0.0825 6.80941491470028e-05
0.005 0.085 6.88178723021162e-05
0.005 0.0875 6.95555794920304e-05
0.005 0.09 7.03076008667412e-05
0.005 0.0925 7.1074272287501e-05
0.005 0.095 7.18559354830243e-05
0.005 0.0975 7.26529382000441e-05
0.005 0.1 7.34656343486075e-05
0.005 0.1025 7.42943841422773e-05
0.005 0.105 7.51395542332969e-05
0.005 0.1075 7.60015178425576e-05
0.005 0.11 7.68806548842264e-05
0.005 0.1125 7.77773520845974e-05
0.005 0.115 7.86920030948613e-05
0.005 0.1175 7.96250085971495e-05
0.005 0.12 8.0576776403342e-05
0.005 0.1225 8.15477215458e-05
0.005 0.125 8.25382663593478e-05
0.005 0.1275 8.35488405534892e-05
0.005 0.13 8.45798812739038e-05
0.005 0.1325 8.5631833152133e-05
0.005 0.135 8.67051483421216e-05
0.005 0.1375 8.7800286542443e-05
0.005 0.14 8.89177150025591e-05
0.005 0.1425 9.00579085116994e-05
0.005 0.145 9.1221349368417e-05
0.005 0.1475 9.24085273291382e-05
0.005 0.15 9.3619939533472e-05
0.005 0.1525 9.48560904041775e-05
0.005 0.155 9.61174915193018e-05
0.005 0.1575 9.74046614538947e-05
0.005 0.16 9.87181255884868e-05
0.005 0.1625 0.000100058415881259
0.005 0.165 0.0001014260706006
0.005 0.1675 0.000102821634014491
0.005 0.17 0.000104245656032858
0.005 0.1725 0.00010569869179878
0.005 0.175 0.000107181301224017
0.005 0.1775 0.000108694048464133
0.005 0.18 0.00011023750132791
0.005 0.1825 0.000111812230615616
0.005 0.185 0.000113418809380016
0.005 0.1875 0.0001150578121038
0.005 0.19 0.000116729813786375
0.005 0.1925 0.000118435388932788
0.005 0.195 0.000120175110436683
0.005 0.1975 0.000121949548348895
0.005 0.2 0.000123759268522524
0.005 0.2025 0.000125604831124797
0.005 0.205 0.000127486789005309
0.005 0.2075 0.000129405685909617
0.005 0.21 0.000131362054526374
0.005 0.2125 0.000133356414355392
0.005 0.215 0.000135389269383439
0.005 0.2175 0.000137461105553501
0.005 0.22 0.000139572388012617
0.005 0.2225 0.000141723558122432
0.005 0.225 0.000143915030215734
0.005 0.2275 0.000146147188081455
0.005 0.23 0.000148420381159631
0.005 0.2325 0.000150734920427008
0.005 0.235 0.00015309107395305
0.005 0.2375 0.000155489062105379
0.005 0.24 0.000157929052382848
0.005 0.2425 0.000160411153853695
0.005 0.245 0.000162935411175742
0.005 0.2475 0.000165501798174886
0.005 0.25 0.000168110210958073
0.005 0.2525 0.000170760460536444
0.005 0.255 0.000173452264934732
0.005 0.2575 0.000176185240762901
0.005 0.26 0.000178958894227206
0.005 0.2625 0.000181772611558267
0.005 0.265 0.000184625648835814
0.005 0.2675 0.000187517121191291
0.005 0.27 0.000190445991372469
0.005 0.2725 0.000193411057657331
0.005 0.275 0.000196410941108858
0.005 0.2775 0.000199444072167136
0.005 0.28 0.000202508676581621
0.005 0.2825 0.000205602760693522
0.005 0.285 0.000208724096087079
0.005 0.2875 0.000211870203638507
0.005 0.29 0.000215038337003327
0.005 0.2925 0.000218225465596256
0.005 0.295 0.000221428257133667
0.005 0.2975 0.000224643059826124
0.005 0.3 0.000227865884328754
0.005 0.3025 0.000231092385579536
0.005 0.305 0.000234317844680871
0.005 0.3075 0.000237537151007361
0.005 0.31 0.000240744784753094
0.005 0.3125 0.000243934800165129
0.005 0.315 0.000247100809744988
0.005 0.3175 0.000250235969738746
0.005 0.32 0.000253332967275722
0.005 0.3225 0.00025638400955816
0.005 0.325 0.000259380815546669
0.005 0.3275 0.000262314610629513
0.005 0.33 0.000265176124805908
0.005 0.3325 0.000267955594953905
0.005 0.335 0.000270642771789745
0.005 0.3375 0.000273226932157194
0.005 0.34 0.000275696897308826
0.005 0.3425 0.000278041057855468
0.005 0.345 0.000280247406061072
0.005 0.3475 0.000282303576146738
0.005 0.35 0.00028419689323456
0.005 0.3525 0.000285914431508555
0.005 0.355 0.000287443082090237
0.005 0.3575 0.000288769631020313
0.005 0.36 0.000289880847600212
0.005 0.3625 0.000290763583177897
0.005 0.365 0.000291404880258656
0.005 0.3675 0.000291792091584123
0.005 0.37 0.00029191300855287
0.005 0.3725 0.000291755998055366
0.005 0.375 0.000291310146471628
0.005 0.3775 0.000290565409235925
0.005 0.38 0.000289512764021171
0.005 0.3825 0.000288144365245123
0.005 0.385 0.000286453697267401
0.005 0.3875 0.000284435723343144
0.005 0.39 0.000282087027145646
0.005 0.3925 0.000279405943481501
0.005 0.395 0.000276392674716895
0.005 0.3975 0.000273049389427325
0.005 0.4 0.000269380299890216
0.005 0.4025 0.000265391715269248
0.005 0.405 0.000261092067697812
0.005 0.4075 0.000256491908954607
0.005 0.41 0.000251603876031377
0.005 0.4125 0.000246442624606467
0.005 0.415 0.000241024730237581
0.005 0.4175 0.000235368557945615
0.005 0.42 0.000229494101746455
0.005 0.4225 0.000223422796562393
0.005 0.425 0.000217177305772157
0.005 0.4275 0.000210781288400244
0.005 0.43 0.000204259150568493
0.005 0.4325 0.000197635786305307
0.005 0.435 0.000190936313109018
0.005 0.4375 0.00018418580777728
0.005 0.44 0.000177409047939956
0.005 0.4425 0.000170630264474199
0.005 0.445 0.000163872909551976
0.005 0.4475 0.000157159444495271
0.005 0.45 0.000150511150921666
0.005 0.4525 0.000143947967887482
0.005 0.455 0.00013748835691275
0.005 0.4575 0.000131149195938608
0.005 0.46 0.000124945702457246
0.005 0.4625 0.000118891385297459
0.005 0.465 0.000112998023870468
0.005 0.4675 0.000107275673099645
0.005 0.47 0.000101732691786867
0.005 0.4725 9.63757918134239e-05
0.005 0.475 9.12101053350592e-05
0.005 0.4775 8.6239267005394e-05
0.005 0.48 8.146550825375e-05
0.005 0.4825 7.68897608568088e-05
0.005 0.485 7.25117684890279e-05
0.005 0.4875 6.83302165133072e-05
0.005 0.49 6.4342987378274e-05
0.005 0.4925 6.05484314637649e-05
0.005 0.495 5.69542049599316e-05
0.005 0.4975 5.3635045047113e-05
0.005 0.5 5.11187220935932e-05
0.0075 0.0025 3.99175968658366e-05
0.0075 0.005 4.78021091296016e-05
0.0075 0.0075 5.09810337638186e-05
0.0075 0.01 5.24516549863419e-05
0.0075 0.0125 5.33816988333925e-05
0.0075 0.015 5.41510439114136e-05
0.0075 0.0175 5.48788569146362e-05
0.0075 0.02 5.56026162172876e-05
0.0075 0.0225 5.63345177496158e-05
0.0075 0.025 5.70789021548636e-05
0.0075 0.0275 5.78376311441698e-05
0.0075 0.03 5.86117611150209e-05
0.0075 0.0325 5.94020745767803e-05
0.0075 0.035 6.02092551312913e-05
0.0075 0.0375 6.1033948868691e-05
0.0075 0.04 6.18767882645015e-05
0.0075 0.0425 6.27384029506381e-05
0.0075 0.045 6.36194254545216e-05
0.0075 0.0475 6.45204947550935e-05
0.0075 0.05 6.54422587506742e-05
0.0075 0.0525 6.63853761123681e-05
0.0075 0.055 6.73505177570042e-05
0.0075 0.0575 6.83383680701109e-05
0.0075 0.06 6.93496259588355e-05
0.0075 0.0625 7.03850057868827e-05
0.0075 0.065 7.14452382269146e-05
0.0075 0.0675 7.25310710551776e-05
0.0075 0.07 7.36432699060243e-05
0.0075 0.0725 7.47826189992011e-05
0.0075 0.075 7.59499218492198e-05
0.0075 0.0775 7.71460019638049e-05
0.0075 0.08 7.83717035365631e-05
0.0075 0.0825 7.96278921377002e-05
0.0075 0.085 8.09154554056722e-05
0.0075 0.0875 8.22353037418956e-05
0.0075 0.09 8.35883710099528e-05
0.0075 0.0925 8.49756152403695e-05
0.0075 0.095 8.63980193416401e-05
0.0075 0.0975 8.78565918177288e-05
0.0075 0.1 8.93523674922464e-05
0.0075 0.1025 9.08864082389039e-05
0.0075 0.105 9.24598037178942e-05
0.0075 0.1075 9.40736721175347e-05
0.0075 0.11 9.57291609001914e-05
0.0075 0.1125 9.74274475514932e-05
0.0075 0.115 9.9169740331369e-05
0.0075 0.1175 0.000100957279025378
0.0075 0.12 0.000102791335694549
0.0075 0.1225 0.000104673215421549
0.0075 0.125 0.000106604257050935
0.0075 0.1275 0.000108585833920702
0.0075 0.13 0.000110619354582187
0.0075 0.1325 0.000112706263504992
0.0075 0.135 0.000114848041763182
0.0075 0.1375 0.000117046207698646
0.0075 0.14 0.000119302317556955
0.0075 0.1425 0.000121617966090761
0.0075 0.145 0.000123994787125021
0.0075 0.1475 0.000126434454077964
0.0075 0.15 0.000128938680430939
0.0075 0.1525 0.000131509220139682
0.0075 0.155 0.000134147867978823
0.0075 0.1575 0.000136856459810566
0.0075 0.16 0.000139636872767777
0.0075 0.1625 0.000142491025340565
0.0075 0.165 0.000145420877354638
0.0075 0.1675 0.000148428429828466
0.0075 0.17 0.000151515724695253
0.0075 0.1725 0.000154684844374264
0.0075 0.175 0.000157937911174844
0.0075 0.1775 0.000161277086514886
0.0075 0.18 0.000164704569933971
0.0075 0.1825 0.00016822259787964
0.0075 0.185 0.000171833442243421
0.0075 0.1875 0.000175539408621275
0.0075 0.19 0.000179342834271051
0.0075 0.1925 0.000183246085737133
0.0075 0.195 0.000187251556110287
0.0075 0.1975 0.000191361661887749
0.0075 0.2 0.000195578839396397
0.0075 0.2025 0.000199905540738303
0.0075 0.205 0.0002043442292155
0.0075 0.2075 0.000208897374187034
0.0075 0.21 0.000213567445308085
0.0075 0.2125 0.00021835690609765
0.0075 0.215 0.000223268206776883
0.0075 0.2175 0.00022830377631684
0.0075 0.22 0.000233466013629882
0.0075 0.2225 0.000238757277834862
0.0075 0.225 0.000244179877522121
0.0075 0.2275 0.000249736058939424
0.0075 0.23 0.000255427993015976
0.0075 0.2325 0.000261257761136829
0.0075 0.235 0.000267227339575714
0.0075 0.2375 0.000273338582490095
0.0075 0.24 0.000279593203377851
0.0075 0.2425 0.000285992754891651
0.0075 0.245 0.000292538606902998
0.0075 0.2475 0.000299231922705784
0.0075 0.25 0.000306073633246499
0.0075 0.2525 0.000313064409267156
0.0075 0.255 0.000320204631246742
0.0075 0.2575 0.000327494357028159
0.0075 0.26 0.000334933287020345
0.0075 0.2625 0.000342520726869945
0.0075 0.265 0.000350255547503861
0.0075 0.2675 0.000358136142453426
