"k" "s" "SR"
0.0025 0.0025 0.500000008155956
0.0025 0.005 0.500000008155958
0.0025 0.0075 0.500000008155997
0.0025 0.01 0.50000000815606
0.0025 0.0125 0.500000008156149
0.0025 0.015 0.500000008156271
0.0025 0.0175 0.500000008156436
0.0025 0.02 0.500000008156653
0.0025 0.0225 0.500000008156928
0.0025 0.025 0.500000008157269
0.0025 0.0275 0.500000008157683
0.0025 0.03 0.500000008158176
0.0025 0.0325 0.500000008158754
0.0025 0.035 0.500000008159425
0.0025 0.0375 0.500000008160195
0.0025 0.04 0.500000008161069
0.0025 0.0425 0.500000008162054
0.0025 0.045 0.500000008163156
0.0025 0.0475 0.50000000816438
0.0025 0.05 0.500000008165733
0.0025 0.0525 0.500000008167221
0.0025 0.055 0.500000008168849
0.0025 0.0575 0.500000008170623
0.0025 0.06 0.500000008172549
0.0025 0.0625 0.500000008174633
0.0025 0.065 0.50000000817688
0.0025 0.0675 0.500000008179296
0.0025 0.07 0.500000008181886
0.0025 0.0725 0.500000008184657
0.0025 0.075 0.500000008187613
0.0025 0.0775 0.50000000819076
0.0025 0.08 0.500000008194105
0.0025 0.0825 0.500000008197652
0.0025 0.085 0.500000008201408
0.0025 0.0875 0.500000008205377
0.0025 0.09 0.500000008209565
0.0025 0.0925 0.500000008213979
0.0025 0.095 0.500000008218624
0.0025 0.0975 0.500000008223505
0.0025 0.1 0.500000008228629
0.0025 0.1025 0.500000008234001
0.0025 0.105 0.500000008239627
0.0025 0.1075 0.500000008245513
0.0025 0.11 0.500000008251665
0.0025 0.1125 0.50000000825809
0.0025 0.115 0.500000008264793
0.0025 0.1175 0.50000000827178
0.0025 0.12 0.500000008279058
0.0025 0.1225 0.500000008286633
0.0025 0.125 0.500000008294512
0.0025 0.1275 0.5000000083027
0.0025 0.13 0.500000008311206
0.0025 0.1325 0.500000008320035
0.0025 0.135 0.500000008329194
0.0025 0.1375 0.500000008338691
0.0025 0.14 0.500000008348533
0.0025 0.1425 0.500000008358726
0.0025 0.145 0.500000008369278
0.0025 0.1475 0.500000008380197
0.0025 0.15 0.50000000839149
0.0025 0.1525 0.500000008403165
0.0025 0.155 0.50000000841523
0.0025 0.1575 0.500000008427693
0.0025 0.16 0.500000008440562
0.0025 0.1625 0.500000008453846
0.0025 0.165 0.500000008467554
0.0025 0.1675 0.500000008481694
0.0025 0.17 0.500000008496276
0.0025 0.1725 0.500000008511308
0.0025 0.175 0.500000008526801
0.0025 0.1775 0.500000008542763
0.0025 0.18 0.500000008559204
0.0025 0.1825 0.500000008576136
0.0025 0.185 0.500000008593568
0.0025 0.1875 0.500000008611511
0.0025 0.19 0.500000008629976
0.0025 0.1925 0.500000008648973
0.0025 0.195 0.500000008668515
0.0025 0.1975 0.500000008688613
0.0025 0.2 0.500000008709279
0.0025 0.2025 0.500000008730526
0.0025 0.205 0.500000008752366
0.0025 0.2075 0.500000008774812
0.0025 0.21 0.500000008797877
0.0025 0.2125 0.500000008821576
0.0025 0.215 0.500000008845922
0.0025 0.2175 0.500000008870928
0.0025 0.22 0.500000008896611
0.0025 0.2225 0.500000008922986
0.0025 0.225 0.500000008950067
0.0025 0.2275 0.500000008977871
0.0025 0.23 0.500000009006413
0.0025 0.2325 0.500000009035711
0.0025 0.235 0.500000009065782
0.0025 0.2375 0.500000009096644
0.0025 0.24 0.500000009128313
0.0025 0.2425 0.500000009160809
0.0025 0.245 0.500000009194151
0.0025 0.2475 0.500000009228358
0.0025 0.25 0.50000000926345
0.0025 0.2525 0.500000009299446
0.0025 0.255 0.500000009336369
0.0025 0.2575 0.500000009374238
0.0025 0.26 0.500000009413077
0.0025 0.2625 0.500000009452906
0.0025 0.265 0.500000009493748
0.0025 0.2675 0.500000009535627
0.0025 0.27 0.500000009578566
0.0025 0.2725 0.500000009622588
0.0025 0.275 0.500000009667719
0.0025 0.2775 0.500000009713983
0.0025 0.28 0.500000009761405
0.0025 0.2825 0.500000009810011
0.0025 0.285 0.500000009859825
0.0025 0.2875 0.500000009910876
0.0025 0.29 0.500000009963187
0.0025 0.2925 0.500000010016787
0.0025 0.295 0.500000010071701
0.0025 0.2975 0.500000010127956
0.0025 0.3 0.500000010185579
0.0025 0.3025 0.500000010244595
0.0025 0.305 0.500000010305032
0.0025 0.3075 0.500000010366914
0.0025 0.31 0.500000010430267
0.0025 0.3125 0.500000010495116
0.0025 0.315 0.500000010561484
0.0025 0.3175 0.500000010629394
0.0025 0.32 0.500000010698868
0.0025 0.3225 0.500000010769926
0.0025 0.325 0.500000010842585
0.0025 0.3275 0.500000010916863
0.0025 0.33 0.500000010992774
0.0025 0.3325 0.500000011070329
0.0025 0.335 0.500000011149536
0.0025 0.3375 0.5000000112304
0.0025 0.34 0.500000011312922
0.0025 0.3425 0.500000011397099
0.0025 0.345 0.500000011482923
0.0025 0.3475 0.500000011570378
0.0025 0.35 0.500000011659445
0.0025 0.3525 0.500000011750096
0.0025 0.355 0.500000011842296
0.0025 0.3575 0.500000011936003
0.0025 0.36 0.500000012031161
0.0025 0.3625 0.500000012127709
0.0025 0.365 0.500000012225571
0.0025 0.3675 0.500000012324661
0.0025 0.37 0.500000012424876
0.0025 0.3725 0.500000012526101
0.0025 0.375 0.500000012628205
0.0025 0.3775 0.500000012731037
0.0025 0.38 0.500000012834432
0.0025 0.3825 0.5000000129382
0.0025 0.385 0.500000013042131
0.0025 0.3875 0.500000013145994
0.0025 0.39 0.500000013249532
0.0025 0.3925 0.500000013352463
0.0025 0.395 0.500000013454475
