"G" "A1D1X" "A2D1X" "A1D1Y" "A2D1Y" "A1D2X" "A2D2X" "A1D2Y" "A2D2Y"
17 0.202493181758909 0.296905989702734 0.202625261379723 0.297036645517098 1.44013122924502e-05 0.000220329098091629 4.32039368773506e-05 0.000660987294274886
18 0.202485939122426 0.296874841212134 0.202625645358586 0.297012042918834 1.39357347275962e-05 0.000236447112277145 4.18072041827886e-05 0.000709341336831437
19 0.202478058374996 0.296841337085566 0.202626020009454 0.296985669565597 1.34918317263984e-05 0.000253736909370389 4.04754951791951e-05 0.000761210728111166
20 0.202469497904599 0.296805310957482 0.202626386255078 0.296957397046415 1.30691455695159e-05 0.000272282813537278 3.92074367085476e-05 0.000816848440611833
21 0.202460213022797 0.296766584667358 0.202626745027005 0.296927087945678 1.26672595393007e-05 0.000292175074751344 3.8001778617902e-05 0.000876525224254031
22 0.202450155770424 0.296724967473342 0.202627097273326 0.296894595234451 1.22857980827468e-05 0.000313510264031429 3.68573942482405e-05 0.000940530792094286
23 0.202439274711698 0.296680255220048 0.202627443966744 0.296859761625997 1.19244270795447e-05 0.00033639169179857 3.57732812386342e-05 0.00100917507539571
24 0.202427514716476 0.296632229458761 0.202627786113105 0.296822418894013 1.1582854214638e-05 0.00036092985019633 3.47485626439141e-05 0.00108278955058899
25 0.202414816730393 0.296580656518425 0.202628124760534 0.296782387152175 1.12608294564963e-05 0.000387242880161941 3.37824883694889e-05 0.00116172864048582
26 0.202401117532672 0.296525286525922 0.202628461009307 0.296739474093693 1.09581456427972e-05 0.000415457063958731 3.28744369283916e-05 0.00124637119187619
27 0.202386349481486 0.296465852374373 0.202628796022637 0.296693474189682 1.06746391752882e-05 0.000445707343780313 3.20239175258647e-05 0.00133712203134094
28 0.202370440246776 0.29640206863842 0.202629131038531 0.296644167845329 1.04101908255218e-05 0.000478137866910157 3.12305724765655e-05 0.00143441360073047
29 0.202353312530598 0.296333630435765 0.202629467382906 0.296591320513068 1.01647266529934e-05 0.00051290255776243 3.04941799589801e-05 0.00153870767328729
30 0.202334883775125 0.296260212234626 0.202629806484169 0.296534681762186 9.93821903696665e-06 0.000550165716936702 2.98146571108999e-05 0.00165049715081011
31 0.202315065858623 0.296181466607217 0.202630149889486 0.296473984304641 9.73068782294468e-06 0.000590102647185388 2.91920634688341e-05 0.00177030794155616
