"G" "DA2D2" "DA2Y" "DD2Y"
1 3.79323370687347e-05 -6.93889390390723e-18 0.000134093797454391
2 5.93443931373092e-05 7.07043436588839e-06 0.000110194729463884
3 7.45397622731255e-05 1.3045614959982e-05 0.000107732582006413
4 8.76476377192939e-05 1.66242653355728e-05 0.000111054828549664
5 0.000100464590262002 1.96221652440723e-05 0.000116216444006346
6 0.000113670841688623 2.25633059717026e-05 0.000122233085525178
7 0.000127531132156417 2.5605016674507e-05 0.000128876579668479
8 0.000142172469059271 2.88014585321864e-05 0.000136114825112293
9 0.000157680861744754 3.21783342737622e-05 0.000143968484003082
10 0.000174132908905497 3.57540439308718e-05 0.000152474133522469
11 0.000191605852864585 3.95456940133765e-05 0.000161674831098304
12 0.00021018086904811 4.3570839709281e-05 0.000171617799863957
13 0.000229944308092259 4.78480309703544e-05 0.000182353984593088
14 0.000250988344060969 5.23970267748072e-05 0.00019393811032349
15 0.000273411466352735 5.72389203618018e-05 0.000206428885186717
16 0.000297318945431689 6.23962436494888e-05 0.000219889253259845
17 0.000322823311293672 6.78930701148717e-05 0.000234386672928799
18 0.000350044856900426 7.37551217201565e-05 0.000249993414726262
19 0.000379112171097127 8.00098816445827e-05 0.000266786877520025
20 0.00041016270330686 8.6686713509268e-05 0.000284849923221329
21 0.000443343361644662 9.38169874758685e-05 0.000304271230497699
22 0.000478811145877902 0.000101434213505849 0.00032514566801489
23 0.000516733816551455 0.000109574182026742 0.000347574687684946
24 0.000557290601499123 0.000118275112221781 0.000371666738310277
25 0.000600672940846595 0.000127577808127624 0.000397537699897727
26 0.000647085271463535 0.000137525822686148 0.000425311338771918
27 0.000696745851635644 0.000148165629847756 0.000455119783440843
28 0.000749887626494927 0.000159546804766514 0.000487104020954448
29 0.000806759134460965 0.00017172221205515 0.000521414413244058
30 0.000867625454600074 0.000184748201983997 0.000558211232631627
31 0.000932769194394508 0.000198684814407504 0.000597665215347114
32 0.00100249151692128 0.000213595990082485 0.000639958131483649
33 0.00107711320585977 0.000229549788904659 0.000685283369346834
34 0.00115697576606885 0.000246618614428346 0.000733846531609624
35 0.00124244255668585 0.00026487944384939 0.000785866040060571
36 0.00133389995279059 0.000284414062416145 0.000841573745023252
37 0.00143175853063484 0.000305309300993463 0.000901215534721351
38 0.00153645427024859 0.000327657275227287 0.000965051938959883
39 0.00164844976788845 0.000351555624445991 0.00103335872048198
40 0.00176823544927622 0.000377107748091368 0.00110642744623683
41 0.00189633077287914 0.000404423037079701 0.00118456602955369
42 0.00203328541059573 0.000433617097071008 0.00126809923285638
43 0.00217968039112748 0.000464811960152196 0.00135736911907376
44 0.00233612918903219 0.000498136280930435 0.00145273543830569
45 0.00250327873997053 0.000533725512481896 0.0015545759346015
46 0.00268181035997941 0.00057172205701081 0.00166328655590872
47 0.0028724405437475 0.000612275385451201 0.00177928154837615
48 0.00307592161385168 0.00065554211959358 0.00190299341427176
49 0.00329304218977015 0.000701686069649182 0.00203487271084049
50 0.00352462744226487 0.000750878219490485 0.00217538766552496
51 0.0037715390954811 0.00080329665114006 0.00232502358116282
52 0.00403467513592258 0.000859126399443876 0.00248428200312944
53 0.00431496918442272 0.000918559227280985 0.00265367961900038
54 0.00461338948446131 0.000981793311158462 0.00283374686026636
55 0.0049309374578112 0.00104903282665467 0.00302502617506225
