"kD" "kA" "DF"
0.39 0.0025 6.268679433958e-09
0.3925 0.0025 6.09888038312503e-09
0.395 0.0025 5.93251701302834e-09
0.3975 0.0025 5.76954861465957e-09
0.4 0.0025 5.60993439506724e-09
0.4025 0.0025 5.45363348682665e-09
0.405 0.0025 5.30060495758512e-09
0.4075 0.0025 5.15080781966734e-09
0.41 0.0025 5.00420103974038e-09
0.4125 0.0025 4.86074354853377e-09
0.415 0.0025 4.72039425060987e-09
0.4175 0.0025 4.58311203417722e-09
0.42 0.0025 4.44885578094649e-09
0.4225 0.0025 4.31758437601583e-09
0.425 0.0025 4.18925671778679e-09
0.4275 0.0025 4.06383172790421e-09
0.43 0.0025 3.94126836121145e-09
0.4325 0.0025 3.82152561571727e-09
0.435 0.0025 3.70456254256676e-09
0.4375 0.0025 3.59033825601402e-09
0.44 0.0025 3.47881194338446e-09
0.4425 0.0025 3.36994287502752e-09
0.445 0.0025 3.26369041424436e-09
0.4475 0.0025 3.16001402719473e-09
0.45 0.0025 3.05887329276696e-09
0.4525 0.0025 2.96022791241175e-09
0.455 0.0025 2.8640377199264e-09
0.4575 0.0025 2.77026269118798e-09
0.46 0.0025 2.67886295382787e-09
0.4625 0.0025 2.58979879683715e-09
0.465 0.0025 2.50303068010027e-09
0.4675 0.0025 2.41851924384659e-09
0.47 0.0025 2.33622531801732e-09
0.4725 0.0025 2.25610993153448e-09
0.475 0.0025 2.17813432147215e-09
0.4775 0.0025 2.10225994211551e-09
0.48 0.0025 2.02844847390765e-09
0.4825 0.0025 1.95666183227346e-09
0.485 0.0025 1.886862176314e-09
0.4875 0.0025 1.81901191736385e-09
0.49 0.0025 1.75307372740786e-09
0.4925 0.0025 1.68901054734818e-09
0.495 0.0025 1.6267855951135e-09
0.4975 0.0025 1.56636237360752e-09
0.5 0.0025 1.50770467848745e-09
0.0025 0.005 1.18096721781893e-07
0.005 0.005 1.17159322863683e-07
0.0075 0.005 1.16226877955933e-07
0.01 0.005 1.15299397653102e-07
0.0125 0.005 1.14376892295449e-07
0.015 0.005 1.13459371965951e-07
0.0175 0.005 1.12546846487218e-07
0.02 0.005 1.1163932541841e-07
0.0225 0.005 1.10736818052154e-07
0.025 0.005 1.09839333411459e-07
0.0275 0.005 1.08946880246634e-07
0.03 0.005 1.08059467032211e-07
0.0325 0.005 1.07177101963857e-07
0.035 0.005 1.06299792955303e-07
0.0375 0.005 1.05427547635288e-07
0.04 0.005 1.04560373344465e-07
0.0425 0.005 1.03698277132363e-07
