"kD" "kA" "DF"
0.28 0.05 0.0301432631867199
0.2825 0.05 0.030175405733067
0.285 0.05 0.0301942871364413
0.2875 0.05 0.0302013747601489
0.29 0.05 0.030197976385687
0.2925 0.05 0.0301852555440035
0.295 0.05 0.0301642459341658
0.2975 0.05 0.0301358648318438
0.3 0.05 0.0301009254460333
0.3025 0.05 0.0300601482224702
0.305 0.05 0.0300141711199858
0.3075 0.05 0.0299635589046465
0.31 0.05 0.0299088115182567
0.3125 0.05 0.0298503715844661
0.315 0.05 0.029788631118728
0.3175 0.05 0.029723937508731
0.32 0.05 0.0296565988305017
0.3225 0.05 0.0295868885627132
0.325 0.05 0.0295150497583009
0.3275 0.05 0.0294412987285976
0.33 0.05 0.0293658282910963
0.3325 0.05 0.0292888106277954
0.335 0.05 0.0292103997969918
0.3375 0.05 0.0291307339374561
0.34 0.05 0.029049937200186
0.3425 0.05 0.0289681214394368
0.345 0.05 0.028885387691464
0.3475 0.05 0.0288018274664211
0.35 0.05 0.0287175238760991
0.3525 0.05 0.0286325526176933
0.355 0.05 0.0285469828315015
0.3575 0.05 0.0284608778484128
0.36 0.05 0.0283742958411823
0.3625 0.05 0.0282872903918439
0.365 0.05 0.0281999109861112
0.3675 0.05 0.0281122034443011
0.37 0.05 0.0280242102971338
0.3725 0.05 0.0279359711137104
0.375 0.05 0.0278475227880505
0.3775 0.05 0.0277588997897431
0.38 0.05 0.027670134383553
0.3825 0.05 0.0275812568221754
0.385 0.05 0.0274922955157897
0.3875 0.05 0.0274032771815596
0.39 0.05 0.0273142269758129
0.3925 0.05 0.0272251686112474
0.395 0.05 0.0271361244612013
0.3975 0.05 0.0270471156527296
0.4 0.05 0.0269581621499919
0.4025 0.05 0.0268692828292443
0.405 0.05 0.026780495546541
0.4075 0.05 0.0266918171990999
0.41 0.05 0.0266032637811441
0.4125 0.05 0.026514850434921
0.415 0.05 0.0264265914974908
0.4175 0.05 0.0263385005438059
0.42 0.05 0.0262505904265124
0.4225 0.05 0.0261628733128509
0.425 0.05 0.0260753607189842
0.4275 0.05 0.0259880635420226
0.43 0.05 0.025900992089991
0.4325 0.05 0.0258141561099382
0.435 0.05 0.0257275648143675
0.4375 0.05 0.0256412269061468
0.44 0.05 0.0255551506020225
0.4425 0.05 0.0254693436548615
0.445 0.05 0.0253838133747198
0.4475 0.05 0.025298566648827
0.45 0.05 0.0252136099605662
0.4525 0.05 0.0251289494075201
0.455 0.05 0.0250445907186418
0.4575 0.05 0.024960539270614
0.46 0.05 0.0248768001034372
0.4625 0.05 0.024793377935299
0.465 0.05 0.0247102771767653
0.4675 0.05 0.0246275019443268
0.47 0.05 0.0245450560733412
0.4725 0.05 0.024462943130399
0.475 0.05 0.0243811664251435
0.4775 0.05 0.0242997290215732
0.48 0.05 0.0242186337488517
0.4825 0.05 0.0241378832116479
0.485 0.05 0.0240574798000317
0.4875 0.05 0.0239774256989425
0.49 0.05 0.0238977228972535
0.4925 0.05 0.0238183731964487
0.495 0.05 0.0237393782189314
0.4975 0.05 0.0236607394159793
0.5 0.05 0.0235824580753632
0.0025 0.0525 6.60348831819176e-07
0.005 0.0525 7.0661550823588e-07
0.0075 0.0525 7.58443062175916e-07
0.01 0.0525 8.16542352556833e-07
0.0125 0.0525 8.81721792114104e-07
0.015 0.0525 9.54901435800856e-07
0.0175 0.0525 1.03712919499261e-06
0.02 0.0525 1.1295995111027e-06
0.0225 0.0525 1.23367487648349e-06
0.025 0.0525 1.35091065388101e-06
0.0275 0.0525 1.48308371981159e-06
0.03 0.0525 1.63222554389656e-06
0.0325 0.0525 1.80066041762747e-06
0.035 0.0525 1.99104966482224e-06
0.0375 0.0525 2.20644280523111e-06
0.04 0.0525 2.45033680596672e-06
0.0425 0.0525 2.72674474691561e-06
0.045 0.0525 3.04027545107881e-06
0.0475 0.0525 3.39622589481625e-06
0.05 0.0525 3.80068852326769e-06
0.0525 0.0525 4.26067596107762e-06
0.055 0.0525 4.78426603779492e-06
0.0575 0.0525 5.38077055253111e-06
0.06 0.0525 6.06093179736939e-06
0.0625 0.0525 6.83715155982316e-06
0.065 0.0525 7.72375815049569e-06
0.0675 0.0525 8.73731797558549e-06
0.07 0.0525 9.89699932171446e-06
0.0725 0.0525 1.12249973741208e-05
0.075 0.0525 1.27470310856033e-05
0.0775 0.0525 1.44929243961507e-05
0.08 0.0525 1.64972865229593e-05
0.0825 0.0525 1.88003086570933e-05
0.085 0.0525 2.14486974858151e-05
0.0875 0.0525 2.44967695892281e-05
0.09 0.0525 2.80077350291462e-05
0.0925 0.0525 3.20552034637088e-05
0.095 0.0525 3.67249520039162e-05
0.0975 0.0525 4.21170009138027e-05
0.1 0.0525 4.8348051294233e-05
0.1025 0.0525 5.55543482433215e-05
0.105 0.0525 6.38950438241996e-05
0.1075 0.0525 7.35561466630263e-05
0.11 0.0525 8.47551593036684e-05
0.1125 0.0525 9.77465206835289e-05
0.115 0.0525 0.000112827989325764
0.1175 0.0525 0.000130348123013133
0.12 0.0525 0.000150715032584044
0.1225 0.0525 0.000174406610560124
0.125 0.0525 0.000201982458647605
0.1275 0.0525 0.000234097760212533
0.13 0.0525 0.000271519362198319
0.1325 0.0525 0.000315144341988613
0.135 0.0525 0.000366021333074842
0.1375 0.0525 0.000425374861422257
0.14 0.0525 0.000494632891453176
0.1425 0.0525 0.000575457681975561
0.145 0.0525 0.000669779888701361
0.1475 0.0525 0.000779835595979953
0.15 0.0525 0.000908205584438461
0.1525 0.0525 0.00105785560568837
0.155 0.0525 0.00123217569815264
0.1575 0.0525 0.00143501559772351
0.16 0.0525 0.00167071204110157
0.1625 0.0525 0.00194410222108418
0.165 0.0525 0.0022605158742284
0.1675 0.0525 0.00262573658938823
0.17 0.0525 0.00304592117717223
0.1725 0.0525 0.00352746476942508
0.175 0.0525 0.00407679937194694
0.1775 0.0525 0.00470011572887621
0.18 0.0525 0.00540300354816057
0.1825 0.0525 0.0061900142513461
0.185 0.0525 0.007064163807755
0.1875 0.0525 0.00802641019758434
0.19 0.0525 0.00907515831263716
0.1925 0.0525 0.0102058604607909
0.195 0.0525 0.0114107874618084
0.1975 0.0525 0.0126790379969882
0.2 0.0525 0.0139968291937521
0.2025 0.0525 0.0153480710608135
0.205 0.0525 0.0167151790439883
0.2075 0.0525 0.0180800349091132
0.21 0.0525 0.01942497904033
0.2125 0.0525 0.0207337150095874
0.215 0.0525 0.0219920297743875
0.2175 0.0525 0.0231882721601376
0.22 0.0525 0.024313576380876
0.2225 0.0525 0.025361855083155
0.225 0.0525 0.0263296109799753
0.2275 0.0525 0.0272156261110552
0.23 0.0525 0.0280205857075531
0.2325 0.0525 0.0287466840044584
0.235 0.0525 0.0293972465399028
0.2375 0.0525 0.0299763907935196
0.24 0.0525 0.0304887363358697
0.2425 0.0525 0.030939167704299
0.245 0.0525 0.0313326479327477
0.2475 0.0525 0.0316740775960742
0.25 0.0525 0.0319681928125307
0.2525 0.0525 0.0322194953429503
0.255 0.0525 0.032432208295495
0.2575 0.0525 0.0326102516706158
0.26 0.0525 0.0327572328467334
0.2625 0.0525 0.032876447979782
0.265 0.0525 0.0329708910948759
0.2675 0.0525 0.0330432683512549
0.27 0.0525 0.0330960155521745
0.2725 0.0525 0.0331313174535607
0.275 0.0525 0.0331511278101675
0.2775 0.0525 0.0331571893996266
0.28 0.0525 0.0331510534973371
0.2825 0.0525 0.0331340984517964
0.285 0.0525 0.0331075471421533
0.2875 0.0525 0.0330724831971717
0.29 0.0525 0.0330298659252706
0.2925 0.0525 0.0329805439552617
0.295 0.0525 0.0329252676217881
0.2975 0.0525 0.0328647001522432
0.3 0.0525 0.0327994277261048
0.3025 0.0525 0.0327299684855139
0.305 0.0525 0.0326567805792639
0.3075 0.0525 0.0325802693225489
0.31 0.0525 0.0325007935527722
0.3125 0.0525 0.0324186712582353
0.315 0.0525 0.0323341845521152
0.3175 0.0525 0.0322475840592236
0.32 0.0525 0.0321590927778843
0.3225 0.0525 0.0320689094740928
0.325 0.0525 0.0319772116600447
0.3275 0.0525 0.0318841582042622
0.33 0.0525 0.0317898916159363
0.3325 0.0525 0.0316945400418132
0.335 0.0525 0.0315982190099479
0.3375 0.0525 0.031501032950993
0.34 0.0525 0.0314030765243217
0.3425 0.0525 0.0313044357732435
0.345 0.0525 0.0312051891307917
0.3475 0.0525 0.0311054082950806
0.35 0.0525 0.0310051589909779
0.3525 0.0525 0.0309045016328338
0.355 0.0525 0.030803491901213
0.3575 0.0525 0.0307021812449745
0.36 0.0525 0.0306006173186247
0.3625 0.0525 0.0304988443636123
0.365 0.0525 0.0303969035411163
0.3675 0.0525 0.0302948332228999
0.37 0.0525 0.0301926692459348
0.3725 0.0525 0.0300904451357472
0.375 0.0525 0.0299881923027662
0.3775 0.0525 0.0298859402153774
0.38 0.0525 0.0297837165528747
0.3825 0.0525 0.0296815473410635
0.385 0.0525 0.0295794570728848
0.3875 0.0525 0.0294774688160946
0.39 0.0525 0.0293756043097465
0.3925 0.0525 0.0292738840509758
0.395 0.0525 0.0291723273733722
0.3975 0.0525 0.0290709525180354
0.4 0.0525 0.0289697766982614
0.4025 0.0525 0.028868816158656
0.405 0.0525 0.0287680862293731
0.4075 0.0525 0.0286676013760596
0.41 0.0525 0.0285673752460152
0.4125 0.0525 0.0284674207109959
0.415 0.0525 0.0283677499070345
0.4175 0.0525 0.0282683742715931
0.42 0.0525 0.0281693045783205
0.4225 0.0525 0.0280705509696546
0.425 0.0525 0.0279721229874662
0.4275 0.0525 0.0278740296019273
0.43 0.0525 0.0277762792387527
0.4325 0.0525 0.0276788798049505
0.435 0.0525 0.0275818387131996
0.4375 0.0525 0.0274851629049561
0.44 0.0525 0.0273888588723795
0.4425 0.0525 0.0272929326791633
0.445 0.0525 0.0271973899803374
0.4475 0.0525 0.0271022360411127
0.45 0.0525 0.0270074757548229
0.4525 0.0525 0.0269131136600176
0.455 0.0525 0.0268191539567581
0.4575 0.0525 0.0267256005221558
0.46 0.0525 0.0266324569251981
0.4625 0.0525 0.0265397264408978
0.465 0.0525 0.0264474120637999
0.4675 0.0525 0.0263555165208824
0.47 0.0525 0.0262640422838759
0.4725 0.0525 0.0261729915810364
0.475 0.0525 0.0260823664083923
0.4775 0.0525 0.0259921685404949
0.48 0.0525 0.0259023995406947
0.4825 0.0525 0.0258130607709651
0.485 0.0525 0.0257241534012943
0.4875 0.0525 0.0256356784186684
0.49 0.0525 0.0255476366356596
0.4925 0.0525 0.0254600286986432
0.495 0.0525 0.0253728550956539
0.4975 0.0525 0.025286116163904
0.5 0.0525 0.0251998120969743
0.0025 0.055 6.88089053953398e-07
0.005 0.055 7.39350895401654e-07
0.0075 0.055 7.97098764431745e-07
0.01 0.055 8.62205475038802e-07
0.0125 0.055 9.35669709755518e-07
0.015 0.055 1.01863509323874e-06
0.0175 0.055 1.11241228176591e-06
0.02 0.055 1.21850456400744e-06
0.0225 0.055 1.33863755268694e-06
0.025 0.055 1.47479364577994e-06
0.0275 0.055 1.6292520524085e-06
0.03 0.055 1.80463531573548e-06
0.0325 0.055 2.00396342670907e-06
0.035 0.055 2.23071681291674e-06
0.0375 0.055 2.48890971138193e-06
0.04 0.055 2.78317569916146e-06
0.0425 0.055 3.11886746857149e-06
0.045 0.055 3.50217330365035e-06
0.0475 0.055 3.9402531516486e-06
0.05 0.055 4.44139770047135e-06
0.0525 0.055 5.01521448502971e-06
0.055 0.055 5.67284577017236e-06
0.0575 0.055 6.42722381636865e-06
0.06 0.055 7.29337015175457e-06
0.0625 0.055 8.28874668034562e-06
0.065 0.055 9.43366788664247e-06
0.0675 0.055 1.07517850935151e-05
0.07 0.055 1.22706557430332e-05
0.0725 0.055 1.40224130576889e-05
0.075 0.055 1.60445542719618e-05
0.0775 0.055 1.83808689832455e-05
0.08 0.055 2.1082533153228e-05
0.0825 0.055 2.42093990083126e-05
0.085 0.055 2.78315166715669e-05
0.0875 0.055 3.20309299603885e-05
0.09 0.055 3.69037965767479e-05
0.0925 0.055 4.25628920972634e-05
0.095 0.055 4.91405679575281e-05
0.0975 0.055 5.67922462592968e-05
0.1 0.055 6.57005489652371e-05
0.1025 0.055 7.60801761435722e-05
0.105 0.055 8.81836676296971e-05
0.1075 0.055 0.000102308204985346
0.11 0.055 0.00011880363607005
0.1125 0.055 0.000138081932844583
0.115 0.055 0.000160628323887377
0.1175 0.055 0.000187014375788535
0.12 0.055 0.000217913330722764
0.1225 0.055 0.000254118038777199
0.125 0.055 0.000296561849338778
0.1275 0.055 0.000346342840395254
0.13 0.055 0.000404751759627127
0.1325 0.055 0.000473304014615754
0.135 0.055 0.000553775964391523
0.1375 0.055 0.000648245607570802
0.14 0.055 0.000759137502277627
0.1425 0.055 0.000889271349505966
0.145 0.055 0.00104191307428516
0.1475 0.055 0.00122082638890193
0.15 0.055 0.00143032165584433
0.1525 0.055 0.00167529732658388
0.155 0.055 0.00196126728090139
0.1575 0.055 0.00229436504984171
0.16 0.055 0.00268131329462947
0.1625 0.055 0.00312934432049149
0.165 0.055 0.00364605535565072
0.1675 0.055 0.00423918165869614
0.17 0.055 0.00491627240169703
0.1725 0.055 0.00568426012734771
0.175 0.055 0.00654892577638219
0.1775 0.055 0.00751427862111152
0.18 0.055 0.00858189331361104
0.1825 0.055 0.00975027174537021
0.185 0.055 0.0110143197432445
0.1875 0.055 0.0123650396366101
0.19 0.055 0.013789530982371
0.1925 0.055 0.0152713581670131
0.195 0.055 0.0167912874882805
0.1975 0.055 0.0183283291279822
0.2 0.055 0.0198609594551053
0.2025 0.055 0.0213683647604994
0.205 0.055 0.022831549367152
0.2075 0.055 0.0242341870369459
0.21 0.055 0.025563151471507
0.2125 0.055 0.0268087215396997
0.215 0.055 0.0279645045123595
0.2175 0.055 0.029027148294575
0.22 0.055 0.0299959213942257
0.2225 0.055 0.0308722321977737
0.225 0.055 0.0316591437466197
0.2275 0.055 0.0323609224723764
0.23 0.055 0.0329826431409508
0.2325 0.055 0.0335298594671007
0.235 0.055 0.03400834091912
0.2375 0.055 0.0344238707181657
0.24 0.055 0.0347820971806334
0.2425 0.055 0.0350884295502891
0.245 0.055 0.0353479696324313
0.2475 0.055 0.0355654713560718
0.25 0.055 0.0357453214942619
0.2525 0.055 0.0358915359413943
0.255 0.055 0.036007767050132
0.2575 0.055 0.0360973185057877
0.26 0.055 0.0361631650398551
0.2625 0.055 0.0362079749583866
0.265 0.055 0.0362341339988066
0.2675 0.055 0.0362437694495039
0.27 0.055 0.036238773790104
0.2725 0.055 0.0362208273553076
0.275 0.055 0.0361914197079633
0.2775 0.055 0.0361518695412909
0.28 0.055 0.0361033430271525
0.2825 0.055 0.0360468705958539
0.285 0.055 0.0359833621802321
0.2875 0.055 0.0359136209881907
0.29 0.055 0.0358383558875293
0.2925 0.055 0.0357581924981474
0.295 0.055 0.0356736830917918
0.2975 0.055 0.0355853154003572
0.3 0.055 0.0354935204316186
0.3025 0.055 0.0353986793872058
0.305 0.055 0.0353011297723159
0.3075 0.055 0.0352011707806563
0.31 0.055 0.0350990680317716
0.3125 0.055 0.0349950577315209
0.315 0.055 0.0348893503201874
0.3175 0.055 0.0347821336666789
0.32 0.055 0.0346735758615744
0.3225 0.055 0.0345638276564217
0.325 0.055 0.0344530245917524
0.3275 0.055 0.0343412888517158
0.33 0.055 0.0342287308790744
0.3325 0.055 0.0341154507805129
0.335 0.055 0.034001539548779
0.3375 0.055 0.0338870801250874
0.34 0.055 0.0337721483224291
0.3425 0.055 0.0336568136279466
0.345 0.055 0.0335411399003059
0.3475 0.055 0.0334251859760191
0.35 0.055 0.0333090061969134
0.3525 0.055 0.0331926508693833
0.355 0.055 0.0330761666646878
0.3575 0.055 0.0329595969683439
0.36 0.055 0.0328429821855953
0.3625 0.055 0.0327263600090062
0.365 0.055 0.0326097656534065
0.3675 0.055 0.0324932320627018
0.37 0.055 0.0323767900924336
0.3725 0.055 0.0322604686714412
0.375 0.055 0.0321442949454964
0.3775 0.055 0.0320282944053817
0.38 0.055 0.031912491001526
0.3825 0.055 0.0317969072470098
0.385 0.055 0.0316815643104926
0.3875 0.055 0.0315664821003851
0.39 0.055 0.0314516793413979
0.3925 0.055 0.031337173644439
0.395 0.055 0.0312229815706817
0.3975 0.055 0.0311091186905117
0.4 0.055 0.0309955996379571
0.4025 0.055 0.030882438161115
0.405 0.055 0.0307696471690218
0.4075 0.055 0.0306572387753422
0.41 0.055 0.0305452243392038
0.4125 0.055 0.0304336145034618
0.415 0.055 0.0303224192306307
0.4175 0.055 0.030211647836698
0.42 0.055 0.0301013090230005
0.4225 0.055 0.0299914109063237
0.425 0.055 0.0298819610473628
0.4275 0.055 0.0297729664776711
0.43 0.055 0.0296644337252026
0.4325 0.055 0.0295563688385477
0.435 0.055 0.0294487774099468
0.4375 0.055 0.0293416645971625
0.44 0.055 0.0292350351442787
0.4425 0.055 0.0291288934014911
0.445 0.055 0.0290232433439486
0.4475 0.055 0.0289180885896963
0.45 0.055 0.0288134324167749
0.4525 0.055 0.0287092777795146
0.455 0.055 0.0286056273240708
0.4575 0.055 0.0285024834032413
0.46 0.055 0.028399848090597
0.4625 0.055 0.0282977231939652
0.465 0.055 0.0281961102682951
0.4675 0.055 0.0280950106279357
0.47 0.055 0.0279944253583574
0.4725 0.055 0.0278943553273382
0.475 0.055 0.0277948011956479
0.4775 0.055 0.027695763427246
0.48 0.055 0.0275972422990233
0.4825 0.055 0.0274992379101025
0.485 0.055 0.0274017501907238
0.4875 0.055 0.0273047789107302
0.49 0.055 0.0272083236876722
0.4925 0.055 0.0271123839945534
0.495 0.055 0.0270169591672268
0.4975 0.055 0.0269220484114618
0.5 0.055 0.0268276508096969
0.0025 0.0575 7.15728476958088e-07
0.005 0.0575 7.7224644543617e-07
0.0075 0.0575 8.36277619725276e-07
0.01 0.0575 9.0888403589083e-07
0.0125 0.0575 9.91288350534791e-07
0.015 0.0575 1.08489933208074e-06
0.0175 0.0575 1.19134156825578e-06
0.02 0.0575 1.31249011334166e-06
0.0225 0.0575 1.45051092720584e-06
0.025 0.0575 1.60790811008082e-06
0.0275 0.0575 1.78757911695858e-06
0.03 0.0575 1.99287934860352e-06
0.0325 0.0575 2.22769776884877e-06
0.035 0.0575 2.49654549758404e-06
0.0375 0.0575 2.80465968464417e-06
0.04 0.0575 3.15812539243142e-06
0.0425 0.0575 3.56401871742407e-06
0.045 0.0575 4.03057497808569e-06
0.0475 0.0575 4.56738650752518e-06
0.05 0.0575 5.18563543555932e-06
0.0525 0.0575 5.89836785290892e-06
0.055 0.0575 6.72081695165772e-06
0.0575 0.0575 7.67078416840485e-06
0.06 0.0575 8.76908906482513e-06
0.0625 0.0575 1.00401007183183e-05
0.065 0.0575 1.15123658272377e-05
0.0675 0.0575 1.3219351637255e-05
0.07 0.0575 1.52003252586469e-05
0.0725 0.0575 1.75013950765807e-05
0.075 0.0575 2.01767448854948e-05
0.0775 0.0575 2.32900972550191e-05
0.08 0.0575 2.69164496352362e-05
0.0825 0.0575 3.1144135039667e-05
0.085 0.0575 3.6077269043842e-05
0.0875 0.0575 4.18386565793371e-05
0.09 0.0575 4.85732458971566e-05
0.0925 0.0575 5.64522334640181e-05
0.095 0.0575 6.56779428126483e-05
0.0975 0.0575 7.64896228802803e-05
0.1 0.0575 8.91703375191846e-05
0.1025 0.0575 0.000104055147982574
0.105 0.0575 0.000121540824504344
0.1075 0.0575 0.000142097361619133
0.11 0.0575 0.00016628161427438
0.1125 0.0575 0.000194753417159093
0.115 0.0575 0.000228294596213895
0.1175 0.0575 0.000267831325847868
0.12 0.0575 0.000314460322838046
0.1225 0.0575 0.000369479390236145
0.125 0.0575 0.000434422819823699
0.1275 0.0575 0.00051110211214243
0.13 0.0575 0.000601652353800536
0.1325 0.0575 0.000708584367813894
0.135 0.0575 0.000834842377267839
0.1375 0.0575 0.000983866334513313
0.14 0.0575 0.00115965719143372
0.1425 0.0575 0.0013668421322583
0.145 0.0575 0.00161073506523718
0.1475 0.0575 0.00189738539216476
0.15 0.0575 0.00223360520972098
0.1525 0.0575 0.00262696170839838
0.155 0.0575 0.00308571786911635
0.1575 0.0575 0.00361870114849427
0.16 0.0575 0.00423507763136411
0.1625 0.0575 0.00494400954756209
0.165 0.0575 0.00575417900441044
0.1675 0.0575 0.00667317239653229
0.17 0.0575 0.0077067399251739
0.1725 0.0575 0.00885797319640143
0.175 0.0575 0.010126478277649
0.1775 0.0575 0.0115076550865112
0.18 0.0575 0.0129922156725238
0.1825 0.0575 0.0145660711366631
0.185 0.0575 0.0162106801309646
0.1875 0.0575 0.0179038811471276
0.19 0.0575 0.0196211398557008
0.1925 0.0575 0.0213370569291243
0.195 0.0575 0.0230269287019131
0.1975 0.0575 0.0246681500962856
0.2 0.0575 0.0262412953624123
0.2025 0.0575 0.027730788978167
0.205 0.0575 0.0291251605641417
0.2075 0.0575 0.0304169419621173
0.21 0.0575 0.0316023008453031
0.2125 0.0575 0.0326805139051392
0.215 0.0575 0.0336533714451428
0.2175 0.0575 0.0345245837237531
0.22 0.0575 0.0352992356350401
0.2225 0.0575 0.0359833153155558
0.225 0.0575 0.0365833262258053
0.2275 0.0575 0.0371059814408169
0.23 0.0575 0.0375579725284891
0.2325 0.0575 0.0379458023691604
0.235 0.0575 0.0382756704785894
0.2375 0.0575 0.0385533999470018
0.24 0.0575 0.0387843963517504
0.2425 0.0575 0.0389736305120836
0.245 0.0575 0.0391256384730505
0.2475 0.0575 0.0392445334929618
0.25 0.0575 0.0393340260041072
0.2525 0.0575 0.0393974485056774
0.255 0.0575 0.0394377831426379
0.2575 0.0575 0.0394576903483224
0.26 0.0575 0.0394595374092395
0.2625 0.0575 0.0394454261748399
0.265 0.0575 0.0394172194068776
0.2675 0.0575 0.0393765654628449
0.27 0.0575 0.039324921152541
0.2725 0.0575 0.0392635727094949
0.275 0.0575 0.039193654890176
0.2775 0.0575 0.0391161682618413
0.28 0.0575 0.0390319947706217
0.2825 0.0575 0.0389419116997974
0.285 0.0575 0.0388466041376399
0.2875 0.0575 0.0387466760773419
0.29 0.0575 0.0386426602703816
0.2925 0.0575 0.0385350269505757
0.295 0.0575 0.038424191540133
0.2975 0.0575 0.0383105214419717
0.3 0.0575 0.0381943420149419
0.3025 0.0575 0.0380759418207992
0.305 0.0575 0.0379555772240397
0.3075 0.0575 0.0378334764182329
0.31 0.0575 0.03770984294538
0.3125 0.0575 0.0375848587681448
0.315 0.0575 0.0374586869486009
0.3175 0.0575 0.0373314739814098
0.32 0.0575 0.0372033518241079
0.3225 0.0575 0.037074439662401
0.325 0.0575 0.0369448454440356
0.3275 0.0575 0.0368146672109062
0.33 0.0575 0.0366839942555411
0.3325 0.0575 0.0365529081249652
0.335 0.0575 0.0364214834921111
0.3375 0.0575 0.0362897889124491
0.34 0.0575 0.0361578874812779
0.3425 0.0575 0.036025837405136
0.345 0.0575 0.0358936924990612
0.3475 0.0575 0.0357615026198704
0.35 0.0575 0.0356293140442953
0.3525 0.0575 0.0354971697996114
0.355 0.0575 0.0353651099533615
0.3575 0.0575 0.035233171867872
0.36 0.0575 0.0351013904244609
0.3625 0.0575 0.0349697982215551
0.365 0.0575 0.0348384257503417
0.3675 0.0575 0.0347073015510491
0.37 0.0575 0.0345764523525233
0.3725 0.0575 0.0344459031973682
0.375 0.0575 0.0343156775545949
0.3775 0.0575 0.0341857974214423
0.38 0.0575 0.0340562834157793
0.3825 0.0575 0.0339271548603026
0.385 0.0575 0.0337984298595575
0.3875 0.0575 0.0336701253706651
0.39 0.0575 0.0335422572685018
0.3925 0.0575 0.0334148404059759
0.395 0.0575 0.0332878886699512
0.3975 0.0575 0.033161415033284
0.4 0.0575 0.0330354316033808
0.4025 0.0575 0.0329099496676187
0.405 0.0575 0.0327849797359365
0.4075 0.0575 0.0326605315808453
0.41 0.0575 0.0325366142750926
0.4125 0.0575 0.0324132362271714
0.415 0.0575 0.0322904052148481
0.4175 0.0575 0.0321681284168604
0.42 0.0575 0.0320464124429188
0.4225 0.0575 0.0319252633621323
0.425 0.0575 0.0318046867299606
0.4275 0.0575 0.0316846876137948
0.43 0.0575 0.0315652706172484
0.4325 0.0575 0.0314464399032349
0.435 0.0575 0.0313281992159108
0.4375 0.0575 0.0312105519015418
0.44 0.0575 0.0310935009283577
0.4425 0.0575 0.0309770489054472
0.445 0.0575 0.030861198100748
0.4475 0.0575 0.030745950458177
0.45 0.0575 0.0306313076139476
0.4525 0.0575 0.030517270912114
0.455 0.0575 0.0304038414193825
0.4575 0.0575 0.0302910199392271
0.46 0.0575 0.0301788070253418
0.4625 0.0575 0.0300672029944654
0.465 0.0575 0.0299562079386072
0.4675 0.0575 0.0298458217367014
0.47 0.0575 0.029736044065723
0.4725 0.0575 0.0296268744112854
0.475 0.0575 0.0295183120777462
0.4775 0.0575 0.029410356197847
0.48 0.0575 0.0293030057419059
0.4825 0.0575 0.0291962595265853
0.485 0.0575 0.0290901162232556
0.4875 0.0575 0.0289845743659724
0.49 0.0575 0.028879632359086
0.4925 0.0575 0.0287752884844995
0.495 0.0575 0.028671540908594
0.4975 0.0575 0.028568387688834
0.5 0.0575 0.0284658267800668
0.0025 0.06 7.43270149863993e-07
0.005 0.06 8.05307388578138e-07
0.0075 0.06 8.7599342163769e-07
0.01 0.06 9.56609962975866e-07
0.0125 0.06 1.04864164656247e-06
0.015 0.06 1.15380969596951e-06
0.0175 0.06 1.27411140951573e-06
0.02 0.06 1.41186650216305e-06
0.0225 0.06 1.5697715379469e-06
0.025 0.06 1.75096391605299e-06
0.0275 0.06 1.95909714689348e-06
0.03 0.06 2.19842948032432e-06
0.0325 0.06 2.47392833685782e-06
0.035 0.06 2.79139345682096e-06
0.0375 0.06 3.15760223688856e-06
0.04 0.06 3.58048138628851e-06
0.0425 0.06 4.06930982794773e-06
0.045 0.06 4.63495871898297e-06
0.0475 0.06 5.29017560167887e-06
0.05 0.06 6.04992105819443e-06
0.0525 0.06 6.93176787520171e-06
0.055 0.06 7.95637468317889e-06
0.0575 0.06 9.1480483848902e-06
0.06 0.06 1.0535412507759e-05
0.0625 0.06 1.21522020001215e-05
0.065 0.06 1.4038209055409e-05
0.0675 0.06 1.62404094270508e-05
0.07 0.06 1.88143045524461e-05
0.0725 0.06 2.18255218297145e-05
0.075 0.06 2.53517238144713e-05
0.0775 0.06 2.94848871951132e-05
0.08 0.06 3.43340244791296e-05
0.0825 0.06 4.00284357458545e-05
0.085 0.06 4.67215950125381e-05
0.0875 0.06 5.45957961946924e-05
0.09 0.06 6.38677078426432e-05
0.0925 0.06 7.47950143651952e-05
0.095 0.06 8.76843548819134e-05
0.0975 0.06 0.000102900809716286
0.1 0.06 0.000120879229281286
0.1025 0.06 0.000142137750909877
0.105 0.06 0.000167293905814484
0.1075 0.06 0.000197083779874856
0.11 0.06 0.000232384756262957
0.1125 0.06 0.000274242431157645
0.115 0.06 0.000323902349462149
0.1175 0.06 0.000382847245089821
0.12 0.06 0.000452840473998416
0.1225 0.06 0.000535976273854703
0.125 0.06 0.000634737337419133
0.1275 0.06 0.000752059898780904
0.13 0.06 0.000891406035984161
0.1325 0.06 0.00105684210288462
0.135 0.06 0.0012531210073881
0.1375 0.06 0.00148576432347361
0.14 0.06 0.00176113782448279
0.1425 0.06 0.00208651083968161
0.145 0.06 0.00247008582295751
0.1475 0.06 0.00292097980023196
0.15 0.06 0.00344913433989537
0.1525 0.06 0.00406512623687331
0.155 0.06 0.00477984872161742
0.1575 0.06 0.00560403495276658
0.16 0.06 0.00654760472047568
0.1625 0.06 0.00761883468118611
0.165 0.06 0.00882338400511884
0.1675 0.06 0.0101632500549786
0.17 0.06 0.0116357765478495
0.1725 0.06 0.0132328770970765
0.175 0.06 0.0149406525174023
0.1775 0.06 0.0167395536415023
