"G" "X" "Y" "A" "D" "O"
32 0.499047562794078 0.488790472431254 0.012161941460739 0.595032174837467 0.0025314168875418
33 0.498981337180459 0.487983428297268 0.0130352077610714 0.595054817291791 0.00271011369718187
34 0.498910339212397 0.487122320260604 0.0139673098150349 0.595079011877108 0.00290159874075896
35 0.498834244835832 0.48620343823735 0.0149622816885021 0.595104864950168 0.00310674541272104
36 0.498752709287255 0.485222852542937 0.0160243977474558 0.595132489359107 0.00332648303113539
37 0.498665366018703 0.484176404400525 0.0171581832232998 0.595162004747509 0.00356179978154785
38 0.498571825602961 0.483059696653554 0.0183684245936435 0.595193537857616 0.00381374572167365
39 0.498471674625041 0.481868084806811 0.0196601796481202 0.595227222829706 0.00408343583168538
40 0.498364474567232 0.480596668540779 0.0210387870871762 0.595263201494218 0.00437205309155608
41 0.498249760696471 0.479240283866471 0.0225098754778513 0.595301623652546 0.00468085156319345
42 0.498127040964363 0.477793496112646 0.0240793713643214 0.595342647341845 0.00501115945093741
43 0.497995794931952 0.476250593964135 0.0257535063023528 0.59538643907845 0.00536438210936621
44 0.497855472733288 0.474605584799013 0.027538822555876 0.595433174073796 0.00574200496224744
45 0.497705494093988 0.472852191603365 0.0294421771607328 0.595483036415853 0.00614559629087139
46 0.497545247423258 0.470983851775257 0.0314707440254993 0.595536219208246 0.00657680984391519
47 0.497374089000377 0.468993718163849 0.0336320137024559 0.595592924658295 0.00703738721442085
48 0.497191342279267 0.466874662724973 0.0359337904237484 0.595653364104218 0.00752915992245973
49 0.49699629733757 0.46461928321035 0.038384185959183 0.595717757970756 0.00805405113465044
50 0.496788210499544 0.462219913342997 0.0409916098137713 0.595786335641465 0.0086140769439727
51 0.496566304165077 0.459668636965481 0.0437647552461554 0.595859335234895 0.00921134712538197
52 0.496329766880069 0.456957306678955 0.0467125805547198 0.595937003270928 0.00984806527471815
53 0.496077753686368 0.454077567518132 0.0498442850481617 0.59601959421265 0.0105265282304959
54 0.495809386792208 0.451020886228348 0.0531692790934689 0.596107369868353 0.0112491246705891
55 0.495523756606607 0.447778586723781 0.0566971476189183 0.59620059863764 0.0120183327688486
56 0.495219923183311 0.444341892307985 0.0604376064454586 0.596299554585243 0.0128367167906526
57 0.494896918121466 0.440701975226596 0.0644004508296271 0.596404516326038 0.0137069225016543
58 0.494553746971084 0.436850014094103 0.0685954956282244 0.596515765705033 0.0146316712610136
59 0.494189392191381 0.432777259688761 0.0730325065428425 0.596633586256805 0.0156137526696552
60 0.493802816708934 0.428475109538502 0.0777211219747125 0.596758261430102 0.0166560156461365
61 0.493392968120188 0.423935191622557 0.082670765120944 0.596890072565222 0.0177613578081083
62 0.492958783578864 0.419149457385015 0.087890546075726 0.597029296614321 0.0189327130467097
63 0.492499195403026 0.414110284094671 0.0933891538677907 0.597176203598207 0.0201730371951709
64 0.492013137428815 0.408810586387547 0.0991747385711465 0.597331053797418 0.0214852917119765
65 0.491499552127868 0.403243936592927 0.105254783871689 0.597494094680541 0.0228724253236955
66 0.490957398493133 0.397404693169923 0.111635970758409 0.597665557578886 0.0243373536034416
67 0.490385660683014 0.391288136270673 0.118324033333597 0.59784565412371 0.0258829364981643
68 0.489783357396586 0.384890609101254 0.125323608098692 0.598034572470218 0.027511953861666
69 0.489149551932999 0.378209663377508 0.132638078465782 0.598232473341433 0.0292270791002353
70 0.488483362866473 0.371244206778371 0.140269416661067 0.598439485934509 0.0310308510935837
71 0.487783975244725 0.363994649894815 0.148218025614507 0.598655703742137 0.0329256446145506
72 0.487050652193819 0.356463049772163 0.156482583854904 0.598881180351795 0.0349136395355558
73 0.48628274678696 0.348653246764426 0.165059896834041 0.599115925295627 0.0369967891763702
74 0.485479714009485 0.340570991081247 0.173944758466589 0.599359900033107 0.0391767882143544
75 0.484641122628283 0.332224055133225 0.183129826971084 0.599613014156955 0.0414550406423894
76 0.483766666752117 0.323622327593287 0.192605519306729 0.599875121919429 0.0438326283184398
77 0.482856176851197 0.314777885014562 0.202359928595865 0.600146019180662 0.0463102807009642
78 0.481909629990987 0.305705036901515 0.212378768878611 0.600425440882497 0.0488883464029769
79 0.480927159027896 0.29642034034127 0.222645351343021 0.600713059149945 0.0515667672212976
80 0.479909060514349 0.286942580681457 0.233140595794508 0.601008482117357 0.0543450553034567
81 0.478855801068683 0.277292715298745 0.243843080562343 0.601311253567599 0.0572222741003577
82 0.4777680219819 0.267493778239192 0.254729133287216 0.601620853459579 0.0601970237163266
83 0.476646541859045 0.257570744418805 0.265772964100917 0.601936699402707 0.0632674312086792
84 0.475492357127474 0.247550353130496 0.276946841616933 0.602258149116334 0.0664311463065305
85 0.474306640287069 0.237460891781353 0.288221310930534 0.602584503888679 0.0696853429145918
86 0.473090735827431 0.227331942040386 0.299565451521166 0.602915013023656 0.0730267266446781
87 0.471846153792532 0.217194091861267 0.31094717161072 0.603248879236629 0.0764515484793482
88 0.470574561032474 0.207078618099656 0.3223335342179 0.603585264932276 0.079955624523312
89 0.469277770242317 0.197017145609263 0.333691108924843 0.603923299270787 0.0835343616446385
90 0.467957726947116 0.187041289713791 0.344986342301097 0.604262085903753 0.0871827886555726
91 0.466616494647691 0.177182289756122 0.356185939071466 0.604600711239493 0.0908955925383134
92 0.465256238390834 0.16747064197273 0.367257245519491 0.604938253080239 0.0946671590905835
93 0.463879207068493 0.157935740193555 0.378168626326231 0.605273789461514 0.0984916172548149
94 0.462487714781167 0.148605532803475 0.388889826078121 0.605606407517596 0.102362886307899
95 0.461084121620187 0.139506204016586 0.399392307043847 0.6059352121967 0.106274725029068
96 0.45967081423094 0.130661886821673 0.409649555505819 0.606259334655108 0.110220781933526
97 0.458250186514604 0.12209441398701 0.419637349906573 0.606577940170852 0.114194645659319
98 0.456824620810062 0.113823112310609 0.429333985288011 0.606890235433888 0.11818989462355
99 0.4553964698716 0.105864643926076 0.438720449902726 0.60719547509022 0.12220014511889
100 0.45396803992329 0.0982328969906125 0.447780551394074 0.607492967441041 0.126219097098847
101 0.452541575029578 0.0909389265602489 0.456500991503289 0.607782079223586 0.130240576995944
102 0.45111924297564 0.0839909449674167 0.464871389796596 0.608062239426861 0.134258577025813
103 0.449703122802628 0.0773943596215624 0.472884258346692 0.60833294212154 0.138267290547063
104 0.448295194094171 0.0711518549100982 0.480534930593798 0.608593748308286 0.142261143166598
105 0.446897328063152 0.0652635138285302 0.487821448705966 0.608844286811529 0.146234819398064
106 0.445511280443629 0.059726974145743 0.494744414624267 0.6090842542658 0.150183284793342
107 0.444138686152881 0.0545376133299123 0.501306810597959 0.609313414258542 0.154101803570038
108 0.44278105565404 0.0496887561254977 0.507513795383704 0.609531595706724 0.15798595184932
109 0.441439772921035 0.045171898573027 0.513372482409982 0.609738690554357 0.161831626696453
110 0.440116094884938 0.040976942381235 0.518891706112631 0.609934650884445 0.165635051220213
111 0.438811152224208 0.0370924338677417 0.524081782357577 0.61011948554201 0.169392776036705
112 0.437525951350429 0.0335058021464838 0.528954268416147 0.610293256365063 0.173101677438562
113 0.4362613774355 0.0302035918211415 0.533521727383558 0.610456074118106 0.176758952632799
