"kD" "kA" "SR"
0.3225 0.0025 0.500000089622095
0.325 0.0025 0.500000087708769
0.3275 0.0025 0.500000085811112
0.33 0.0025 0.500000083929736
0.3325 0.0025 0.50000008206523
0.335 0.0025 0.500000080218159
0.3375 0.0025 0.50000007838907
0.34 0.0025 0.500000076578481
0.3425 0.0025 0.500000074786894
0.345 0.0025 0.500000073014786
0.3475 0.0025 0.500000071262612
0.35 0.0025 0.500000069530804
0.3525 0.0025 0.500000067819775
0.355 0.0025 0.500000066129916
0.3575 0.0025 0.500000064461594
0.36 0.0025 0.500000062815156
0.3625 0.0025 0.500000061190929
0.365 0.0025 0.500000059589217
0.3675 0.0025 0.500000058010305
0.37 0.0025 0.500000056454457
0.3725 0.0025 0.500000054921916
0.375 0.0025 0.500000053412905
0.3775 0.0025 0.500000051927627
0.38 0.0025 0.500000050466265
0.3825 0.0025 0.500000049028984
0.385 0.0025 0.500000047615927
0.3875 0.0025 0.500000046227221
0.39 0.0025 0.500000044862973
0.3925 0.0025 0.50000004352327
0.395 0.0025 0.500000042208183
0.3975 0.0025 0.500000040917765
0.4 0.0025 0.500000039652049
0.4025 0.0025 0.500000038411054
0.405 0.0025 0.500000037194779
0.4075 0.0025 0.500000036003209
0.41 0.0025 0.500000034836311
0.4125 0.0025 0.500000033694036
0.415 0.0025 0.50000003257632
0.4175 0.0025 0.500000031483084
0.42 0.0025 0.500000030414233
0.4225 0.0025 0.500000029369657
0.425 0.0025 0.500000028349234
0.4275 0.0025 0.500000027352826
0.43 0.0025 0.500000026380282
0.4325 0.0025 0.500000025431439
0.435 0.0025 0.500000024506119
0.4375 0.0025 0.500000023604135
0.44 0.0025 0.500000022725285
0.4425 0.0025 0.500000021869357
0.445 0.0025 0.500000021036128
0.4475 0.0025 0.500000020225363
0.45 0.0025 0.500000019436818
0.4525 0.0025 0.50000001867024
0.455 0.0025 0.500000017925364
0.4575 0.0025 0.500000017201916
0.46 0.0025 0.500000016499618
0.4625 0.0025 0.500000015818178
0.465 0.0025 0.5000000151573
0.4675 0.0025 0.500000014516679
0.47 0.0025 0.500000013896004
0.4725 0.0025 0.500000013294956
0.475 0.0025 0.500000012713213
0.4775 0.0025 0.500000012150443
