"G" "A1D1X" "A2D1X" "A1D1Y" "A2D1Y" "A1D1O" "A2D1O" "A1D2X" "A2D2X" "A1D2Y" "A2D2Y" "A1D2O" "A2D2O"
18 0.287094718544483 0.210322235175026 0.281823390585512 0.206864902589566 0.00590972097692569 0.00369481503912525 2.23677614837985e-06 0.00107031749619217 2.13987134445561e-06 0.000609343505854652 4.57045710068395e-06 0.00260157631894706
19 0.290996769186823 0.20613169096542 0.284997583870778 0.202325914559362 0.00671272876893582 0.00406079154439545 2.51983225080638e-06 0.00119111044382102 2.40147708652291e-06 0.000670862631198941 5.15801966589625e-06 0.00290242945106386
20 0.294808498834914 0.201994354705937 0.287995909386642 0.197814039721006 0.00761113478844364 0.00445465907778138 2.83625549303341e-06 0.00132751461582593 2.69142042427207e-06 0.000739759834238707 5.81734605482816e-06 0.00324273667345434
21 0.298524820935465 0.197910314407114 0.290802741385903 0.19332663402377 0.00861682369092029 0.00487934214698398 3.19047131090159e-06 0.00148164038115007 3.01313121009862e-06 0.000816937501325029 6.55828272260614e-06 0.00362792633868004
22 0.302140678255623 0.193878963749712 0.293401178967078 0.188860112657895 0.00974316563211649 0.0053380309218579 3.58749402022899e-06 0.00165587995990911 3.37042232694455e-06 0.000903401837923796 7.39205973374243e-06 0.00406416844022462
23 0.305650963450734 0.189899002720736 0.295772829533242 0.184409942814322 0.0110051750627586 0.00583419034310126 4.03299950052919e-06 0.00185294101927592 3.76751642567465e-06 0.00100026973871026 8.33148207591293e-06 0.00455846850625285
24 0.309050432447177 0.185968439944589 0.297897580669486 0.179970642201134 0.0124196754677868 0.00637156499388849 4.53340429116732e-06 0.0020758826646934 4.20906910917418e-06 0.00110877481107492 9.39114376432777e-06 0.00511876952008663
25 0.312333611799152 0.182084596617296 0.299753365368401 0.175535785096032 0.0140054659942282 0.00695417775522515 5.09595073571371e-06 0.00232815339168055 4.70018594261556e-06 0.00123027177248276 1.05876662645256e-05 0.0057540613414837
26 0.315494701465813 0.178244112330851 0.301315927472858 0.171098018542136 0.0157834840763164 0.00758631978497686 5.7287973940384e-06 0.00261363028436801 5.24642987557313e-06 0.00136623823914992 1.19399623065421e-05 0.0064744964682138
27 0.318527474873414 0.174442953528166 0.302558596716952 0.166649092278606 0.0177769558329987 0.00827252879177079 6.44111338379674e-06 0.00293665838113933 5.85381468819276e-06 0.00151827266304829 1.34695254631975e-05 0.00729151014044863
28 0.321425178710175 0.170676425859297 0.303452085920762 0.162179907128357 0.020011523113851 0.00901755193020183 7.24317458492328e-06 0.00330208865975386 6.52877891909232e-06 0.00168808685883827 1.52007448356775e-05 0.00821794170180456
29 0.324180435681868 0.166939192315911 0.303964326801331 0.157680587817998 0.022515332559179 0.00982628894789381 8.14645871522437e-06 0.00371531251023974 7.27813341375825e-06 0.00187749119858791 1.71612427319149e-05 0.00926815274240146
30 0.326785154460018 0.163225299696886 0.304060365522213 0.153140587529949 0.0253190679180505 0.010703710513177 9.16373514036212e-06 0.00418228985478608 8.10897419601207e-06 0.00208837015478995 1.93822312250743e-05 0.0104581358197312
31 0.329230452295918 0.159528216685725 0.303702344455099 0.148548832795266 0.0284559022106491 0.0116547460188535 1.03091439081248e-05 0.00470956724071413 9.02855090552514e-06 0.00232264546902168 2.18988808188494e-05 0.0118056054574517
32 0.33150659724306 0.155840887565679 0.302849602474348 0.14389391848559 0.0319613413260178 0.0126841347064376 1.15982569079013e-05 0.00530428129280908 1.00440797223996e-05 0.00258222386145605 2.47506910013044e-05 0.0133300606660812
33 0.333602978582218 0.152155806302234 0.301458932058339 0.139164363440882 0.0358729256862622 0.0137962338496135 1.30481123003796e-05 0.00597414190781247 1.1162488767056e-05 0.00286892594803008 2.79818481340827e-05 0.0150528054693556
34 0.33550811577662 0.148465116293493 0.299485036870085 0.134348937376852 0.0402297522960646 0.0149947781962776 1.46772115404918e-05 0.00672738858611145 1.23900837854352e-05 0.00318439300267283 3.16415508360401e-05 0.016996910988934
