"G" "DA2D2" "DA2Y" "DD2Y"
1 -0.142665666077748 -0.0717565195515074 0.499150928832398
2 -0.128573344362519 -0.064455791723838 0.499192590908209
3 -0.110823032189251 -0.0554624993409283 0.499008945628082
4 -0.0927616944045512 -0.0463737943679257 0.498735092606903
5 -0.0746032819315133 -0.0372633084570859 0.498405374305595
6 -0.0564036371187965 -0.0281477937226444 0.498031047092391
7 -0.0382018919168342 -0.0190425683629021 0.497615513685316
8 -0.0200330083245051 -0.00996341236517498 0.4971587376634
9 -0.00192983326121815 -0.000926203131631387 0.496658747962994
10 0.0160764195668585 0.00805336521530134 0.496112247363845
11 0.0339560676567294 0.0169599597844232 0.495514886119643
12 0.0516809700797896 0.0257787243841521 0.494861379945288
13 0.0692245667748045 0.0344953519785935 0.494145541674911
14 0.0865619128611986 0.0430961229114332 0.493360258909274
15 0.103669691344309 0.0515679131172581 0.492497434739252
16 0.120526195492905 0.0598981746503314 0.491547901166691
17 0.137111276615366 0.0680748901399883 0.490501310804571
18 0.153406255719957 0.0760865025734587 0.489346010207165
19 0.169393799298502 0.0839218218166904 0.488068897033569
20 0.185057760568762 0.0915699093853823 0.486655262822816
21 0.200382988170439 0.0990199431305338 0.485088623273616
22 0.21535510469658 0.106261063710255 0.48335053849739
23 0.229960257690978 0.113282205014742 0.481420426735163
24 0.244184845973309 0.120071911144611 0.479275376524957
25 0.25801522448171 0.126618143177127 0.476889964332327
26 0.271437391361933 0.132908079862557 0.474236087284129
27 0.284436661899709 0.13892791765125 0.4712828239482
28 0.296997335208371 0.144662677139029 0.467996340137721
29 0.309102361465989 0.150096025202817 0.464339861506884
30 0.320733020055635 0.155210124827118 0.460273740186707
31 0.331868622284948 0.159985527898225 0.455755648705789
32 0.342486256483774 0.16440112999698 0.450740940583649
33 0.352560598152215 0.168434210269044 0.445183222645953
34 0.362063813269818 0.172060583446867 0.439035188319889
35 0.370965588493748 0.17525489447409 0.432249762535207
36 0.379233327112128 0.177991088104924 0.424781605536229
37 0.386832553283818 0.180243085183241 0.416589012637282
38 0.393727567918415 0.181985692636385 0.407636227213989
39 0.399882395812263 0.18319576396713 0.397896152621885
40 0.405262053426201 0.183853609686543 0.387353403624407
41 0.409834148117289 0.183944631670244 0.376007579291102
42 0.413570791431613 0.183461121854494 0.36387656992921
43 0.416450771164312 0.182404125743296 0.350999636985573
44 0.418461881199885 0.180785228921369 0.33743993802001
45 0.419603259158059 0.178628086816616 0.323286123996989
46 0.419887536884576 0.175969493227443 0.308652630824793
47 0.419342577385374 0.172859781460157 0.293678337594612
48 0.418012564156229 0.169362381774325 0.278523380264012
49 0.415958233493244 0.165552424332515 0.26336408965225
50 0.413256101094763 0.161514374968946 0.248386248863198
51 0.409996627783549 0.157338810173438 0.233777104038498
52 0.40628138418193 0.153118558369168 0.219716769344989
53 0.402219392756321 0.148944533503366 0.206369797330082
54 0.397922927023347 0.144901642682122 0.193877706011885
55 0.393503113273124 0.141065148585021 0.182353153411714
