"kD" "kA" "z1vector" "z2vector" "z3vector" "z4vector" "z5vector" "z6vector" "z7vector" "z8vector" "z9vector"
0.39 0.01 0.5 0.5 0.5 0.50000001766856 0.500000046937451 0.500003849472806 0.500027788543043 0.500071092381244 0.502399943967819
0.4 0.01 0.5 0.5 0.5 0.500000016085596 0.500000046041456 0.500004534111291 0.500028527282479 0.50007791911408 0.502664381085489
0.41 0.01 0.5 0.5 0.5 0.500000014570993 0.500000045259896 0.50000536174108 0.500029256080955 0.500085770283002 0.502919032587796
0.42 0.01 0.5 0.5 0.5 0.50000001313004 0.500000044619437 0.500006366657366 0.500029973273955 0.50009486994139 0.503157806415869
0.43 0.01 0.5 0.5 0.5 0.500000011767063 0.500000044150585 0.500007592375071 0.500030677069991 0.500105500763181 0.503376341657799
0.44 0.01 0.5 0.5 0.5 0.500000010485432 0.500000043888881 0.50000909434021 0.500031365544006 0.500118020223063 0.503572203611717
0.45 0.01 0.5 0.5 0.5 0.500000009287559 0.500000043876492 0.500010943487096 0.500032036630855 0.500132880628098 0.503744745763853
0.46 0.01 0.5 0.5 0.5 0.500000008174928 0.500000044164348 0.50001323090791 0.500032688118981 0.500150653136156 0.503894751125807
0.47 0.01 0.5 0.5 0.5 0.500000007148114 0.500000044815005 0.5000160739773 0.500033317644408 0.500172055075672 0.504023985880089
0.48 0.01 0.5 0.5 0.5 0.500000006206823 0.500000045906551 0.500019624362646 0.50003392268519 0.500197978254975 0.504134771859121
0.49 0.01 0.5 0.5 0.5 0.500000005349934 0.500000047537933 0.500024078442031 0.500034500556494 0.500229513092446 0.504229639188085
0.5 0.01 0.5 0.5 0.5 0.500000004575555 0.500000049836318 0.500029690724801 0.500035048406519 0.500267958943478 0.50431107924507
0.01 0.02 0.5 0.5 0.5 0.500000006191776 0.500000006267169 0.500000006668768 0.50000059628831 0.500000608421844 0.500000680079628
0.02 0.02 0.5 0.5 0.5 0.500000011903466 0.500000012276014 0.500000014633163 0.500001200750211 0.500001248891593 0.500001568609816
0.03 0.02 0.5 0.5 0.5 0.500000017147446 0.500000018037475 0.500000024260142 0.50000181351663 0.500001924839621 0.500002736147241
0.04 0.02 0.5 0.5 0.5 0.500000021936479 0.500000023563399 0.500000036020925 0.500002434719419 0.500002640209777 0.500004278295532
0.05 0.02 0.5 0.5 0.5 0.500000026283708 0.500000028866657 0.50000005052254 0.500003064491214 0.50000339955584 0.500006325032709
0.06 0.02 0.5 0.5 0.5 0.50000003020264 0.500000033961283 0.500000068549547 0.500003702965287 0.500004208159705 0.500009053669741
0.07 0.02 0.5 0.5 0.5 0.500000033707135 0.500000038862646 0.50000009111945 0.500004350275362 0.500005072177042 0.500012706901783
0.08 0.02 0.5 0.5 0.5 0.500000036811391 0.500000043587657 0.500000119556559 0.500005006555433 0.500005998817848 0.500017618007062
0.09 0.02 0.5 0.5 0.5 0.500000039529928 0.500000048155028 0.500000155590901 0.500005671939543 0.500006996571633 0.500024246070914
0.1 0.02 0.5 0.5 0.5 0.500000041877568 0.500000052585585 0.500000201491186 0.500006346561552 0.500008075490055 0.500033225233282
0.11 0.02 0.5 0.5 0.5 0.500000043869414 0.500000056902661 0.50000026024439 0.50000703055487 0.500009247543988 0.500045433442663
0.12 0.02 0.5 0.5 0.5 0.500000045520834 0.500000061132594 0.500000335799368 0.500007724052179 0.500010527077744 0.500062088072305
0.13 0.02 0.5 0.5 0.5 0.50000004684743 0.500000065305333 0.500000433398889 0.500008427185105 0.500011931390955 0.500084877910799
0.14 0.02 0.5 0.5 0.5 0.500000047865016 0.50000006945523 0.5000005600343 0.500009140083881 0.500013481489452 0.500116143055352
0.15 0.02 0.5 0.5 0.5 0.500000048589592 0.500000073622027 0.500000725071191 0.500009862876961 0.500015203061556 0.50015911499251
0.16 0.02 0.5 0.5 0.5 0.500000049037312 0.500000077852134 0.500000941114604 0.500010595690606 0.500017127757237 0.50021822614449
0.17 0.02 0.5 0.5 0.5 0.500000049224453 0.500000082200273 0.500001225211557 0.500011338648428 0.500019294877398 0.500299486399474
0.18 0.02 0.5 0.5 0.5 0.500000049167385 0.50000008673161 0.500001600530902 0.500012091870896 0.500021753622695 0.500410894795376
0.19 0.02 0.5 0.5 0.5 0.500000048882531 0.500000091524555 0.500002098722019 0.500012855474796 0.500024566111554 0.500562794413474
0.2 0.02 0.5 0.5 0.5 0.500000048386335 0.500000096674447 0.500002763243576 0.500013629572647 0.50002781146339 0.5007679740939
0.21 0.02 0.5 0.5 0.5 0.50000004769522 0.500000102298452 0.500003654084917 0.500014414272065 0.500031591367361 0.50104117403872
0.22 0.02 0.5 0.5 0.5 0.500000046825551 0.500000108542127 0.500004854495236 0.500015209675076 0.500036037736388 0.501397519918846
