"G" "A1D1X" "A2D1X" "A1D1Y" "A2D1Y" "A1D2X" "A2D2X" "A1D2Y" "A2D2Y"
1 0.434194260688039 0.065445482931527 0.344541778904512 0.155301477861667 9.10439223967975e-05 2.1709983012802e-05 0.000239379912450788 0.000164865796394664
2 0.43454159373873 0.0651723308964182 0.345080542031493 0.154778508650668 6.33067792068063e-05 2.29335031659658e-05 0.000166512504972571 0.00017427189534475
3 0.434823630685645 0.0648971082372364 0.345591935401574 0.154264712549595 5.7064620374064e-05 2.59807905701664e-05 0.000144530108093616 0.000195037606912296
4 0.435091193171722 0.0646222953491281 0.346097658185196 0.153747325501053 5.37915725476598e-05 2.98241004750222e-05 0.000134891428610414 0.000223020691267939
5 0.435352235646566 0.0643469596557743 0.346601914162513 0.153226612657808 5.16194875581708e-05 3.44241093542372e-05 0.000129077717283212 0.000257156563143145
6 0.435608773842442 0.064071369241108 0.347104647115077 0.15270364995195 4.98039465531114e-05 3.98166085065997e-05 0.000124477387059964 0.000297461907302894
7 0.435861071272789 0.0637955478667064 0.347605384121876 0.152178913598575 4.81410392224605e-05 4.60916189772347e-05 0.0001203435366282 0.000344506945225334
8 0.43610881936013 0.0635194492842518 0.348103660943216 0.151652478673663 4.6570225558303e-05 5.33739933449844e-05 0.000116457648377923 0.000399189871457796
9 0.436351493973998 0.0632429679997645 0.348599044663963 0.151124194152998 4.50732317839597e-05 6.18172730474897e-05 0.000112754448785143 0.000462654255659941
10 0.436588436720392 0.0629659615282252 0.349091086056826 0.150593785277504 4.36441337355078e-05 7.1603181819756e-05 0.000109213230938484 0.000536269870558333
11 0.436818868016141 0.0626882568415711 0.349579286231649 0.150060894270264 4.22807947756131e-05 8.29438827004649e-05 0.000105826605868066 0.000621643357030016
12 0.43704187794851 0.0624096510080362 0.350063074605485 0.149525092082366 4.09824165592509e-05 9.60858005739633e-05 0.000102591540136414 0.000720644598333313
13 0.43725640903713 0.0621299087218645 0.350541791894322 0.14898587701264 3.97488589146757e-05 0.00011131454383287 9.95068257497052e-05 0.000835443105545996
14 0.437461234380326 0.0618487582478688 0.351014674014652 0.148442667305749 3.85804741510364e-05 0.000128960780331378 9.65724125881609e-05 0.00096855238433428
15 0.437654931954347 0.0615658863226456 0.351480834921299 0.147894790486569 3.74780948107835e-05 0.000149407065872689 9.37892879518148e-05 0.00112288186650432
16 0.437835855006557 0.0612809321836626 0.35193924741814 0.147341470393886 3.64430714309429e-05 0.000173095689156929 9.11595255593369e-05 0.00130179671160623
17 0.438002098231341 0.0609934807428747 0.352388721395854 0.146781812163676 3.54773311877792e-05 0.000200537628106561 8.86863966292253e-05 0.00150918611033099
18 0.438151459335322 0.060703054864537 0.352827879107504 0.146214785143175 3.45834497671342e-05 0.000232322726443402 8.63745136267896e-05 0.00174954085962481
19 0.438281395583688 0.0604091066898768 0.35325512715506 0.145639203624339 3.3764735019526e-05 0.000269131202819419 8.42299997658604e-05 0.00202804100943183
20 0.4383889749478 0.0601110079538206 0.353668624899694 0.145053705267966 3.30253227514897e-05 0.00031174659903477 8.22606838271892e-05 0.00235065432510618
21 0.43847082154747 0.0598080392547364 0.354066249058745 0.144456727112915 3.23702854804269e-05 0.000361070257547438 8.04763216222076e-05 0.00272424616148314
22 0.438523055211045 0.0594993782669189 0.354445554331501 0.14384647912019 3.18057550178374e-05 0.000418137388499718 7.88888457159542e-05 0.00315670108111057
23 0.438541225181067 0.0591840869298377 0.354803730020287 0.143220915291822 3.13390595756479e-05 0.000484134738364079 7.75126447064466e-05 0.00365705613433998
24 0.438520238296506 0.0588610977121154 0.35513755279958 0.142577702537549 3.09788757499298e-05 0.000560419800209477 7.6364872631034e-05 0.00423564510565834
25 0.438454282413607 0.0585291991370703 0.355443336053668 0.141914187649465 3.07353952007563e-05 0.000648541402335074 7.54657879121963e-05 0.00490425216074059
26 0.438336746420324 0.0581870208765565 0.35571687657541 0.14122736299964 3.06205050666011e-05 0.000750261369175124 7.48391195691403e-05 0.00567627213425738
27 0.438160138992056 0.0578330188774004 0.35595339992046 0.140513831913112 3.0647980063847e-05 0.000867576756527506 7.4512456076632e-05 0.00656687310430334
28 0.437916009267562 0.0574654611864588 0.356147506369243 0.139769775103545 3.08336827568105e-05 0.001002741912539 7.45176491017074e-05 0.00759315482879348
