"k" "c" "DF"
0.07 0.51 0.000131386688506861
0.075 0.51 0.000147343075185922
0.08 0.51 0.000165472923426131
0.085 0.51 0.000186095522013488
0.09 0.51 0.000209579732190239
0.095 0.51 0.000236351855258963
0.1 0.51 0.000266904694345503
0.105 0.51 0.000301807951154358
0.11 0.51 0.000341720094399943
0.115 0.51 0.000387401819938596
0.12 0.51 0.000439731186836801
0.125 0.51 0.000499720449482583
0.13 0.51 0.000568534500849902
0.135 0.51 0.000647510679519807
0.14 0.51 0.00073817945160752
0.145 0.51 0.000842285131784352
0.15 0.51 0.000961805324039615
0.155 0.51 0.00109896710942733
0.16 0.51 0.00125625715477456
0.165 0.51 0.0014364218468333
0.17 0.51 0.00164245228573371
0.175 0.51 0.00187754757394363
0.18 0.51 0.00214504848393505
0.185 0.51 0.00244833259587352
0.19 0.51 0.00279066187275628
0.195 0.51 0.00317497510271628
0.2 0.51 0.00360362157082473
0.205 0.51 0.00407803960725382
0.21 0.51 0.00459839482518359
0.215 0.51 0.00516320754842001
0.22 0.51 0.00576901525085099
0.225 0.51 0.006410129947145
0.23 0.51 0.00707855681392707
0.235 0.51 0.00776413291552574
0.24 0.51 0.00845491990449921
0.245 0.51 0.00913784314882464
0.25 0.51 0.00979951986172498
0.255 0.51 0.0104271740378263
0.26 0.51 0.0110095109445229
0.265 0.51 0.0115374280145601
0.27 0.51 0.0120044718916702
0.275 0.51 0.0124070028221009
0.28 0.51 0.0127440818680397
0.285 0.51 0.0130171390019753
0.29 0.51 0.0132295027187879
0.295 0.51 0.0133858737763513
0.3 0.51 0.0134918122520891
0.305 0.51 0.0135532858551464
0.31 0.51 0.0135763052491013
0.315 0.51 0.0135666535696324
0.32 0.51 0.0135297043363229
0.325 0.51 0.0134703145640495
0.33 0.51 0.0133927769917215
0.335 0.51 0.01330081552741
0.34 0.51 0.0131976099345293
0.345 0.51 0.0130858384469014
0.35 0.51 0.0129677297445231
0.355 0.51 0.0128451181827819
0.36 0.51 0.0127194981906387
0.365 0.51 0.0125920753123499
0.37 0.51 0.0124638125063539
0.375 0.51 0.0123354711065326
0.38 0.51 0.0122076463727443
0.385 0.51 0.0120807978795871
0.39 0.51 0.0119552751729378
0.395 0.51 0.0118313392082009
0.4 0.51 0.0117091801059998
0.405 0.51 0.0115889317443775
0.41 0.51 0.011470683668073
0.415 0.51 0.011354490746268
0.42 0.51 0.0112403809575044
0.425 0.51 0.011128361628666
0.43 0.51 0.0110184244064842
0.435 0.51 0.0109105491962666
0.44 0.51 0.0108047072638952
0.445 0.51 0.0107008636636264
0.45 0.51 0.0105989791255251
0.455 0.51 0.0104990115120732
0.46 0.51 0.0104009169331005
0.465 0.51 0.0103046505912015
0.47 0.51 0.0102101674157508
0.475 0.51 0.0101174225320726
0.48 0.51 0.0100263716028691
0.485 0.51 0.0099369710713251
0.49 0.51 0.0098491783290888
0.495 0.51 0.00976295182731609
0.5 0.51 0.00967825114496377
