"k" "c" "DF"
0.31 0.635 0.228775055767481
0.315 0.635 0.226399139470753
0.32 0.635 0.22408892797584
0.325 0.635 0.2218418673496
0.33 0.635 0.219655532932307
0.335 0.635 0.217527621348836
0.34 0.635 0.215455943100595
0.345 0.635 0.213438415689654
0.35 0.635 0.211473057231091
0.355 0.635 0.209557980513732
0.36 0.635 0.207691387473142
0.365 0.635 0.205871564044015
0.37 0.635 0.204096875362083
0.375 0.635 0.202365761288317
0.38 0.635 0.200676732230607
0.385 0.635 0.199028365240228
0.39 0.635 0.197419300362402
0.395 0.635 0.195848237221969
0.4 0.635 0.194313931826828
0.405 0.635 0.192815193573213
0.41 0.635 0.1913508824382
0.415 0.635 0.189919906346035
0.42 0.635 0.188521218695932
0.425 0.635 0.187153816040006
0.43 0.635 0.185816735900877
0.435 0.635 0.184509054719329
0.44 0.635 0.183229885923109
0.445 0.635 0.1819783781087
0.45 0.635 0.180753713328454
0.455 0.635 0.179555105476111
0.46 0.635 0.178381798764196
0.465 0.635 0.177233066287316
0.47 0.635 0.176108208665775
0.475 0.635 0.175006552764371
0.48 0.635 0.173927450481576
0.485 0.635 0.172870277604674
0.49 0.635 0.171834432726722
0.495 0.635 0.170819336221497
0.5 0.635 0.169824429272874
0.005 0.64 0.000220812108888775
0.01 0.64 0.00103998674999624
0.015 0.64 0.00499631284276327
0.02 0.64 0.023268169002918
0.025 0.64 0.0893290135346416
0.03 0.64 0.218258337136832
0.035 0.64 0.343829953059764
0.04 0.64 0.429862346132387
0.045 0.64 0.483702477322627
0.05 0.64 0.516414100452175
0.055 0.64 0.535157269943172
0.06 0.64 0.544235486020929
0.065 0.64 0.546352935260362
0.07 0.64 0.543350551261131
0.075 0.64 0.536597421455697
0.08 0.64 0.527187452821521
0.085 0.64 0.516025608250006
0.09 0.64 0.503854727077061
0.095 0.64 0.491258364950957
0.1 0.64 0.478663467371706
0.105 0.64 0.466354288662241
0.11 0.64 0.454497851821413
0.115 0.64 0.443174881446503
0.12 0.64 0.432409276563245
0.125 0.64 0.422191699869579
0.13 0.64 0.412496000986319
0.135 0.64 0.403289338243529
0.14 0.64 0.394537718034959
0.145 0.64 0.386208637631002
0.15 0.64 0.378272103463298
0.155 0.64 0.370700839770637
0.16 0.64 0.363470147636084
0.165 0.64 0.356557646103314
0.17 0.64 0.34994299858909
0.175 0.64 0.343607663336433
0.18 0.64 0.337534677801711
0.185 0.64 0.331708475681163
0.19 0.64 0.326114731933185
0.195 0.64 0.320740230857485
0.2 0.64 0.315572752961955
0.205 0.64 0.310600977176996
0.21 0.64 0.30581439570655
0.215 0.64 0.30120323938464
0.22 0.64 0.29675841185072
0.225 0.64 0.29247143119577
0.23 0.64 0.288334377989988
0.235 0.64 0.284339848802855
0.24 0.64 0.28048091448232
0.245 0.64 0.276751082582771
0.25 0.64 0.273144263429487
0.255 0.64 0.269654739386127
0.26 0.64 0.266277136955825
0.265 0.64 0.263006401399037
0.27 0.64 0.259837773594619
0.275 0.64 0.256766768906832
0.28 0.64 0.253789157851269
0.285 0.64 0.250900948378369
0.29 0.64 0.248098369614988
0.295 0.64 0.245377856923148
0.3 0.64 0.242736038151134
0.305 0.64 0.240169720965995
0.31 0.64 0.23767588116854
0.315 0.64 0.235251651902438
0.32 0.64 0.232894313678237
0.325 0.64 0.230601285141191
0.33 0.64 0.22837011451893
0.335 0.64 0.226198471691293
0.34 0.64 0.224084140830258
0.345 0.64 0.222025013562846
0.35 0.64 0.220019082614334
0.355 0.64 0.218064435893039
0.36 0.64 0.216159250981495
0.365 0.64 0.214301790002021
0.37 0.64 0.212490394827506
0.375 0.64 0.21072348261083
0.38 0.64 0.208999541608637
0.385 0.64 0.207317127277269
0.39 0.64 0.205674858620543
0.395 0.64 0.204071414770786
0.4 0.64 0.202505531786061
0.405 0.64 0.200975999647937
0.41 0.64 0.199481659445429
0.415 0.64 0.198021400731891
0.42 0.64 0.196594159042691
0.425 0.64 0.195198913562486
0.43 0.64 0.193834684931755
0.435 0.64 0.192500533183077
0.44 0.64 0.191195555798362
0.445 0.64 0.189918885878912
0.45 0.64 0.188669690420807
0.455 0.64 0.18744716868867
0.46 0.64 0.186250550681364
0.465 0.64 0.185079095683691
0.47 0.64 0.183932090898539
0.475 0.64 0.182808850154367
0.48 0.64 0.18170871268327
0.485 0.64 0.180631041965191
0.49 0.64 0.179575224634185
0.495 0.64 0.178540669442904
0.5 0.64 0.177526806281751
0.005 0.645 0.00024041217447344
0.01 0.645 0.00120885276204378
0.015 0.645 0.0061853139854176
0.02 0.645 0.0301421931703207
0.025 0.645 0.113484439934745
0.03 0.645 0.254742685916943
0.035 0.645 0.376288020736772
0.04 0.645 0.455571040625761
0.045 0.645 0.504468225746222
0.05 0.645 0.533926988717242
0.055 0.645 0.55054582554418
0.06 0.645 0.558230106490086
0.065 0.645 0.559434719321826
0.07 0.645 0.555842006386845
0.075 0.645 0.548715285746894
0.08 0.645 0.53907475209959
0.085 0.645 0.527772906619826
0.09 0.645 0.515515639085718
0.095 0.645 0.502861496524349
0.1 0.645 0.490221511569573
0.105 0.645 0.477870568322225
0.11 0.645 0.465970671867107
0.115 0.645 0.454600201539266
0.12 0.645 0.443782238235646
0.125 0.645 0.433507444744007
0.13 0.645 0.423750078797429
0.135 0.645 0.41447788615333
0.14 0.645 0.405657514818414
0.145 0.645 0.397257091109213
0.15 0.645 0.38924720458787
0.155 0.645 0.38160110263078
0.16 0.645 0.374294546231852
0.165 0.645 0.367305553571295
0.17 0.645 0.360614131482746
0.175 0.645 0.354202031831864
0.18 0.645 0.348052541814501
0.185 0.645 0.342150306484252
0.19 0.645 0.336481178727529
0.195 0.645 0.331032091730872
0.2 0.645 0.325790949705468
0.205 0.645 0.320746533479397
0.21 0.645 0.315888418299997
0.215 0.645 0.311206901765284
0.22 0.645 0.306692940243266
0.225 0.645 0.302338092471816
0.23 0.645 0.298134469286119
0.235 0.645 0.294074688616504
0.24 0.645 0.290151835051571
0.245 0.645 0.286359423381137
0.25 0.645 0.28269136562842
0.255 0.645 0.27914194115706
0.26 0.645 0.2757057695002
0.265 0.645 0.272377785609247
0.27 0.645 0.269153217261479
0.275 0.645 0.266027564400164
0.28 0.645 0.26299658020978
0.285 0.645 0.260056253753338
0.29 0.645 0.257202794019494
0.295 0.645 0.254432615244891
0.3 0.645 0.251742323392365
0.305 0.645 0.249128703678817
0.31 0.645 0.246588709058002
0.315 0.645 0.244119449573412
0.32 0.645 0.24171818250523
0.325 0.645 0.239382303242945
0.33 0.645 0.237109336822029
0.335 0.645 0.234896930069092
0.34 0.645 0.232742844305201
0.345 0.645 0.230644948561853
0.35 0.645 0.228601213268257
0.355 0.645 0.226609704372417
0.36 0.645 0.224668577861849
0.365 0.645 0.222776074652845
0.37 0.645 0.220930515819896
0.375 0.645 0.219130298139392
0.38 0.645 0.217373889923901
0.385 0.645 0.215659827125369
0.39 0.645 0.213986709687386
0.395 0.645 0.212353198128317
0.4 0.645 0.210758010338599
0.405 0.645 0.209199918576843
0.41 0.645 0.207677746650645
0.415 0.645 0.206190367269114
0.42 0.645 0.204736699555152
0.425 0.645 0.203315706706466
0.43 0.645 0.201926393795148
0.435 0.645 0.200567805696414
0.44 0.645 0.199239025137843
0.445 0.645 0.197939170861095
0.45 0.645 0.196667395888667
0.455 0.645 0.195422885888843
0.46 0.645 0.194204857632445
0.465 0.645 0.193012557535499
0.47 0.645 0.191845260282321
0.475 0.645 0.190702267523967
0.48 0.645 0.18958290664728
0.485 0.645 0.188486529610188
0.49 0.645 0.187412511839133
0.495 0.645 0.186360251184849
0.5 0.645 0.185329166932942
0.005 0.65 0.000262045057593701
0.01 0.65 0.00140764325639849
0.015 0.65 0.00766931739831465
0.02 0.65 0.0388806766760314
0.025 0.65 0.141112670742502
0.03 0.65 0.290409808126302
0.035 0.65 0.406047852233753
0.04 0.65 0.478901918663145
0.045 0.65 0.523405947857549
0.05 0.65 0.550031523293419
0.055 0.65 0.564819709083308
0.06 0.65 0.571317248019654
0.065 0.65 0.571759298540888
0.07 0.65 0.56768841121004
0.075 0.65 0.560273816890013
0.08 0.65 0.550469374314634
0.085 0.65 0.539079974483944
0.09 0.65 0.526777965738958
0.095 0.65 0.514099470625933
0.1 0.65 0.501441677260537
0.105 0.65 0.4890717697003
0.11 0.65 0.477148039633003
0.115 0.65 0.465747481841786
0.12 0.65 0.454893019457863
0.125 0.65 0.444575739228134
0.13 0.65 0.434770563306188
0.135 0.65 0.425445973698849
0.14 0.65 0.416569346035014
0.145 0.65 0.408109488133149
0.15 0.65 0.400037608766468
0.155 0.65 0.392327507254781
0.16 0.65 0.384955430356575
0.165 0.65 0.377899820073417
0.17 0.65 0.371141050742155
0.175 0.65 0.364661191400972
0.18 0.65 0.358443801889727
0.185 0.65 0.352473760742621
0.19 0.65 0.346737120004795
0.195 0.65 0.341220982013238
0.2 0.65 0.335913393938403
0.205 0.65 0.330803256741056
0.21 0.65 0.325880245933003
0.215 0.65 0.321134742104995
0.22 0.65 0.3165577696217
0.225 0.65 0.3121409422137
0.23 0.65 0.307876414447221
0.235 0.65 0.303756838244471
0.24 0.65 0.29977532377638
0.245 0.65 0.295925404166023
0.25 0.65 0.292201003533225
0.255 0.65 0.288596407984448
0.26 0.65 0.285106239211487
0.265 0.65 0.281725430410897
0.27 0.65 0.278449204275816
0.275 0.65 0.275273052844804
0.28 0.65 0.272192719019882
0.285 0.65 0.269204179589091
0.29 0.65 0.266303629608597
0.295 0.65 0.263487468016118
0.3 0.65 0.260752284361895
0.305 0.65 0.258094846555845
0.31 0.65 0.255512089540377
0.315 0.65 0.253001104807769
0.32 0.65 0.250559130689278
0.325 0.65 0.248183543350407
0.33 0.65 0.245871848433206
0.335 0.65 0.243621673292145
0.34 0.65 0.241430759775153
0.345 0.65 0.239296957505934
0.35 0.65 0.237218217627677
0.355 0.65 0.235192586971896
0.36 0.65 0.233218202619341
0.365 0.65 0.23129328682285
0.37 0.65 0.229416142264619
0.375 0.65 0.227585147622726
0.38 0.65 0.225798753423873
0.385 0.65 0.22405547816126
0.39 0.65 0.222353904658219
0.395 0.65 0.220692676659873
0.4 0.65 0.219070495636466
0.405 0.65 0.217486117783378
0.41 0.65 0.215938351204002
0.415 0.65 0.214426053262748
0.42 0.65 0.212948128096456
0.425 0.65 0.211503524273374
0.43 0.65 0.210091232589719
0.435 0.65 0.208710283994576
0.44 0.65 0.207359747634597
0.445 0.65 0.206038729010593
0.45 0.65 0.204746368238692
0.455 0.65 0.203481838409307
0.46 0.65 0.202244344037578
0.465 0.65 0.201033119599503
0.47 0.65 0.199847428148305
0.475 0.65 0.198686560006008
0.48 0.65 0.197549831525553
0.485 0.65 0.196436583919091
0.49 0.65 0.195346182148401
0.495 0.65 0.194278013873664
0.5 0.65 0.193231488457081
0.005 0.655 0.000285950403177786
0.01 0.655 0.00164206508839618
0.015 0.655 0.00952214695065914
0.02 0.655 0.0498466388759295
0.025 0.655 0.171521322310704
0.03 0.655 0.324473532101783
0.035 0.655 0.433218974942831
0.04 0.655 0.500122295717255
0.045 0.655 0.540740904501804
0.05 0.655 0.564896264590187
0.055 0.655 0.578103507078291
0.06 0.655 0.58358971093561
0.065 0.655 0.583396407207932
0.07 0.655 0.578942475467128
0.075 0.655 0.571312999644331
0.08 0.655 0.56140176192295
0.085 0.655 0.549970135768922
0.09 0.655 0.53765976918099
0.095 0.655 0.524986487060903
0.1 0.655 0.512335325546577
0.105 0.655 0.499967139933086
0.11 0.655 0.488037588733739
0.115 0.655 0.476623084692604
0.12 0.655 0.465746947705982
0.125 0.655 0.45540104410566
0.13 0.655 0.445561173500206
0.135 0.655 0.436196675372029
0.14 0.655 0.427275720867587
0.145 0.655 0.418767839269828
0.15 0.655 0.410644885475883
0.155 0.655 0.40288123239634
0.16 0.655 0.395453632524281
0.165 0.655 0.38834097135576
0.17 0.655 0.381524010455874
0.175 0.655 0.374985155747335
0.18 0.655 0.368708259224419
0.185 0.655 0.362678452018253
0.19 0.655 0.356882003898571
0.195 0.655 0.35130620425494
0.2 0.655 0.345939260380535
0.205 0.655 0.34077020974939
0.21 0.655 0.335788843714834
0.215 0.655 0.33098564063078
0.22 0.655 0.326351706832077
0.225 0.655 0.32187872423761
0.23 0.655 0.31755890358768
0.235 0.655 0.313384942516578
0.24 0.655 0.309349987807356
0.245 0.655 0.305447601289659
0.25 0.655 0.301671728931251
0.255 0.655 0.298016672745171
0.26 0.655 0.294477065191863
0.265 0.655 0.291047845802119
0.27 0.655 0.287724239784781
0.275 0.655 0.284501738414614
0.28 0.655 0.28137608102198
0.285 0.655 0.278343238427985
0.29 0.655 0.275399397687369
0.295 0.655 0.272540948017335
0.3 0.655 0.269764467804101
0.305 0.655 0.267066712590732
0.31 0.655 0.264444603960027
0.315 0.655 0.261895219235105
0.32 0.655 0.25941578192816
0.325 0.655 0.257003652874713
0.33 0.655 0.254656321996743
0.335 0.655 0.252371400643468
0.34 0.655 0.250146614463317
0.345 0.655 0.24797979676491
0.35 0.655 0.245868882328664
0.355 0.655 0.243811901634066
0.36 0.655 0.241806975470729
0.365 0.655 0.239852309904107
0.37 0.655 0.237946191569237
0.375 0.655 0.236086983268137
0.38 0.655 0.234273119848509
0.385 0.655 0.232503104343272
0.39 0.655 0.230775504352096
0.395 0.655 0.229088948647651
0.4 0.655 0.22744212399066
0.405 0.655 0.225833772139121
0.41 0.655 0.224262687038188
0.415 0.655 0.222727712178286
0.42 0.655 0.221227738109965
0.425 0.655 0.21976170010489
0.43 0.655 0.218328575953159
0.435 0.655 0.216927383887902
0.44 0.655 0.215557180628741
0.445 0.655 0.214217059536364
0.45 0.655 0.212906148870994
0.455 0.655 0.211623610148087
0.46 0.655 0.210368636585038
0.465 0.655 0.209140451633164
0.47 0.655 0.207938307589598
0.475 0.655 0.206761484284126
0.48 0.655 0.20560928783634
0.485 0.655 0.204481049478802
0.49 0.655 0.203376124442212
0.495 0.655 0.202293890898829
0.5 0.655 0.201233748960678
0.005 0.66 0.000312399504056753
0.01 0.66 0.00191898052602247
0.015 0.66 0.0118349823682309
0.02 0.66 0.0633832738292026
0.025 0.66 0.203773058232388
0.03 0.66 0.356472479637553
0.035 0.66 0.457989555615111
0.04 0.66 0.519477341283403
0.045 0.66 0.556665989661023
0.05 0.66 0.578663615425405
0.055 0.66 0.590502582817489
0.06 0.66 0.595126456930429
0.065 0.66 0.594405877649736
0.07 0.66 0.589649869955079
0.075 0.66 0.581867870152164
0.08 0.66 0.571898934717066
0.085 0.66 0.560464397671414
0.09 0.66 0.548177585633198
0.095 0.66 0.535535775223674
0.1 0.66 0.522913229453004
0.105 0.66 0.510565595539863
0.11 0.66 0.498646791785786
0.115 0.66 0.48723332096447
0.12 0.66 0.476349368598759
0.125 0.66 0.46598788208503
0.13 0.66 0.456125717693691
0.135 0.66 0.446733172082183
0.14 0.66 0.437779265458383
0.145 0.66 0.429234278317485
0.15 0.66 0.421070730799865
0.155 0.66 0.413263584741664
0.16 0.66 0.405790113001738
0.165 0.66 0.398629659605191
0.17 0.66 0.391763388980954
0.175 0.66 0.385174060018394
0.18 0.66 0.378845833146736
0.185 0.66 0.372764108335251
0.19 0.66 0.366915389085727
0.195 0.66 0.361287167466896
0.2 0.66 0.355867826034681
0.205 0.66 0.350646553357763
0.21 0.66 0.345613270607813
0.215 0.66 0.340758567248385
0.22 0.66 0.336073644290152
0.225 0.66 0.331550263906053
0.23 0.66 0.32718070444579
0.235 0.66 0.322957720076277
0.24 0.66 0.318874504418437
0.245 0.66 0.314924657662445
0.25 0.66 0.311102156731025
0.255 0.66 0.307401328129811
0.26 0.66 0.30381682317924
0.265 0.66 0.300343595367296
0.27 0.66 0.29697687959895
0.275 0.66 0.29371217314824
0.28 0.66 0.290545218143923
0.285 0.66 0.287471985440538
0.29 0.66 0.284488659744373
0.295 0.66 0.281591625878866
0.3 0.66 0.278777456086805
0.305 0.66 0.276042898277794
0.31 0.66 0.273384865139054
0.315 0.66 0.270800424036018
0.32 0.66 0.268286787636505
0.325 0.66 0.265841305198729
0.33 0.66 0.263461454469124
0.335 0.66 0.261144834140996
0.34 0.66 0.258889156829559
0.345 0.66 0.256692242522911
0.35 0.66 0.254552012472136
0.355 0.66 0.252466483486907
0.36 0.66 0.250433762605938
0.365 0.66 0.248452042114194
0.37 0.66 0.246519594881174
0.375 0.66 0.244634769996714
0.38 0.66 0.242795988682693
0.385 0.66 0.2410017404608
0.39 0.66 0.239250579558101
0.395 0.66 0.237541121533634
0.4 0.66 0.235872040110544
0.405 0.66 0.234242064199527
0.41 0.66 0.232649975100425
0.415 0.66 0.23109460386983
0.42 0.66 0.229574828843497
0.425 0.66 0.228089573303193
0.43 0.66 0.226637803278385
0.435 0.66 0.225218525473906
0.44 0.66 0.223830785315359
0.445 0.66 0.222473665104632
0.45 0.66 0.22114628227847
0.455 0.66 0.219847787763517
0.46 0.66 0.218577364421742
0.465 0.66 0.217334225580586
0.47 0.66 0.216117613642548
0.475 0.66 0.214926798769314
0.48 0.66 0.21376107763588
0.485 0.66 0.212619772250381
0.49 0.66 0.211502228835704
0.495 0.66 0.210407816769166
0.5 0.66 0.209335927576813
0.005 0.665 0.000341699930207114
0.01 0.665 0.0022466509540509
0.015 0.665 0.0147194170482593
0.02 0.665 0.0797599890264233
0.025 0.665 0.236851659246948
0.03 0.665 0.386202048637302
0.035 0.665 0.48057777146822
0.04 0.665 0.537185167935663
0.045 0.665 0.571345891517718
0.05 0.665 0.591454416119639
0.055 0.665 0.602106688011773
0.06 0.665 0.605995248845313
0.065 0.665 0.604839528574021
0.07 0.665 0.599850562558217
0.075 0.665 0.591969449437854
0.08 0.665 0.581985130117574
0.085 0.665 0.570581878298918
0.09 0.665 0.558346700806371
0.095 0.665 0.545759763065956
0.1 0.665 0.533185670934087
0.105 0.665 0.520875772810468
0.11 0.665 0.508982982091755
0.115 0.665 0.497584455110905
0.12 0.665 0.486705642016709
0.125 0.665 0.476340829655205
0.13 0.665 0.466468083782026
0.135 0.665 0.45705874123039
0.14 0.665 0.448082713496197
0.145 0.665 0.439511053694348
0.15 0.665 0.431316959697612
0.155 0.665 0.423475992034308
0.16 0.665 0.415965953723358
0.165 0.665 0.408766658074724
0.17 0.665 0.401859684199553
0.175 0.665 0.395228156620129
0.18 0.665 0.388856557423283
0.185 0.665 0.38273056892212
0.19 0.665 0.376836941913099
0.195 0.665 0.371163384587319
0.2 0.665 0.365698467954591
0.205 0.665 0.360431544520319
0.21 0.665 0.355352677698948
0.215 0.665 0.350452580024132
0.22 0.665 0.345722558649879
0.225 0.665 0.341154466962202
0.23 0.665 0.336740661365487
0.235 0.665 0.332473962493382
0.24 0.665 0.328347620236073
0.245 0.665 0.324355282085644
0.25 0.665 0.320490964386963
0.255 0.665 0.316749026149137
0.26 0.665 0.313124145126426
0.265 0.665 0.309611295920786
0.27 0.665 0.306205729893358
0.275 0.665 0.302902956701036
0.28 0.665 0.299698727298069
0.285 0.665 0.296589018262526
0.29 0.665 0.293570017324212
0.295 0.665 0.290638109984784
0.3 0.665 0.28778986713297
0.305 0.665 0.285022033568219
0.31 0.665 0.282331517355147
0.315 0.665 0.279715379939029
0.32 0.665 0.277170826959466
0.325 0.665 0.274695199705439
0.33 0.665 0.272285967160318
0.335 0.665 0.269940718590148
0.34 0.665 0.267657156632795
0.345 0.665 0.265433090849295
0.35 0.665 0.263266431702161
0.355 0.665 0.261155184928458
0.36 0.665 0.259097446278177
0.365 0.665 0.257091396590955
0.37 0.665 0.255135297186391
0.375 0.665 0.253227485545282
0.38 0.665 0.251366371260896
0.385 0.665 0.249550432241138
0.39 0.665 0.247778211143915
0.395 0.665 0.246048312029469
0.4 0.665 0.244359397214657
0.405 0.665 0.242710184315355
0.41 0.665 0.241099443464201
0.415 0.665 0.23952599469185
0.42 0.665 0.237988705460853
0.425 0.665 0.236486488342014
0.43 0.665 0.235018298823884
0.435 0.665 0.233583133246716
0.44 0.665 0.232180026852822
0.445 0.665 0.230808051945885
0.45 0.665 0.229466316152285
0.455 0.665 0.228153960777998
0.46 0.665 0.226870159255092
0.465 0.665 0.22561411567225
0.47 0.665 0.224385063384132
0.475 0.665 0.223182263694767
0.48 0.665 0.222005004610467
0.485 0.665 0.220852599658082
0.49 0.665 0.219724386764687
0.495 0.665 0.218619727195054
0.5 0.665 0.217538004543508
0.005 0.67 0.000374200901053603
0.01 0.67 0.00263503243913683
0.015 0.67 0.0183103398670257
0.02 0.67 0.0991093044165424
0.025 0.67 0.269821427937603
0.03 0.67 0.413634717181778
0.035 0.67 0.501204125988513
0.04 0.67 0.55343666948544
0.045 0.67 0.584921265071374
0.05 0.67 0.603371747484053
0.055 0.67 0.612992820912421
0.06 0.67 0.616254705974649
0.065 0.67 0.614742623573754
0.07 0.67 0.609579844080329
0.075 0.67 0.60164545576777
0.08 0.67 0.59168228809825
0.085 0.67 0.580340127316487
0.09 0.67 0.568181353503723
0.095 0.67 0.555670199320387
0.1 0.67 0.543162508471474
0.105 0.67 0.530906060357724
0.11 0.67 0.519053364907837
0.115 0.67 0.507682704342655
0.12 0.67 0.496821134997137
0.125 0.67 0.486464507163136
0.13 0.67 0.476592228444342
0.135 0.67 0.467176746052573
0.14 0.67 0.458188896181513
0.145 0.67 0.449600519216646
0.15 0.67 0.441385497636317
0.155 0.67 0.433519995533063
0.16 0.67 0.425982351515595
0.165 0.67 0.418752855006397
0.17 0.67 0.411813508072552
0.175 0.67 0.405147810337927
0.18 0.67 0.398740575889242
0.185 0.67 0.392577780298838
0.19 0.67 0.386646432894434
0.195 0.67 0.380934469346344
0.2 0.67 0.37543066043937
0.205 0.67 0.370124533782236
0.21 0.67 0.36500630595554
0.215 0.67 0.360066823178514
0.22 0.67 0.355297509010462
0.225 0.67 0.350690317928382
0.23 0.67 0.346237693866507
0.235 0.67 0.341932532988202
0.24 0.67 0.337768150101427
0.245 0.67 0.333738248237413
0.25 0.67 0.329836890996445
0.255 0.67 0.326058477330778
0.26 0.67 0.322397718487117
0.265 0.67 0.318849616873019
0.27 0.67 0.315409446645461
0.275 0.67 0.312072735847475
0.28 0.67 0.308835249941501
0.285 0.67 0.305692976607047
0.29 0.67 0.302642111686106
0.295 0.67 0.299679046173209
0.3 0.67 0.296800354158412
0.305 0.67 0.294002781641346
0.31 0.67 0.291283236142962
0.315 0.67 0.288638777048948
0.32 0.67 0.286066606625307
0.325 0.67 0.283564061652246
0.33 0.67 0.281128605627543
0.335 0.67 0.278757821495032
0.34 0.67 0.276449404857839
0.345 0.67 0.274201157639504
0.35 0.67 0.272010982159377
0.355 0.67 0.269876875591479
0.36 0.67 0.267796924778671
0.365 0.67 0.265769301376236
0.37 0.67 0.263792257301177
0.375 0.67 0.261864120465375
0.38 0.67 0.259983290772557
0.385 0.67 0.258148236360581
0.39 0.67 0.256357490071991
0.395 0.67 0.254609646137143
0.4 0.67 0.252903357055373
0.405 0.67 0.251237330660813
0.41 0.67 0.249610327360458
0.415 0.67 0.248021157533016
0.42 0.67 0.246468679077911
0.425 0.67 0.244951795104637
0.43 0.67 0.243469451753295
0.435 0.67 0.242020636137897
0.44 0.67 0.240604374404558
0.445 0.67 0.239219729897295
0.45 0.67 0.237865801424652
0.455 0.67 0.236541721620849
0.46 0.67 0.235246655395599
0.465 0.67 0.233979798467117
0.47 0.67 0.232740375973264
0.475 0.67 0.231527641156069
0.48 0.67 0.230340874115215
0.485 0.67 0.229179380626383
0.49 0.67 0.228042491020588
0.495 0.67 0.226929559120935
0.5 0.67 0.225839961233425
0.005 0.675 0.000410299530645154
0.01 0.675 0.00309613354508701
0.015 0.675 0.0227680813853328
0.02 0.675 0.12137049814361
0.025 0.675 0.301931456523228
0.03 0.675 0.438851844136203
0.035 0.675 0.520077151553703
0.04 0.675 0.568397526437152
0.045 0.675 0.597512515456858
0.05 0.675 0.614504031962661
0.055 0.675 0.623227490769596
0.06 0.675 0.625955915050623
0.065 0.675 0.624155007980037
0.07 0.675 0.618869124152296
0.075 0.675 0.610920854382606
0.08 0.675 0.601010422795198
0.085 0.675 0.589755369320841
0.09 0.675 0.577694887992011
0.095 0.675 0.565278242883837
0.1 0.675 0.552853224411459
0.105 0.675 0.540664619686642
0.11 0.675 0.528865021943952
0.115 0.675 0.51753423416647
0.12 0.675 0.506701212763194
0.125 0.675 0.496363567955074
0.13 0.675 0.486502165845922
0.135 0.675 0.477090624627863
0.14 0.675 0.468100731887733
0.145 0.675 0.459505124546317
0.15 0.675 0.451278371850708
0.155 0.675 0.443397242057124
0.16 0.675 0.435840610879256
0.165 0.675 0.428589247094526
0.17 0.675 0.421625580726699
0.175 0.675 0.414933492992738
0.18 0.675 0.408498137622068
0.185 0.675 0.402305791920359
0.19 0.675 0.3963437327798
0.195 0.675 0.390600132721065
0.2 0.675 0.385063971837345
0.205 0.675 0.379724962398838
0.21 0.675 0.374573483628986
0.215 0.675 0.369600524746942
0.22 0.675 0.364797634808886
0.225 0.675 0.360156878207593
0.23 0.675 0.355670794934305
0.235 0.675 0.351332364891226
0.24 0.675 0.347134975683046
0.245 0.675 0.343072393423306
0.25 0.675 0.339138736174505
0.255 0.675 0.335328449705794
0.26 0.675 0.331636285303279
0.265 0.675 0.328057279408725
0.27 0.675 0.324586734895229
0.275 0.675 0.321220203815031
0.28 0.675 0.317953471476442
0.285 0.675 0.314782541724922
0.29 0.675 0.311703623318398
0.295 0.675 0.308713117299624
0.3 0.675 0.305807605279159
0.305 0.675 0.302983838551778
0.31 0.675 0.300238727977128
0.315 0.675 0.2975693345623
0.32 0.675 0.29497286069011
0.325 0.675 0.292446641942148
0.33 0.675 0.289988139470377
0.335 0.675 0.287594932875209
0.34 0.675 0.285264713551748
0.345 0.675 0.282995278469155
0.35 0.675 0.280784524351127
0.355 0.675 0.278630442228135
0.36 0.675 0.276531112334518
0.365 0.675 0.274484699325697
0.37 0.675 0.272489447792794
0.375 0.675 0.270543678053722
0.38 0.675 0.268645782201486
0.385 0.675 0.266794220391907
0.39 0.675 0.264987517354367
0.395 0.675 0.263224259110436
0.4 0.675 0.261503089886357
0.405 0.675 0.259822709206441
0.41 0.675 0.258181869155382
0.415 0.675 0.256579371798374
0.42 0.675 0.25501406674874
0.425 0.675 0.253484848873509
0.43 0.675 0.251990656128098
0.435 0.675 0.250530467511846
0.44 0.675 0.249103301136759
0.445 0.675 0.247708212402369
0.45 0.675 0.246344292270068
0.455 0.675 0.245010665630781
0.46 0.675 0.243706489760241
0.465 0.675 0.242430952856523
0.47 0.675 0.24118327265485
0.475 0.675 0.239962695115059
0.48 0.675 0.238768493177349
0.485 0.675 0.237599965582306
0.49 0.675 0.236456435751408
0.495 0.675 0.235337250724481
0.5 0.675 0.23424178015081
0.005 0.68 0.000450448100008218
0.01 0.68 0.00364444734615051
0.015 0.68 0.0282789508798581
0.02 0.68 0.146260791333111
0.025 0.68 0.332652603719972
0.03 0.68 0.461993800047926
0.035 0.68 0.537387050551994
0.04 0.68 0.582211019849951
0.045 0.68 0.609223066894452
0.05 0.68 0.624927546200554
0.055 0.68 0.632868518535204
0.06 0.68 0.63514370248975
0.065 0.68 0.633112003339016
0.07 0.68 0.62774655523775
0.075 0.68 0.61981828652538
0.08 0.68 0.609987910704515
0.085 0.68 0.598842690917017
0.09 0.68 0.586899869540809
0.095 0.68 0.57459452900012
0.1 0.68 0.56226695831836
0.105 0.68 0.550159397754989
0.11 0.68 0.538424911550599
0.115 0.68 0.527145151776402
0.12 0.68 0.516351228793222
0.125 0.68 0.506042687151164
0.13 0.68 0.496201956225572
0.135 0.68 0.486803878842189
0.14 0.68 0.477821215761898
0.145 0.68 0.469227405530116
0.15 0.68 0.460997702440889
0.155 0.68 0.453109475823625
0.16 0.68 0.445542136529497
0.165 0.68 0.438276932683278
