"G" "DA2D2" "DA2Y" "DD2Y"
1 7.2353226223427e-05 0.0449448937746433 0.000145617943033812
2 0.000103196749472978 0.0448347647704951 0.000127186724459589
3 0.000128304330034962 0.0447252842144124 0.000128178228714798
4 0.0001563168970095 0.044614755789955 0.000137058639290367
5 0.000188687780499031 0.0445044037678416 0.000149993914840178
6 0.000226212581485758 0.0443949758593817 0.000166041589973209
7 0.000269632507043479 0.0442869835633104 0.000185169617267636
8 0.000319827208966919 0.0441808186705239 0.000207684340550159
9 0.000377851136966421 0.0440768547141531 0.00023405533283911
10 0.00044494922960438 0.0439754939957782 0.000264866582303035
11 0.000522576381070273 0.0438771920853904 0.000300809149130126
12 0.000612424232254549 0.0437824733785471 0.000342688888742234
13 0.000716454899612844 0.043691944298786 0.00039144085404715
14 0.000836941196265129 0.0436063067728842 0.00044814774497418
15 0.000976513347502302 0.0435263730711003 0.000514061675305848
16 0.00113821253651889 0.043453082520904 0.000590629178994903
17 0.00132555179204418 0.043387520393884 0.000679519603578606
18 0.00154258478767496 0.0433309391828868 0.000782657102354411
19 0.00179398308928893 0.04328478243518 0.000902256424310726
20 0.00208512226532863 0.043250711248926 0.00104086263414476
21 0.00242217705079655 0.0432306334550759 0.00120139477329122
22 0.00281222540209173 0.0432267353804512 0.00138719328517392
23 0.00326336075793861 0.0432415159056141 0.00160207075576391
24 0.00378481108325635 0.0432778222764815 0.0018503651408729
25 0.00438706226074229 0.0433388867825781 0.00213699413733045
26 0.0050819820456335 0.043428362956807 0.00246750867670044
27 0.00588293904751583 0.0435503593611887 0.00284814264818153
28 0.00680490899164085 0.0437094682831359 0.00328585486764383
29 0.00786455780596885 0.0439107857691683 0.00378835799125012
30 0.00908028788965326 0.0441599183761446 0.004364127538616
31 0.0104722303331841 0.0444629708612036 0.00502238249757115
32 0.0120621620919611 0.0448265078414535 0.00577302724964274
33 0.0138733235520715 0.0452574813756401 0.00662654299160065
34 0.0159301091912034 0.0457631156755725 0.00759381575953858
35 0.0182576030305535 0.0463507400624505 0.00868588805015372
36 0.0208809324889952 0.0470275622548496 0.00991362247791521
37 0.0238244205157902 0.0478003765926734 0.0112872696042237
38 0.0271105279781952 0.0486752063478312 0.0128159387230767
39 0.0307585974229612 0.0496568862074399 0.0145069805047148
40 0.0347834359279466 0.0507486003894035 0.0163653040536299
41 0.0391938077684351 0.0519514031751432 0.0183926674215416
42 0.043990943881209 0.0532637606752397 0.0205869981297483
43 0.0491672089397683 0.0546811632709361 0.0229418157525175
44 0.0547050902875478 0.0561958645532286 0.0254458379886773
45 0.0605766769517322 0.0577968016156402 0.0280828504311857
46 0.0667437736135227 0.0594697407572472 0.0308319048271679
47 0.0731587400987517 0.0611976712136628 0.0336678798067145
48 0.0797660650775471 0.0629614392673108 0.0365623944036674
