"k" "w" "z"
0.5025 0.00125 7.47956615809855e-05
0.5025 0.0025 2.82568091573777e-05
0.5025 0.00375 1.15216078527115e-05
0.5025 0.005 5.2034422715668e-06
0.5025 0.00625 2.65949043846836e-06
0.5025 0.0075 1.54826255155594e-06
0.5025 0.00875 1.01402554605678e-06
0.5025 0.01 7.29458856486557e-07
0.5025 0.01125 5.62162524118546e-07
0.5025 0.0125 4.54938823473099e-07
0.5025 0.01375 3.81200625351829e-07
0.5025 0.015 3.27609618384335e-07
0.5025 0.01625 2.86958053820881e-07
0.5025 0.0175 2.55076473497476e-07
0.5025 0.01875 2.29404828045328e-07
0.5025 0.02 2.08289568905023e-07
0.5025 0.02125 1.90616340158182e-07
0.5025 0.0225 1.75607011118168e-07
0.5025 0.02375 1.62701761890277e-07
0.5025 0.025 1.51487501099952e-07
0.5025 0.02625 1.41652716692722e-07
0.5025 0.0275 1.32958038385301e-07
0.5025 0.02875 1.25216482207259e-07
0.5025 0.03 1.18279853682633e-07
0.5025 0.03125 1.12029179330136e-07
0.5025 0.0325 1.06367838930985e-07
0.5025 0.03375 1.01216548731822e-07
0.5025 0.035 9.65096383446574e-08
0.5025 0.03625 9.21922480055127e-08
0.5025 0.0375 8.82181911566364e-08
0.5025 0.03875 8.45483050383768e-08
0.5025 0.04 8.1149164020772e-08
0.5025 0.04125 7.79920658666122e-08
0.5025 0.0425 7.50522256685925e-08
0.5025 0.04375 7.2308129451019e-08
0.5025 0.045 6.97410117085468e-08
0.5025 0.04625 6.73344300102978e-08
0.5025 0.0475 6.50739162577244e-08
0.5025 0.04875 6.29466889480578e-08
0.5025 0.05 6.09414143432357e-08
0.5025 0.05125 5.90480071119944e-08
0.5025 0.0525 5.72574630365028e-08
0.5025 0.05375 5.55617179228432e-08
0.5025 0.055 5.39535280479345e-08
0.5025 0.05625 5.2426368402158e-08
0.5025 0.0575 5.09743457116557e-08
0.5025 0.05875 4.95921237947169e-08
0.5025 0.06 4.82748592585254e-08
0.5025 0.06125 4.70181459025941e-08
0.5025 0.0625 4.58179664837041e-08
